River;Hydropeaking river-type;Hydropeaking, residual flow, natural/near-natural;Reach (Untersuchungsstelle);Abiotic measured by;Date of survey;Transect;Sampling point;Time of survey;"Distance ""Wasseranschlaglinie"" [m]";Flow velocity [v60, cm/s];Category Flow velocity (5 Bewohnbarkeits-klasse);Water depth [cm];Category Water depth;Clogging (6 Klassen);Clogging (3 Klassen);Substrate type;"Algae cover (Bewuchsdichte; 5 Kategorien:1-5)";"Moos cover (Deckungsgrad; 6 Kategorien:0-5)";"CPOM cover (Deckungsgrad; 5 Kategorien:1-5)";RTK-GPS Nr.;MZB kick-net taken by;Varia;;River;Reach (Untersuchungsstelle);Abiotic measured by;Date of survey;Time of survey;pH;Conductivity [μs/s];Oxygen content [mg/l];Oxygen saturation [%];Turbidity [FNU];Temperature [°C];Discharge [m3/s];Water gauge [MüM];Gauging station;Varia
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;1;2;14:35;6.00;22;3;41;;none;none;250 mm > x > 25 mm;1;0;1;2;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T1;Diego, Manuel;05.03.2022;17:00;8.08;311.0;11.41;;0.84;7.2;16.000;226.81;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;1;3;14:20;9.70;41;5;68;;none;none;> 250 mm;1;0;1;1;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T1;Diego, Manuel;05.03.2022;17:55;8.09;313.0;11.35;;0.85;7.0;15.000;226.78;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;2;1;15:20;0.50;5;3;18;;none;none;250 mm > x > 25 mm;2;0;1;6;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T2;Diego, Manuel;06.03.2022;09:10;7.93;359.0;11.43;;0.78;5.1;14.000;226.76;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;2;2;15:10;3.05;64;5;40;;none;none;250 mm > x > 25 mm;1;0;1;5;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T2;Diego, Manuel;06.03.2022;10:20;7.67;371.0;11.43;;0.62;5.9;13.000;226.76;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;2;3;15:00;6.50;54;5;65;;none;none;> 250 mm;1;0;1;4;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T2;Diego, Manuel;06.03.2022;11:15;7.79;381.0;11.32;;0.50;6.3;14.000;226.76;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;3;1;15:50;0.75;1;1;16;;none;none;250 mm > x > 25 mm;1;0;1;9;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T3;Manuel, Denise;06.03.2022;13:15;10.07;411.0;11.09;;2.80;7.6;13.000;226.75;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;3;2;15:45;4.30;41;5;38;;none;none;250 mm > x > 25 mm;2;0;1;8;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T3;Manuel, Denise;06.03.2022;14:15;8.26;413.0;10.91;;0.54;8.1;13.000;226.75;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;3;3;15:40;9.30;30;5;67;;none;none;> 250 mm;2;0;1;7;Diego;Weisse, stinkende Partikeln im Wasser;;Ticino;T3;Manuel, Denise;06.03.2022;15:20;8.25;401.0;10.83;;0.55;9.2;13.000;226.75;Ticino-Bellinzona;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;4;1;16:35;0.60;1;1;18;;none;none;250 mm > x > 25 mm;2;0;1;12;Denise;Weisse, stinkende Partikeln im Wasser;;Sitter;S1;Diego, Manuel;21.03.2022;11:50;8.51;344.0;11.99;;1.79;6.3;3.000;575.24;Sitter-StGallen-Brüggen;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;4;2;16:25;2.00;62;5;33;;none;none;250 mm > x > 25 mm;1;0;1;11;Denise;Weisse, stinkende Partikeln im Wasser;;Sitter;S1;Diego, Manuel;21.03.2022;12:30;8.57;353.0;12.52;;2.32;6.7;2.600;575.22;Sitter-StGallen-Brüggen;
Moesa;2b;Hydropeaking;M3;Diego, Manuel;03.03.2022;4;3;16:15;5.45;55;5;50;;none;none;> 250 mm;1;0;1;10;Denise;Weisse, stinkende Partikeln im Wasser;;Sitter;S1;Diego, Manuel;21.03.2022;13:30;8.56;345.0;12.70;;1.68;6.8;2.600;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;1;1;09:20;0.40;5;3;16;;none;none;250 mm > x > 25 mm;2;0;3;3;Diego;Algen auf vereinzelte Steine;;Sitter;S2;Diego, Manuel;21.03.2022;14:50;8.74;365.0;13.54;;1.41;7.7;2.600;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;1;2;09:10;1.40;44;5;26;;none;none;> 250 mm;2;0;1;2;Diego;Algen auf vereinzelte Steine;;Sitter;S2;Diego, Manuel;21.03.2022;15:30;8.76;365.0;13.48;;1.37;7.9;2.600;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;1;3;09:05;3.70;47;5;36;;none;none;250 mm > x > 25 mm;1;0;1;1;Diego;;;Sitter;S2;Diego, Manuel;21.03.2022;16:30;8.72;373.0;13.26;;1.68;7.6;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;2;1;10:05;0.20;1;1;9;;none;none;250 mm > x > 25 mm;1;0;1;6;Diego;;;Sitter;SR;Diego, Manuel;22.03.2022;09:30;8.58;445.0;13.14;;1.03;4.0;6.000;575.26;Sitter-StGallen-Brüggen;"Sitter-Appenzell (LH2112) um 10:30 = 1.41 m3/s; Rotbach-Bühler-Au (AR9105) um 10:30 = 0.133 m3/s"
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;2;2;09:40;2.10;41;5;55;;none;none;250 mm > x > 25 mm;1;0;1;5;Diego;;;Sitter;SR;Diego, Manuel;22.03.2022;10:00;8.60;441.0;13.25;;1.06;4.5;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;2;3;09:30;4.05;20;3;42;;none;none;250 mm > x > 25 mm;1;0;1;4;Diego;;;Sitter;SR;Diego, Manuel;22.03.2022;10:40;8.67;432.0;13.39;;1.03;5.3;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;3;1;10:45;0.35;14;3;12;;none;none;250 mm > x > 25 mm;1;0;1;9;Diego;;;Sitter;S3;Diego, Manuel;22.03.2022;13:30;8.84;378.0;13.77;;1.28;10.1;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;3;2;10:35;3.10;35;5;53;;none;none;> 250 mm;1;0;1;8;Diego;Schwierig zu beproben;;Sitter;S3;Diego, Manuel;22.03.2022;14:05;8.84;379.0;13.49;;1.69;10.1;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;3;3;10:20;5.10;47;5;48;;none;none;> 250 mm;2;0;2;7;Diego;Algen auf vereinzelte Steine;;Sitter;S3;Diego, Manuel;22.03.2022;15:00;8.89;369.0;13.75;;1.16;10.4;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;4;1;11:20;0.85;14;3;19;;none;none;250 mm > x > 25 mm;1;0;1;12;Diego;;;Sitter;S4;Diego, Manuel;22.03.2022;16:45;8.84;389.0;12.51;;1.63;9.0;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;4;2;11:05;1.80;20;3;33;;none;none;250 mm > x > 25 mm;1;0;1;11;Diego;;;Sitter;S4;Diego, Manuel;22.03.2022;17:10;8.84;387.0;12.55;;2.03;8.8;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;;Residual flow;MR;Diego, Manuel;04.03.2022;4;3;10:55;3.30;64;5;43;;none;none;250 mm > x > 25 mm;1;0;1;10;Diego;;;Sitter;S4;Diego, Manuel;22.03.2022;17:50;8.84;387.0;12.30;;1.57;8.6;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;1;1;12:30;0.45;10;3;17;;none;none;250 mm > x > 25 mm;1;0;1;3;Denise;;;Thur;S5;Diego, Manuel;23.03.2022;09:35;8.47;399.0;12.32;;1.29;6.3;6.200;575.36;Sitter-StGallen-Brüggen;"Thur-Halden = 17 m3/s, 455.66 MüM; Schaum am Untersuchungsstandort"
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;1;2;12:25;2.85;41;5;33;;none;none;> 250 mm;1;0;1;2;Diego;;;Thur;S5;Diego, Manuel;23.03.2022;10:00;8.47;398.0;12.47;;1.08;6.3;3.400;575.26;Sitter-StGallen-Brüggen;"Thur-Halden = 17 m3/s, 455.66 MüM; Schaum am Untersuchungsstandort"
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;1;3;12:20;4.50;49;5;40;;none;none;> 250 mm;1;0;1;1;Denise;;;Thur;S5;Diego, Manuel;23.03.2022;10:45;8.56;392.0;12.77;;1.17;6.8;2.500;575.22;Sitter-StGallen-Brüggen;"Thur-Halden = 16 m3/s, 455.66 MüM; Schaum am Untersuchungsstandort"
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;2;1;12:50;0.30;16;3;12;;none;none;250 mm > x > 25 mm;1;0;1;6;Denise;;;Sitter;S6;Diego, Manuel;23.03.2022;13:50;8.76;404.0;13.45;;1.99;8.9;2.500;575.22;Sitter-StGallen-Brüggen;
Moesa;2b;Hydropeaking;M4;Diego, Manuel;04.03.2022;2;2;12:45;1.95;54;5;35;;none;none;> 250 mm;1;0;1;5;Diego;;;Sitter;S6;Diego, Manuel;23.03.2022;14:35;8.78;399.0;13.36;;1.76;9.1;2.500;575.22;Sitter-StGallen-Brüggen;
