"","Reach_Untersuchungsstelle","Transect","Sampling_point","Time_of_survey","DIstance_Wasseranschlaglinie_m","Flow_velocity_v60_cm/s","Category_Flow_velocity_5_Bewohnbarkeits-klasse","Water_depth_cm","Category_Water_depth","Clogging_6_Klassen","Clogging_3_Klassen","Substrate_type","Algae_cover_Bewuchsdichte_5_Kategorien_1-5","Moos_cover_Deckungsgrad_6_Kategorien_0-5","CPOM_cover_Deckungsgrad_5_Kategorien_1-5","RTK-GPS_Nr","MZB_kick-net_taken_by","Oxygen_saturation_%_before","Oxygen_saturation_%_during","Oxygen_saturation_%_after","x","y","z","Sampling_site","lab$EPT_Taxa","k_index"
"1","M1",1,1,14:15:00,0.5,11,3,19,NA,"none","none","250 mm > x > 25 mm",1,0,1,3,"Diego",NA,NA,NA,2734822.966,1129308.228,403.167,"M1",0,0.430445672940553
"2","M1",1,2,13:45:00,2.25,24,3,36,NA,"none","none","250 mm > x > 25 mm",1,0,1,2,"Diego",NA,NA,NA,2734821.586,1129307.857,402.999,"M1",1,0.462771847023373
"3","M1",1,3,13:35:00,3.4,14,3,43,NA,"none","none","250 mm > x > 25 mm",1,0,1,1,"Diego",NA,NA,NA,2734820.122,1129307.498,402.96,"M1",1,0.471779016915034
"4","M1",2,1,14:45:00,0.5,10,3,9,NA,"none","none","250 mm > x > 25 mm",1,0,1,6,"Diego",NA,NA,NA,2734822.048,1129324.876,403.408,"M1",0,0.37120351325777
"5","M1",2,2,14:30:00,2,41,5,35,NA,"none","none","250 mm > x > 25 mm",1,0,1,5,"Diego",NA,NA,NA,2734820.51,1129325.085,403.275,"M1",3,0.611706492435428
"6","M1",2,3,14:25:00,3.1,51,5,49,NA,"none","none","250 mm > x > 25 mm",1,0,1,4,"Diego",NA,NA,NA,2734819.422,1129325.414,403.071,"M1",3,0.586611370400708
"7","M1",3,1,15:35:00,0.35,1,1,8,NA,"none","none","250 mm > x > 25 mm",1,0,1,9,"Diego",NA,NA,NA,2734842.711,1129346.278,403.816,"M1",2,0.587908126258703
"8","M1",3,2,15:20:00,2.85,27,5,15,NA,"none","none","250 mm > x > 25 mm",1,0,1,8,"Diego",NA,NA,NA,2734840.93,1129348.219,403.724,"M1",2,0.602189488842593
"9","M1",3,3,15:10:00,4.45,37,5,20,NA,"none","none","250 mm > x > 25 mm",1,0,1,7,"Diego",NA,NA,NA,2734839.109,1129349.478,403.665,"M1",6,0.773052193682151
"10","M1",4,1,16:20:00,0.4,1,1,10,NA,"none","none","250 mm > x > 25 mm",1,0,1,12,"Diego",NA,NA,NA,2734848.046,1129348.978,403.778,"M1",3,0.650391771166627
"11","M1",4,2,16:15:00,4.1,14,3,23,NA,"none","none","250 mm > x > 25 mm",1,0,1,11,"Diego",NA,NA,NA,2734847.009,1129353.065,403.689,"M1",0,0.46732990345883
"12","M1",4,3,15:50:00,7.7,10,3,28,NA,"none","none","250 mm > x > 25 mm",1,0,1,10,"Diego",NA,NA,NA,2734844.813,1129356.052,403.684,"M1",3,0.617584161814826
"13","MR",1,1,09:20:00,0.4,5,3,16,NA,"none","none","250 mm > x > 25 mm",2,0,3,3,"Diego",NA,NA,NA,2736794.555,1133743.459,472.246,"MR",3,0.66145908717482
"14","MR",1,2,09:10:00,1.4,44,5,26,NA,"none","none","> 250 mm",2,0,1,2,"Diego",NA,NA,NA,2736795.293,1133744.09,472.16,"MR",3,0.670792966640955
"15","MR",1,3,09:05:00,3.7,47,5,36,NA,"none","none","250 mm > x > 25 mm",1,0,1,1,"Diego",NA,NA,NA,2736797.722,1133745.435,471.95,"MR",1,0.565723735078124
"16","MR",2,1,10:05:00,0.2,1,1,9,NA,"none","none","250 mm > x > 25 mm",1,0,1,6,"Diego",NA,NA,NA,2736788.393,1133751.648,472.376,"MR",1,0.524104949094094
"17","MR",2,2,09:40:00,2.1,41,5,55,NA,"none","none","250 mm > x > 25 mm",1,0,1,5,"Diego",NA,NA,NA,2736790.236,1133752.518,471.95,"MR",0,0.407935700160915
