"Feature","Gain","Cover","Frequency","model","index"
"y",0.353785972872025,0.26177468914473,0.177080291970803,"model w/ coordinates","k_index"
"x",0.334154019006467,0.328113659378246,0.243430656934307,"model w/ coordinates","k_index"
"velocity",0.177075188064922,0.217835552020722,0.365912408759124,"model w/ coordinates","k_index"
"wd_m",0.134984820056587,0.192276099456302,0.213576642335766,"model w/ coordinates","k_index"
"y",0.390564934760715,0.273773487920498,0.272816486751717,"model w/ coordinates","shannon"
"x",0.342018565819238,0.354717573819179,0.321884200196271,"model w/ coordinates","shannon"
"velocity",0.134369353341475,0.159560797304244,0.193326790971541,"model w/ coordinates","shannon"
"wd_m",0.133047146078572,0.21194814095608,0.211972522080471,"model w/ coordinates","shannon"
"x",0.346141738014016,0.274381690853248,0.237911491619438,"model w/ coordinates","abundance"
"y",0.28674517496874,0.297205550312088,0.202459905944773,"model w/ coordinates","abundance"
"wd_m",0.226480024132347,0.211739921678234,0.21488001929338,"model w/ coordinates","abundance"
"velocity",0.140633062884897,0.21667283715643,0.344748583142409,"model w/ coordinates","abundance"
"x",0.357651402214357,0.30028707027763,0.254572940287226,"model w/ coordinates","rel_abundance"
"y",0.253579091318011,0.256571468939253,0.199395313681028,"model w/ coordinates","rel_abundance"
"wd_m",0.235301561637274,0.221750550699694,0.225850340136054,"model w/ coordinates","rel_abundance"
"velocity",0.153467944830358,0.221390910083424,0.320181405895692,"model w/ coordinates","rel_abundance"
