"Feature","Gain","Cover","Frequency","model","index"
"y",0.424482715127186,0.379670566141085,0.282046476761619,"model w/ coordinates","k_index"
"x",0.382861374961428,0.394270772200269,0.371814092953523,"model w/ coordinates","k_index"
"velocity",0.192655909911386,0.226058661658646,0.346139430284858,"model w/ coordinates","k_index"
"x",0.422711563689764,0.471640141108384,0.390468227424749,"model w/ coordinates","shannon"
"y",0.387107811237345,0.323053663453254,0.309364548494983,"model w/ coordinates","shannon"
"velocity",0.190180625072891,0.205306195438363,0.300167224080268,"model w/ coordinates","shannon"
"x",0.439129985640651,0.475109915688202,0.409706546275395,"model w/ coordinates","abundance"
"y",0.340143838818683,0.277665132157451,0.280756207674944,"model w/ coordinates","abundance"
"velocity",0.220726175540666,0.247224952154347,0.309537246049661,"model w/ coordinates","abundance"
"x",0.446966416469111,0.453930666139705,0.389359504132231,"model w/ coordinates","rel_abundance"
"y",0.297598024202159,0.295213707585775,0.278512396694215,"model w/ coordinates","rel_abundance"
"velocity",0.255435559328729,0.25085562627452,0.332128099173554,"model w/ coordinates","rel_abundance"
