"Feature","Gain","Cover","Frequency","model","index"
"z",0.407101434594272,0.253109553193551,0.233824471492633,"model w/o coordinates","k_index"
"dist_w",0.204732377183823,0.259296352534488,0.212684176809737,"model w/o coordinates","k_index"
"velocity",0.137722676254417,0.197686815494459,0.260089686098655,"model w/o coordinates","k_index"
"wd_m",0.102360122255596,0.184376312473751,0.204996796925048,"model w/o coordinates","k_index"
"moos_cover",0.0706249252354876,0.0188188543921429,0.00704676489429853,"model w/o coordinates","k_index"
"alg_cover",0.0329177560002654,0.0302232416890124,0.0339525944907111,"model w/o coordinates","k_index"
"clog_3_class_int",0.0216916189573328,0.013358963589959,0.0160153747597694,"model w/o coordinates","k_index"
"sub_type_int",0.00920530148076673,0.0146350919135463,0.0147341447789878,"model w/o coordinates","k_index"
"cpom_cover",0.00768630511708443,0.00650986980260395,0.00384368994234465,"model w/o coordinates","k_index"
"clog_6_class_int",0.00471649675457088,0.00731754595677317,0.00576553491351698,"model w/o coordinates","k_index"
"cat_velocity",0.00124098616638449,0.0146673989597131,0.00704676489429853,"model w/o coordinates","k_index"
"z",0.423401300865262,0.283970627354668,0.249888839484215,"model w/o coordinates","shannon"
"velocity",0.158126432724819,0.154688920920277,0.257003112494442,"model w/o coordinates","shannon"
"wd_m",0.124715579704488,0.203443305474274,0.19897732325478,"model w/o coordinates","shannon"
"moos_cover",0.121771149749561,0.0266506647200381,0.0106714095153402,"model w/o coordinates","shannon"
"dist_w",0.118217469017265,0.249506641014062,0.202089817696754,"model w/o coordinates","shannon"
"alg_cover",0.0317979286621074,0.0298056877022153,0.0355713650511338,"model w/o coordinates","shannon"
"clog_6_class_int",0.00611152584524899,0.0102754768105811,0.00555802578923966,"model w/o coordinates","shannon"
"sub_type_int",0.00585829432382058,0.0149461480881179,0.012894619831036,"model w/o coordinates","shannon"
"clog_3_class_int",0.00550960105455468,0.0140986223066311,0.0148955091151623,"model w/o coordinates","shannon"
"cat_velocity",0.00295785960194885,0.011413759611994,0.0100044464206314,"model w/o coordinates","shannon"
"cpom_cover",0.00153285845092489,0.00120014599714192,0.00244553134726545,"model w/o coordinates","shannon"
"z",0.295672111834848,0.263253098359481,0.229519056662103,"model w/o coordinates","abundance"
"dist_w",0.172906948665747,0.219744185895056,0.186194408868083,"model w/o coordinates","abundance"
"wd_m",0.168228967037402,0.241549928687259,0.215563308748841,"model w/o coordinates","abundance"
"velocity",0.127766033156331,0.171513653621971,0.283222187872632,"model w/o coordinates","abundance"
"cpom_cover",0.0732986183367896,0.0196484509830738,0.0063595813275626,"model w/o coordinates","abundance"
"clog_3_class_int",0.0639073395770788,0.0147558759744446,0.0130724727288787,"model w/o coordinates","abundance"
"alg_cover",0.0461579195307088,0.0322030752398257,0.0338736033211147,"model w/o coordinates","abundance"
"clog_6_class_int",0.0284368317205844,0.00804629141186201,0.0052113235878638,"model w/o coordinates","abundance"
"moos_cover",0.0123524668000996,0.0089222332936066,0.00600627125380912,"model w/o coordinates","abundance"
"sub_type_int",0.0100435233335478,0.0137594513803411,0.0137790928763856,"model w/o coordinates","abundance"
"cat_velocity",0.00122924000686307,0.00660375515307817,0.00719869275272711,"model w/o coordinates","abundance"
"z",0.252170788164663,0.217401154194687,0.220110573600553,"model w/o coordinates","rel_abundance"
"dist_w",0.198720845066594,0.191682167215148,0.165860400829302,"model w/o coordinates","rel_abundance"
"wd_m",0.183099532189006,0.20149520675347,0.213199723565999,"model w/o coordinates","rel_abundance"
"alg_cover",0.114588242027518,0.0522845423761148,0.0459571527297858,"model w/o coordinates","rel_abundance"
"velocity",0.103271305662947,0.17051795678924,0.265031098825156,"model w/o coordinates","rel_abundance"
"cpom_cover",0.0870260529214368,0.059772499642295,0.0183137525915688,"model w/o coordinates","rel_abundance"
"moos_cover",0.0314227745807597,0.0622168169027519,0.0231513476157567,"model w/o coordinates","rel_abundance"
"clog_3_class_int",0.0173346143614309,0.0121500453092956,0.0145127850725639,"model w/o coordinates","rel_abundance"
"cat_velocity",0.00535759489077756,0.00860876615634092,0.0100207325501037,"model w/o coordinates","rel_abundance"
"sub_type_int",0.00484832856247203,0.0155124719797777,0.0169315825846579,"model w/o coordinates","rel_abundance"
"clog_6_class_int",0.00215992157239523,0.00835837268087948,0.00691085003455425,"model w/o coordinates","rel_abundance"
