"Feature","Gain","Cover","Frequency","model","index"
"y",0.234589742641951,0.144772209762194,0.13034188034188,"model w/ coordinates","k_index"
"x",0.216862743567657,0.213819788046363,0.185185185185185,"model w/ coordinates","k_index"
"z",0.179131687431101,0.115632864798233,0.0961538461538462,"model w/ coordinates","k_index"
"wd_m",0.105643441429329,0.155506856820011,0.16951566951567,"model w/ coordinates","k_index"
"velocity",0.0873905168694013,0.115444537656868,0.209401709401709,"model w/ coordinates","k_index"
"dist_w",0.0722262088859885,0.143111506788337,0.143874643874644,"model w/ coordinates","k_index"
"moos_cover",0.0519743966943179,0.0210412778852574,0.00854700854700855,"model w/ coordinates","k_index"
"alg_cover",0.0375832756158826,0.031878648838364,0.0263532763532764,"model w/ coordinates","k_index"
"sub_type_int",0.0063492789356139,0.0381448064510606,0.0156695156695157,"model w/ coordinates","k_index"
"clog_3_class_int",0.00322237631911298,0.0107004057593864,0.00712250712250712,"model w/ coordinates","k_index"
"cpom_cover",0.00320135564753619,0.00116420414662124,0.00284900284900285,"model w/ coordinates","k_index"
"cat_velocity",0.0018232710575331,0.00493074697392525,0.00356125356125356,"model w/ coordinates","k_index"
"clog_6_class_int",1.7049045755359e-06,0.0038521460733791,0.00142450142450142,"model w/ coordinates","k_index"
"x",0.209176236115749,0.171533427043117,0.174556931294003,"model w/ coordinates","shannon"
"y",0.18655873258568,0.15886988544933,0.135469774217043,"model w/ coordinates","shannon"
"z",0.160002674300315,0.153495353733232,0.106093712066035,"model w/ coordinates","shannon"
"velocity",0.128361000487398,0.118462311493865,0.212672978878369,"model w/ coordinates","shannon"
"wd_m",0.109394157070349,0.130744229533847,0.166788055353241,"model w/ coordinates","shannon"
"moos_cover",0.0950570576950007,0.0327242197388423,0.0114105365379947,"model w/ coordinates","shannon"
"dist_w",0.073157508314793,0.165363846256591,0.13814032532168,"model w/ coordinates","shannon"
"alg_cover",0.0178410572079867,0.0283737112254568,0.0206360767176499,"model w/ coordinates","shannon"
"clog_6_class_int",0.00863488725493422,0.00514555758381407,0.00291332847778587,"model w/ coordinates","shannon"
"clog_3_class_int",0.00443338242984364,0.0139228993213461,0.00922554017965526,"model w/ coordinates","shannon"
"sub_type_int",0.003521408944003,0.0131087690732272,0.0114105365379947,"model w/ coordinates","shannon"
"cat_velocity",0.00262740312438492,0.00484661913333291,0.0075260985676135,"model w/ coordinates","shannon"
"cpom_cover",0.00123449446956278,0.00340917041399795,0.00315610585093469,"model w/ coordinates","shannon"
"x",0.260412783181222,0.176360713917057,0.164987166080426,"model w/ coordinates","abundance"
"wd_m",0.150493178034393,0.165174833653656,0.173162848179485,"model w/ coordinates","abundance"
"z",0.126595297449976,0.138348055046262,0.0894571727350509,"model w/ coordinates","abundance"
"dist_w",0.110274032615737,0.165450097735134,0.136039547485502,"model w/ coordinates","abundance"
"cpom_cover",0.0922791551265606,0.0154885200131734,0.00461070443958551,"model w/ coordinates","abundance"
"velocity",0.0838137505889816,0.140745146422468,0.244890198688088,"model w/ coordinates","abundance"
"y",0.0700824062839229,0.134751598743616,0.125819944861679,"model w/ coordinates","abundance"
"clog_3_class_int",0.0392390870539242,0.00927541645980899,0.00917387584371138,"model w/ coordinates","abundance"
"alg_cover",0.0339168174996518,0.0189473442750806,0.0240992489780397,"model w/ coordinates","abundance"
"sub_type_int",0.0139284742720908,0.0138271046642516,0.0131191177868619,"model w/ coordinates","abundance"
"clog_6_class_int",0.0107447484149046,0.00607710998930075,0.00399277497861013,"model w/ coordinates","abundance"
"moos_cover",0.00656889368209458,0.00770903275806417,0.00346991158855404,"model w/ coordinates","abundance"
"cat_velocity",0.00165137579654034,0.00784502632212779,0.00717748835440631,"model w/ coordinates","abundance"
"x",0.294949897169766,0.206237124755451,0.192178770949721,"model w/ coordinates","rel_abundance"
"z",0.141950738488882,0.104582615342757,0.0793296089385475,"model w/ coordinates","rel_abundance"
"velocity",0.133425186816222,0.142531386445202,0.247672253258845,"model w/ coordinates","rel_abundance"
"wd_m",0.101760578209312,0.163054040397497,0.163873370577281,"model w/ coordinates","rel_abundance"
"dist_w",0.0984123777890871,0.156109505979296,0.125139664804469,"model w/ coordinates","rel_abundance"
"cpom_cover",0.0894536810832057,0.0207299534871669,0.00819366852886406,"model w/ coordinates","rel_abundance"
"y",0.0834856816980913,0.135897801329308,0.122160148975791,"model w/ coordinates","rel_abundance"
"alg_cover",0.0301283308780858,0.0217275824987368,0.0253258845437616,"model w/ coordinates","rel_abundance"
"clog_6_class_int",0.012688372285458,0.00808468185999508,0.00335195530726257,"model w/ coordinates","rel_abundance"
"sub_type_int",0.0101269553712085,0.0200691862197634,0.0163873370577281,"model w/ coordinates","rel_abundance"
"clog_3_class_int",0.00224640602686233,0.0127877900573961,0.00968342644320298,"model w/ coordinates","rel_abundance"
"moos_cover",0.000850688553890509,0.00278558749983805,0.00186219739292365,"model w/ coordinates","rel_abundance"
"cat_velocity",0.000521105629929558,0.00540274412759286,0.00484171322160149,"model w/ coordinates","rel_abundance"
