"Feature","Gain","Cover","Frequency","model","index"
"Number_Taxa",0.752316740867683,0.104641396236706,0.102896801448401,"model w/ coordinates","k_index"
"EPT_Taxa",0.0636090074256863,0.0656831197163894,0.0615570307785154,"model w/ coordinates","k_index"
"z",0.0366448080069406,0.136989364603218,0.131261315630658,"model w/ coordinates","k_index"
"alg_cover",0.0321080196311371,0.0136078538314699,0.0220277610138805,"model w/ coordinates","k_index"
"moos_cover",0.0271081196820261,0.00458140169075539,0.00301750150875075,"model w/ coordinates","k_index"
"velocity",0.0138340879596956,0.126321243523316,0.128545564272782,"model w/ coordinates","k_index"
"wd_m",0.00977397105066335,0.12836651213526,0.132166566083283,"model w/ coordinates","k_index"
"conduct_before",0.00976282536983034,0.0286719389146441,0.0223295111647556,"model w/ coordinates","k_index"
"dist_w",0.00924090578953551,0.139721843468776,0.189499094749547,"model w/ coordinates","k_index"
"pH_during",0.00568855904110755,0.0132642487046632,0.00965600482800241,"model w/ coordinates","k_index"
"temp_during",0.00422934215095664,0.0090919007362967,0.00603500301750151,"model w/ coordinates","k_index"
"pH_before",0.00408856154947071,0.0207799290973548,0.024140012070006,"model w/ coordinates","k_index"
"q_during",0.00393413689293499,0.00932642487046632,0.00633675316837658,"model w/ coordinates","k_index"
"hydr_int",0.00371584268050836,0.00271611671666212,0.00150875075437538,"model w/ coordinates","k_index"
"turb_during",0.00342552788234455,0.00517043905099536,0.00392275196137598,"model w/ coordinates","k_index"
"temp_before",0.00285761340262236,0.0160839923643305,0.0150875075437538,"model w/ coordinates","k_index"
"ox_before",0.00232079346792264,0.0239160076356695,0.0178032589016295,"model w/ coordinates","k_index"
"pH_after",0.00163665796239152,0.0064630488137442,0.00694025347012673,"model w/ coordinates","k_index"
"cat_velocity",0.00139551516352596,0.0108971911644396,0.0135787567893784,"model w/ coordinates","k_index"
"turb_after",0.00128761813345188,0.00627761112626125,0.00422450211225106,"model w/ coordinates","k_index"
"ox_during",0.00124901730350297,0.00863376056722116,0.00422450211225106,"model w/ coordinates","k_index"
"temp_after",0.00117893944770891,0.00675756749386419,0.00573325286662643,"model w/ coordinates","k_index"
"ox_after",0.00105591812624,0.0101499863648759,0.00694025347012673,"model w/ coordinates","k_index"
"gaug_before",0.00103146819769968,0.0248377420234524,0.015992757996379,"model w/ coordinates","k_index"
"q_before",0.000928584017395451,0.015293155167712,0.0117682558841279,"model w/ coordinates","k_index"
"sub_type_int",0.000919678200367823,0.0071066266703027,0.0102595051297526,"model w/ coordinates","k_index"
"turb_before",0.000826879334060053,0.0113935096809381,0.0102595051297526,"model w/ coordinates","k_index"
"gaug_during",0.000738125854408144,0.00475593127897464,0.00271575135787568,"model w/ coordinates","k_index"
"clog_6_class_int",0.000727767311600856,0.00493591491682574,0.00331925165962583,"model w/ coordinates","k_index"
"conduct_during",0.000713355529031972,0.00667575674938642,0.00573325286662643,"model w/ coordinates","k_index"
"conduct_after",0.000648575062266484,0.00944095991273521,0.00633675316837658,"model w/ coordinates","k_index"
"q_after",0.000560436495610759,0.00272702481592582,0.00271575135787568,"model w/ coordinates","k_index"
"clog_3_class_int",0.000440997523902998,0.0143714207799291,0.0108630054315027,"model w/ coordinates","k_index"
"cpom_cover",1.603485769279e-06,0.000349059176438506,0.000603500301750151,"model w/ coordinates","k_index"
"z",0.2076670118867,0.116910658092762,0.0998372219207813,"model w/ coordinates","shannon"
"velocity",0.13165124508808,0.135500752496922,0.148670645686381,"model w/ coordinates","shannon"
"Number_Taxa",0.124925429394463,0.109898754959639,0.0922409115572436,"model w/ coordinates","shannon"
"wd_m",0.111628693342153,0.125718292516076,0.138361367335865,"model w/ coordinates","shannon"
"dist_w",0.0854812031960582,0.120570529484198,0.237655995659251,"model w/ coordinates","shannon"
"conduct_during",0.0562900112689852,0.00762758243261732,0.00379815518176886,"model w/ coordinates","shannon"
"moos_cover",0.0562009029957299,0.00699480093035983,0.00434074877916441,"model w/ coordinates","shannon"
"temp_before",0.043787119843673,0.0253796689013545,0.0135648399348888,"model w/ coordinates","shannon"
"EPT_Taxa",0.0368431264902142,0.0494424681899029,0.0510037981551818,"model w/ coordinates","shannon"
"conduct_before",0.0223557140300618,0.0145368723491586,0.015735214324471,"model w/ coordinates","shannon"
"pH_before",0.0140361946964907,0.0194281023395813,0.0222463374932176,"model w/ coordinates","shannon"
"clog_6_class_int",0.0131591656495432,0.0126727322479135,0.00434074877916441,"model w/ coordinates","shannon"
"ox_before",0.01288167401277,0.0265768230948146,0.0184481823114487,"model w/ coordinates","shannon"
"ox_during",0.0122712930540021,0.00914967847858804,0.00434074877916441,"model w/ coordinates","shannon"
"q_before",0.0119207664621944,0.0218224107265016,0.010851871947911,"model w/ coordinates","shannon"
"cat_velocity",0.009852941806077,0.0115439868655083,0.0130222463374932,"model w/ coordinates","shannon"
"turb_before",0.00955245713858711,0.0175468600355726,0.00922409115572436,"model w/ coordinates","shannon"
"alg_cover",0.00931428458774282,0.0155459023122178,0.0282148670645686,"model w/ coordinates","shannon"
"sub_type_int",0.00812317890423402,0.0159905595840744,0.0130222463374932,"model w/ coordinates","shannon"
"clog_3_class_int",0.00644459260263486,0.00523327404569709,0.00651112316874661,"model w/ coordinates","shannon"
"pH_during",0.00455598751938677,0.0182651525516487,0.0113944655453066,"model w/ coordinates","shannon"
"turb_during",0.00424303499660854,0.00682377890272267,0.00488334237655996,"model w/ coordinates","shannon"
"gaug_before",0.00208460733540177,0.0188637296483787,0.00705371676614216,"model w/ coordinates","shannon"
"temp_after",0.00153414192418804,0.0150670406348338,0.00759631036353771,"model w/ coordinates","shannon"
"gaug_during",0.000944083471463122,0.00237720618415652,0.0010851871947911,"model w/ coordinates","shannon"
"ox_after",0.000597985152383082,0.0136304556026816,0.00651112316874661,"model w/ coordinates","shannon"
"q_during",0.000384943758912077,0.0146394855657409,0.00542593597395551,"model w/ coordinates","shannon"
"temp_during",0.000383639051345861,0.0150670406348338,0.00705371676614216,"model w/ coordinates","shannon"
"pH_after",0.000377511122350366,0.0120228485428923,0.00488334237655996,"model w/ coordinates","shannon"
"turb_after",0.000156113128785418,0.00326652072786975,0.00162778079218665,"model w/ coordinates","shannon"
"q_after",0.000129675071258213,0.00545560268162539,0.0021703743895822,"model w/ coordinates","shannon"
"cpom_cover",0.00012896837430669,0.000410452866329183,0.00162778079218665,"model w/ coordinates","shannon"
"hydr_int",9.09922424536627e-05,0.0023601039813928,0.00162778079218665,"model w/ coordinates","shannon"
"conduct_after",1.31040076091483e-06,0.00365987139143522,0.00162778079218665,"model w/ coordinates","shannon"
"Number_Taxa",0.314445481916459,0.0865720052406076,0.0775767720337346,"model w/ coordinates","abundance"
"wd_m",0.0953611246140307,0.161303070004603,0.127856820961823,"model w/ coordinates","abundance"
"cpom_cover",0.0792304258223888,0.0365227860203251,0.00885212129015644,"model w/ coordinates","abundance"
"dist_w",0.0691079894631953,0.154018625402783,0.301261829652997,"model w/ coordinates","abundance"
"z",0.066444954583203,0.1181487907652,0.0925770939290543,"model w/ coordinates","abundance"
"EPT_Taxa",0.0560554916577867,0.0488056371941503,0.0422648554690015,"model w/ coordinates","abundance"
"velocity",0.0482485107114993,0.108085407740519,0.142889332389107,"model w/ coordinates","abundance"
"q_before",0.0457875403809045,0.0129428844587656,0.00753235047962403,"model w/ coordinates","abundance"
