"section","hydro_cond","wua","hhs"
"GL1","min",453091.77474308,2.72775956474907
"GL1","max",623016.117795467,2.41561508497265
"GL1","pers",382707.248359203,2.30429932057997
"GL2","min",912574.317102909,2.69992401509736
"GL2","max",1504286.04814768,2.48953410898193
"GL2","pers",813368.873360634,2.40650222303938
"L2","base",282910.206381798,2.66073100577268
"L2","peak",443819.687002659,2.73274522808395
"L2","pers",298115.110126019,2.80531401857585
"M1","base",264260.880713463,2.5645440851817
"M1","peak",894495.93162632,2.72207594345335
"M1","pers",289737.783961296,2.81178704205287
"S1","base",421464.696388245,2.67583041107909
"S1","peak",584165.480944157,2.72617827582675
"S1","pers",433714.470968246,2.75360280727485
"S2","base",379299.768411636,2.65192667457866
"S2","peak",556137.515134811,2.76999539345532
"S2","pers",397067.819001675,2.77685338341778
"TH4","min",1123297.60676622,2.76442783571941
"TH4","max",1311224.47585106,2.79292935982589
"TH4","pers",1141913.75888538,2.81024206055368
"VR3","base",1427984.95891333,2.64187256514713
"VR3","peak",2631730.41427851,2.69513066811525
"VR3","pers",1448826.76651764,2.68074878716795
