"wua","wua_pers","hhs","hhs_pers","Q","hydr_cond","section"
73916.8874539021,73916.8874539021,0.468801610012571,0.468801610012571,2.56,NA,"GL1"
78008.1430519759,78008.1430519759,0.469634343856716,0.469634343856716,3.28,"min","GL1"
87534.6275355916,78250.0693339776,0.470980907453037,0.421025252528719,6,NA,"GL1"
92996.9128514723,78233.8421455403,0.470822766562739,0.396080610295364,9,NA,"GL1"
98332.0103539443,77837.0682801119,0.469132317865806,0.371352971699547,12.68,NA,"GL1"
103440.532817555,77459.3573483509,0.467574325209985,0.350133605820018,16,NA,"GL1"
107195.22908881,77152.8491031716,0.466488080911477,0.335750805524873,19,NA,"GL1"
110630.423201876,76871.45249755,0.4655535584512,0.32348948162516,22,NA,"GL1"
113683.202829957,76573.1117224895,0.4645819486308,0.312926488444992,25,NA,"GL1"
116176.241037232,76323.385363113,0.463688558827979,0.304625801695136,28,NA,"GL1"
119329.082828916,76026.4141889002,0.462673636080972,0.294776567933637,31.76,"max","GL1"
144565.526406438,144473.691189967,0.467214551116405,0.466917753183269,2.37,NA,"GL2"
158300.992823812,158300.992823812,0.468346132614827,0.468346132614827,3.21,"min","GL2"
185093.947925183,159332.352261546,0.470306809445023,0.404848948728393,6,NA,"GL2"
203135.182225131,159651.367046318,0.471018443810185,0.37019061707875,9,NA,"GL2"
210236.189109936,159426.781986654,0.471254794920505,0.357363000956365,11,NA,"GL2"
216810.459623557,159457.149288895,0.471314790969707,0.346636934012363,12.52,NA,"GL2"
231993.576470714,159314.723678441,0.471140957236101,0.323542110766764,16,NA,"GL2"
242281.608785139,159130.596411934,0.470947192345193,0.309318185446247,19,NA,"GL2"
253431.767212685,158888.951888112,0.470625380153546,0.29505840647746,22,NA,"GL2"
263860.639687079,158659.052963538,0.470373359396532,0.282834877644641,25,NA,"GL2"
273289.399070986,158411.606653825,0.470151044369299,0.272522031815691,28,NA,"GL2"
283945.801394475,158136.92323781,0.469919107834708,0.261710374017467,31.53,"max","GL2"
48584.0139975048,48584.0139975048,0.456925870866609,0.456925870866609,2.4,"base","L2"
54475.896028063,48371.2428092626,0.455712698913025,0.404644828586771,3.9,NA,"L2"
67246.7519980538,48252.6594472991,0.455576608300728,0.326897318893956,7,NA,"L2"
73972.3304973925,48183.2708771371,0.455472208865281,0.296680402918188,9.24,"peak","L2"
74700.1243564304,48176.8217295133,0.455477453942772,0.293753943376462,9.54,NA,"L2"
85683.812088415,48175.3699487329,0.455619547423243,0.256170211361975,13.3,NA,"L2"
92258.8928120462,48149.9409776314,0.455491502320666,0.237721137595194,16.5,NA,"L2"
96665.3977701792,48125.7461039665,0.455307373109724,0.226678910375335,18.9,NA,"L2"
58765.5886557352,58765.5886557352,0.570296074062878,0.570296074062878,0.47,"base","M1"
79609.2464878634,58626.6688716369,0.57079016926597,0.420347230065081,0.6,NA,"M1"
104487.885285663,58046.6396990504,0.567079960954664,0.315032561756743,1.5,NA,"M1"
127458.887124535,57001.9117983196,0.561384080286355,0.2510610797833,4,NA,"M1"
146849.651612792,56306.9000250808,0.558814145291231,0.214267394344798,6,NA,"M1"
156720.210482136,55499.8118420651,0.555501164318301,0.196721341828647,8,NA,"M1"
164649.184424839,54723.9621620123,0.552558543053264,0.183652247704554,10,NA,"M1"
171085.429536679,54209.4328051742,0.550283783858294,0.174360679840639,12,NA,"M1"
176174.62381662,53812.6353714189,0.548120267244382,0.16742363594662,14,NA,"M1"
179427.614216722,53514.8770013942,0.546023268504485,0.162853238513348,16,NA,"M1"
179427.614216722,53514.8770013942,0.546023268504485,0.162853238513348,18.84,"peak","M1"
189891.242488445,52749.7581728237,0.540335662342772,0.150099473505041,22.84,NA,"M1"
100265.287563509,99892.4635292988,0.63570089246728,0.633337117555342,1.94,NA,"S1"
100144.758829345,100144.758829345,0.635807443617754,0.635807443617754,2,"base","S1"
106531.618001409,99920.4820236419,0.63457003813086,0.595189909599964,3.7,NA,"S1"
111120.099730526,99174.256576082,0.631077349673589,0.56323407869197,6.5,NA,"S1"
114121.690742227,98378.6727902291,0.627262832766616,0.540732305812094,8.5,NA,"S1"
116730.187014046,97530.0814827826,0.623265703163289,0.52074922836905,10.68,NA,"S1"
122884.280789881,96747.2532133333,0.620189163166857,0.488277244439958,13,NA,"S1"
126057.929443224,96141.4210045757,0.617725118309702,0.471124434034614,15,NA,"S1"
131652.629032917,95307.3740100415,0.614395319362129,0.444779606169692,18,"peak","S1"
135397.617485971,94855.9844629052,0.612758718551305,0.429282527755224,20,NA,"S1"
124800.537291097,78811.9748932241,0.59155024027405,0.373566041433101,1.93,NA,"S2"
88388.7656740162,88388.7656740162,0.617982252943593,0.617982252943593,2,"base","S2"
98020.19174226,88586.5009770335,0.619127032227514,0.559540809607336,3.2,NA,"S2"
107122.601447575,88396.850529461,0.618433640354095,0.510327282291826,6.5,NA,"S2"
110602.782692212,88124.945101194,0.617451111452213,0.49196633190341,8.5,NA,"S2"
115906.933367272,87787.8515060434,0.616106764369322,0.46663894532469,10.93,NA,"S2"
117957.664795263,87432.3960222416,0.614554885877167,0.455519412432227,13,NA,"S2"
119691.056693083,87046.9869111207,0.612531251627825,0.445471878319383,15,NA,"S2"
122407.351809196,86531.9270550568,0.609683381194569,0.430995990750985,18,"peak","S2"
114767.729252782,87930.3312834288,0.616619722619232,0.472428764068195,20,NA,"S2"
256883.620871558,256883.620871558,0.632188858767432,0.632188858767432,11.45,"min","TH4"
266741.486314396,256975.083860149,0.631609884245113,0.608484286465593,15,NA,"TH4"
272793.604024055,256700.490478254,0.630672495801709,0.593466769804353,18,NA,"TH4"
276424.986923861,256414.018091501,0.6299164750742,0.584315536136029,19.96,NA,"TH4"
281651.993498134,255923.00906477,0.628766081247063,0.571328132679018,22.5,NA,"TH4"
284737.784515911,255349.132632146,0.627690055543111,0.562904257744553,25,NA,"TH4"
286969.146326596,254832.162786253,0.626707024080795,0.556523613859475,27,NA,"TH4"
290195.822052216,253990.809715657,0.625157954941912,0.547162857318152,30,NA,"TH4"
292767.596836304,253114.463075086,0.623599720619204,0.539137903798001,32.93,"max","TH4"
294429.949528142,252458.516833038,0.622436620090443,0.53370734255274,35.12,NA,"TH4"
258864.293443216,258864.293443216,0.478917141721334,0.478917141721334,2.9,"base","VR3"
297756.619032627,259998.146461795,0.480643327854622,0.419693018940873,6,NA,"VR3"
331242.631042287,259978.788168882,0.48086741126044,0.377413156199201,9,NA,"VR3"
352692.432914659,259651.388955383,0.480973959637495,0.354091965169733,12,NA,"VR3"
387331.313687455,259398.868583512,0.48103978868183,0.322156181331641,15,NA,"VR3"
409419.313069626,259083.578176322,0.48132096394804,0.304583476182345,18.8,NA,"VR3"
422400.582007727,258821.92571475,0.481398906377759,0.294972585959617,21.51,NA,"VR3"
424314.022997106,258766.953644012,0.481396039814103,0.293578293357126,22,NA,"VR3"
434455.71109743,258372.068548922,0.48131030684852,0.286236632222519,25,NA,"VR3"
442867.861423314,257916.869852576,0.481060192202669,0.280159275014529,28,NA,"VR3"
450571.753323898,257415.870695869,0.480667293931539,0.274609735451988,31,NA,"VR3"
456199.472246958,256909.843862439,0.480294907148799,0.27047924671146,34,NA,"VR3"
462630.705105905,256468.559917957,0.47986754740883,0.266024147288562,37,NA,"VR3"
468176.376021691,256072.490807366,0.479455077259135,0.262241458886205,40.1,"peak","VR3"
476247.689650988,255729.874674463,0.479054951667761,0.257237285165533,43,NA,"VR3"
482247.832650122,255418.530698146,0.478673101924946,0.253525204471156,46,NA,"VR3"
485626.136923419,255222.60274712,0.478445624983665,0.251448858282024,48,NA,"VR3"
489379.899758847,255039.622233966,0.478236978167544,0.249232504870484,50,NA,"VR3"
494090.359544769,254824.720467649,0.477986053432521,0.246519002244043,52.9,NA,"VR3"
