"x","y","k_index","study_area","ID"
2742140.35069603,1252345.94031008,0.632519483566284,"S1_base",1
2742140.85069603,1252345.94031008,0.632519483566284,"S1_base",2
2742140.85069603,1252345.44031008,0.632519483566284,"S1_base",3
2742141.35069603,1252345.44031008,0.650091230869293,"S1_base",4
2742141.85069603,1252345.44031008,0.653079926967621,"S1_base",5
2742142.35069603,1252345.44031008,0.653079926967621,"S1_base",6
2742140.85069603,1252344.94031008,0.650091230869293,"S1_base",7
2742141.35069603,1252344.94031008,0.650091230869293,"S1_base",8
2742141.85069603,1252344.94031008,0.653079926967621,"S1_base",9
2742142.35069603,1252344.94031008,0.653079926967621,"S1_base",10
2742142.85069603,1252344.94031008,0.655237674713135,"S1_base",11
2742143.35069603,1252344.94031008,0.655807435512543,"S1_base",12
2742143.85069603,1252344.94031008,0.655807435512543,"S1_base",13
2742144.35069603,1252344.94031008,0.655237674713135,"S1_base",14
2742139.85069603,1252344.44031008,0.583991706371307,"S1_base",15
2742140.35069603,1252344.44031008,0.583991706371307,"S1_base",16
2742140.85069603,1252344.44031008,0.649177610874176,"S1_base",17
2742141.35069603,1252344.44031008,0.649177610874176,"S1_base",18
2742141.85069603,1252344.44031008,0.654615163803101,"S1_base",19
2742142.35069603,1252344.44031008,0.655959248542786,"S1_base",20
2742142.85069603,1252344.44031008,0.655237674713135,"S1_base",21
2742143.35069603,1252344.44031008,0.656709909439087,"S1_base",22
2742143.85069603,1252344.44031008,0.656709909439087,"S1_base",23
2742144.35069603,1252344.44031008,0.655237674713135,"S1_base",24
2742144.85069603,1252344.44031008,0.655237674713135,"S1_base",25
2742145.35069603,1252344.44031008,0.653291821479797,"S1_base",26
2742145.85069603,1252344.44031008,0.652819752693176,"S1_base",27
2742140.85069603,1252343.94031008,0.651034832000732,"S1_base",28
2742141.35069603,1252343.94031008,0.651034832000732,"S1_base",29
2742141.85069603,1252343.94031008,0.654615163803101,"S1_base",30
2742142.35069603,1252343.94031008,0.655959248542786,"S1_base",31
2742142.85069603,1252343.94031008,0.655959248542786,"S1_base",32
2742143.35069603,1252343.94031008,0.655559122562408,"S1_base",33
2742143.85069603,1252343.94031008,0.656709909439087,"S1_base",34
2742144.35069603,1252343.94031008,0.655237674713135,"S1_base",35
2742144.85069603,1252343.94031008,0.653291821479797,"S1_base",36
2742145.35069603,1252343.94031008,0.653291821479797,"S1_base",37
2742145.85069603,1252343.94031008,0.652819752693176,"S1_base",38
2742146.35069603,1252343.94031008,0.654491722583771,"S1_base",39
2742146.85069603,1252343.94031008,0.656759679317474,"S1_base",40
2742147.35069603,1252343.94031008,0.650821685791016,"S1_base",41
2742139.85069603,1252343.44031008,0.628977596759796,"S1_base",42
2742140.35069603,1252343.44031008,0.633758962154388,"S1_base",43
2742140.85069603,1252343.44031008,0.647756814956665,"S1_base",44
2742141.35069603,1252343.44031008,0.647756814956665,"S1_base",45
2742141.85069603,1252343.44031008,0.655364155769348,"S1_base",46
2742142.35069603,1252343.44031008,0.654615163803101,"S1_base",47
2742142.85069603,1252343.44031008,0.655559122562408,"S1_base",48
2742143.35069603,1252343.44031008,0.65577107667923,"S1_base",49
2742143.85069603,1252343.44031008,0.65577107667923,"S1_base",50
2742144.35069603,1252343.44031008,0.655090749263763,"S1_base",51
2742144.85069603,1252343.44031008,0.655090749263763,"S1_base",52
2742145.35069603,1252343.44031008,0.655090749263763,"S1_base",53
2742145.85069603,1252343.44031008,0.654491722583771,"S1_base",54
2742146.35069603,1252343.44031008,0.654491722583771,"S1_base",55
2742146.85069603,1252343.44031008,0.656759679317474,"S1_base",56
2742147.35069603,1252343.44031008,0.650821685791016,"S1_base",57
2742147.85069603,1252343.44031008,0.650821685791016,"S1_base",58
2742148.35069603,1252343.44031008,0.649979650974274,"S1_base",59
2742148.85069603,1252343.44031008,0.649979650974274,"S1_base",60
2742139.85069603,1252342.94031008,0.628977596759796,"S1_base",61
2742140.35069603,1252342.94031008,0.628977596759796,"S1_base",62
2742140.85069603,1252342.94031008,0.640476286411285,"S1_base",63
2742141.35069603,1252342.94031008,0.645637392997742,"S1_base",64
2742141.85069603,1252342.94031008,0.651752531528473,"S1_base",65
2742142.35069603,1252342.94031008,0.655364155769348,"S1_base",66
2742142.85069603,1252342.94031008,0.659242451190948,"S1_base",67
2742143.35069603,1252342.94031008,0.659242451190948,"S1_base",68
2742143.85069603,1252342.94031008,0.659304857254028,"S1_base",69
2742144.35069603,1252342.94031008,0.657926976680756,"S1_base",70
2742144.85069603,1252342.94031008,0.655090749263763,"S1_base",71
2742145.35069603,1252342.94031008,0.65482896566391,"S1_base",72
2742145.85069603,1252342.94031008,0.65482896566391,"S1_base",73
2742146.35069603,1252342.94031008,0.656759679317474,"S1_base",74
2742146.85069603,1252342.94031008,0.656759679317474,"S1_base",75
2742147.35069603,1252342.94031008,0.650821685791016,"S1_base",76
2742147.85069603,1252342.94031008,0.656144797801971,"S1_base",77
2742148.35069603,1252342.94031008,0.656144797801971,"S1_base",78
2742148.85069603,1252342.94031008,0.649979650974274,"S1_base",79
2742149.35069603,1252342.94031008,0.654974639415741,"S1_base",80
2742149.85069603,1252342.94031008,0.64959043264389,"S1_base",81
2742150.35069603,1252342.94031008,0.64959043264389,"S1_base",82
2742150.85069603,1252342.94031008,0.652192831039429,"S1_base",83
2742140.35069603,1252342.44031008,0.640476286411285,"S1_base",84
2742140.85069603,1252342.44031008,0.646571040153503,"S1_base",85
2742141.35069603,1252342.44031008,0.646571040153503,"S1_base",86
2742141.85069603,1252342.44031008,0.651752531528473,"S1_base",87
2742142.35069603,1252342.44031008,0.651752531528473,"S1_base",88
2742142.85069603,1252342.44031008,0.656356692314148,"S1_base",89
2742143.35069603,1252342.44031008,0.656356692314148,"S1_base",90
2742143.85069603,1252342.44031008,0.659304857254028,"S1_base",91
2742144.35069603,1252342.44031008,0.657926976680756,"S1_base",92
2742144.85069603,1252342.44031008,0.657926976680756,"S1_base",93
2742145.35069603,1252342.44031008,0.659112632274628,"S1_base",94
2742145.85069603,1252342.44031008,0.659112632274628,"S1_base",95
2742146.35069603,1252342.44031008,0.656921803951263,"S1_base",96
2742146.85069603,1252342.44031008,0.656921803951263,"S1_base",97
2742147.35069603,1252342.44031008,0.656356692314148,"S1_base",98
2742147.85069603,1252342.44031008,0.656144797801971,"S1_base",99
2742148.35069603,1252342.44031008,0.656144797801971,"S1_base",100
2742148.85069603,1252342.44031008,0.654974639415741,"S1_base",101
2742149.35069603,1252342.44031008,0.654974639415741,"S1_base",102
2742149.85069603,1252342.44031008,0.64959043264389,"S1_base",103
2742150.35069603,1252342.44031008,0.651415765285492,"S1_base",104
2742150.85069603,1252342.44031008,0.651525259017944,"S1_base",105
2742151.35069603,1252342.44031008,0.652192831039429,"S1_base",106
2742151.85069603,1252342.44031008,0.652192831039429,"S1_base",107
2742152.35069603,1252342.44031008,0.649900019168854,"S1_base",108
2742139.35069603,1252341.94031008,0.605137467384338,"S1_base",109
2742139.85069603,1252341.94031008,0.605137467384338,"S1_base",110
