"x","y","GL1_min","study_area","scenario","ID"
2735211.76298928,1180655.98103033,0.556198358535767,"GL1","min",1
2735205.26298928,1180655.48103033,0.470997363328934,"GL1","min",2
2735205.76298928,1180655.48103033,0.458395302295685,"GL1","min",3
2735206.26298928,1180655.48103033,0.460502475500107,"GL1","min",4
2735206.76298928,1180655.48103033,0.454872518777847,"GL1","min",5
2735207.26298928,1180655.48103033,0.471256911754608,"GL1","min",6
2735207.76298928,1180655.48103033,0.479172110557556,"GL1","min",7
2735208.26298928,1180655.48103033,0.556056082248688,"GL1","min",8
2735208.76298928,1180655.48103033,0.556203484535217,"GL1","min",9
2735209.26298928,1180655.48103033,0.560986757278442,"GL1","min",10
2735209.76298928,1180655.48103033,0.557763397693634,"GL1","min",11
2735210.26298928,1180655.48103033,0.560128152370453,"GL1","min",12
2735210.76298928,1180655.48103033,0.560128152370453,"GL1","min",13
2735211.26298928,1180655.48103033,0.556198358535767,"GL1","min",14
2735211.76298928,1180655.48103033,0.511477589607239,"GL1","min",15
2735212.26298928,1180655.48103033,0.511477589607239,"GL1","min",16
2735198.76298928,1180654.98103033,0.557554006576538,"GL1","min",17
2735199.26298928,1180654.98103033,0.552757561206818,"GL1","min",18
2735199.76298928,1180654.98103033,0.558358073234558,"GL1","min",19
2735200.26298928,1180654.98103033,0.554241895675659,"GL1","min",20
2735200.76298928,1180654.98103033,0.562028348445892,"GL1","min",21
2735201.26298928,1180654.98103033,0.552757561206818,"GL1","min",22
2735201.76298928,1180654.98103033,0.558049201965332,"GL1","min",23
2735202.26298928,1180654.98103033,0.556056082248688,"GL1","min",24
2735202.76298928,1180654.98103033,0.471160918474197,"GL1","min",25
2735203.26298928,1180654.98103033,0.471571505069733,"GL1","min",26
2735203.76298928,1180654.98103033,0.488745033740997,"GL1","min",27
2735204.26298928,1180654.98103033,0.458420604467392,"GL1","min",28
2735204.76298928,1180654.98103033,0.460478574037552,"GL1","min",29
2735205.26298928,1180654.98103033,0.470559120178223,"GL1","min",30
2735205.76298928,1180654.98103033,0.458395302295685,"GL1","min",31
2735206.26298928,1180654.98103033,0.460502475500107,"GL1","min",32
2735206.76298928,1180654.98103033,0.454872518777847,"GL1","min",33
2735207.26298928,1180654.98103033,0.479172110557556,"GL1","min",34
2735207.76298928,1180654.98103033,0.488745033740997,"GL1","min",35
2735208.26298928,1180654.98103033,0.488745033740997,"GL1","min",36
2735208.76298928,1180654.98103033,0.558882534503937,"GL1","min",37
2735209.26298928,1180654.98103033,0.560986757278442,"GL1","min",38
2735209.76298928,1180654.98103033,0.556522071361542,"GL1","min",39
2735210.26298928,1180654.98103033,0.561101198196411,"GL1","min",40
