"nse","r2","bias","rmse","mae","index","model","predictor","origin"
-0.314324391840393,0.0329707749735152,0.0213358134883698,0.138558137312112,0.112180667634201,"k_index","brt","v","measured"
-0.0422499503595966,NA,-0.106945750354329,0.531173465533479,0.407406209005249,"shannon","brt","v","measured"
-0.359660623696657,NA,425.260579427083,826.844687231857,708.642690022786,"abundance","brt","v","measured"
-0.733392790460887,NA,0.154795627909922,0.23797912586737,0.214681987310046,"rel_abundance","brt","v","measured"
-0.198163338506345,0.000592169263000801,0.0128699186799979,0.132293579025031,0.110200483428549,"k_index","brt","v + wd","measured"
-1.15771503841455,0.0180265362477022,0.036889612934391,0.764271165226596,0.632550981850536,"shannon","brt","v + wd","measured"
-0.213436590093218,0.000147358743099337,-152.778270641963,781.119038831464,516.290952285131,"abundance","brt","v + wd","measured"
-0.29303789027396,5.86220467996845e-05,0.0438517021877306,0.205539832215054,0.157754536350713,"rel_abundance","brt","v + wd","measured"
0.308821384723112,0.410237282396361,-0.00087788795253866,0.100479137596951,0.0842800834524959,"k_index","brt","samp","measured"
-0.125921390389514,0.0794793869745732,0.180307187440464,0.55208311574313,0.434691221850412,"shannon","brt","samp","measured"
-0.0580366502836673,0.17885649204903,-335.984191457431,729.388708796246,424.726050337156,"abundance","brt","samp","measured"
0.150751773344597,0.179368348023264,-0.00228553984071301,0.166574184692,0.112916774624087,"rel_abundance","brt","samp","measured"
-0.0517121798084561,0.260190341159846,0.0460499245844007,0.124843004204165,0.104930045174197,"k_index","brt","all","measured"
-0.218083709635118,0.122884146860987,0.250842394457783,0.586230908233256,0.485632654824381,"shannon","brt","all","measured"
-0.0248530321833584,0.125790781248734,-167.425433777627,670.874449945713,477.822729593232,"abundance","brt","all","measured"
0.181931739355694,0.214127025528674,-0.0269292826265541,0.152787181881884,0.0997973009438921,"rel_abundance","brt","all","measured"
0.115895082399205,0.320412864101456,0.0458725915416656,0.114463668918061,0.0934863769308997,"k_index","brt","var","measured"
-1.52755112613348,0.1027564921815,0.131818557663429,0.844462015135863,0.702307315575543,"shannon","brt","var","measured"
0.0713474415021685,0.13446762459012,-164.024138132731,638.612017372738,368.487839290074,"abundance","brt","var","measured"
-0.173256173856417,0.0161042634664575,-0.0378463010291382,0.182973659030525,0.119607825668983,"rel_abundance","brt","var","measured"
