"nse_meas","r2_meas","index","model","predictor","origin","rel_rmse_meas","rel_mae_meas","rel_bias_meas","key","nse_rast","r2_rast","rel_rmse_rast","rel_mae_rast","rel_bias_rast","nse_train","r2_train","rel_rmse_train","rel_mae_train","rel_bias_train","rel_rmse_test","rel_mae_test","rel_bias_test","r2_test","nse_test","rel_rmse_train_meas","rel_mae_train_meas","rel_bias_train_meas","r2_train_meas","nse_train_meas","rel_rmse_train_rast","rel_mae_train_rast","rel_bias_train_rast","r2_train_rast","nse_train_rast"
0.19,0.27,"abundance","brt","var","measured",0.16,0.11,-0.05,"abundance-brt-var",-0.14,0,0.2,0.13,0.04,1,1,0,0,0.06,0.04,0.02,0.09,0.27,0.33,0.16,0.11,0.11,0.73,0.81,0.2,0.13,0.02,1,1.14
-0.04,0.19,"rel_abundance","brt","var","measured",0.18,0.16,0.08,"rel_abundance-brt-var",-0.23,0.02,0.21,0.17,-0.09,0.52,0.94,0.14,0.12,0.28,0.03,0.01,0.17,0.17,0.19,0.04,0.04,0.2,0.75,0.56,0.07,0.05,0.37,0.92,0.75
-0.08,0,"k_index","rf","v","measured",0.14,0.12,0.03,"k_index-rf-v",-0.24,0.04,0.15,0.12,-0.04,NA,NA,NA,NA,NA,0.00999999999999998,0,0.07,0.04,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.18,0,"shannon","rf","v","measured",0.14,0.11,0.03,"shannon-rf-v",-0.48,0.02,0.15,0.11,-0.05,NA,NA,NA,NA,NA,0.00999999999999998,0,0.08,0.02,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.03,"abundance","rf","v","measured",0.18,0.12,0,"abundance-rf-v",-0.13,0.01,0.17,0.12,0.01,NA,NA,NA,NA,NA,0.00999999999999998,0,0.01,0.02,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.03,"rel_abundance","rf","v","measured",0.18,0.13,0,"rel_abundance-rf-v",-0.12,0.01,0.18,0.12,0.02,NA,NA,NA,NA,NA,0,0.01,0.02,0.02,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.17,0.01,"k_index","rf","wd","measured",0.15,0.13,0.03,"k_index-rf-wd",-0.11,0.02,0.15,0.12,-0.03,0.2,0.26,0.13,0.1,0,0,0.01,0.06,0.01,0.06,0.02,0.03,0.03,0.25,0.37,0.02,0.02,0.03,0.24,0.31
-0.2,0.01,"shannon","rf","wd","measured",0.14,0.11,0.03,"shannon-rf-wd",-0.31,0.03,0.14,0.1,-0.04,0.2,0.26,0.14,0.11,0,0,0.01,0.07,0.02,0.11,0,0,0.03,0.25,0.4,0,0.01,0.04,0.23,0.51
-0.1,0.01,"abundance","rf","wd","measured",0.19,0.14,0.01,"abundance-rf-wd",-0.08,0.02,0.19,0.14,0,0.31,0.33,0.15,0.11,0.01,0,0,0.01,0.01,0.02,0.04,0.03,0,0.32,0.41,0.04,0.03,0.01,0.31,0.39
-0.1,0.01,"rel_abundance","rf","wd","measured",0.19,0.14,0,"rel_abundance-rf-wd",-0.08,0.02,0.2,0.14,0,0.27,0.28,0.15,0.11,0,0.01,0,0,0.01,0.02,0.04,0.03,0,0.27,0.37,0.05,0.03,0,0.26,0.35
0.2,0.32,"k_index","rf","samp","measured",0.12,0.1,0.03,"k_index-rf-samp",NA,NA,NA,NA,NA,0.36,0.55,0.12,0.09,0,NA,NA,NA,NA,NA,0,0.01,0.03,0.23,0.16,NA,NA,NA,NA,NA
-0.25,0.06,"shannon","rf","samp","measured",0.14,0.11,0.04,"shannon-rf-samp",NA,NA,NA,NA,NA,0.26,0.48,0.14,0.11,0,NA,NA,NA,NA,NA,0,0,0.04,0.42,0.51,NA,NA,NA,NA,NA
0.2,0.22,"abundance","rf","samp","measured",0.16,0.11,0,"abundance-rf-samp",NA,NA,NA,NA,NA,0.39,0.52,0.14,0.1,0,NA,NA,NA,NA,NA,0.02,0.01,0,0.3,0.19,NA,NA,NA,NA,NA
