"v_ezg","wd_cm_ezg","v_q","wd_cm_q","Reach_Untersuchungsstelle","velocity","wd_cm"
1.28799998760223,0.340000003576279,1.39800000190735,0.382999986410141,"GL1",0.22,0.37
1.50399994850159,0.352999985218048,1.62899994850159,0.393999993801117,"GL1",1.15,0.42
1.15799999237061,0.199000000953674,1.32000005245209,0.238999992609024,"GL1",1.02,0.38
1.12000000476837,0.465999990701675,1.24800002574921,0.509999990463257,"GL1",0.73,0.41
1.1360000371933,0.437000006437302,1.26400005817413,0.483000010251999,"GL1",0.9,0.38
0.915000021457672,0.319999992847443,1.04200005531311,0.36599999666214,"GL1",1.31,0.43
NA,0,NA,0,"GL1",0.35,0.16
NA,0,NA,0,"GL1",2.2,0.38
1.67299997806549,0.0610000006854534,2.04399991035461,0.0839999988675117,"GL1",1.72,0.37
NA,0,NA,0,"GL1",0.64,0.43
0.783999979496002,0.0839999988675117,0.924000024795532,0.120999999344349,"GL1",1.18,0.4
1.317999958992,0.150999993085861,1.43900001049042,0.187000006437302,"GL1",1.08,0.31
0.646000027656555,0.730000019073486,0.782999992370605,0.787999987602234,"GL2",0.32,0.22
0.465000003576279,0.578000009059906,0.611999988555908,0.635999977588654,"GL2",0.74,0.34
NA,0,NA,0,"GL2",1.25,0.52
0.879999995231628,0.444000005722046,1.03299999237061,0.507000029087067,"GL2",0.01,0.11
0.663999974727631,0.535000026226044,0.77700001001358,0.595000028610229,"GL2",0.22,0.23
0.195999994874001,0.580999970436096,0.199000000953674,0.638999998569489,"GL2",0.97,0.66
1.51999998092651,0.136999994516373,1.60000002384186,0.164000004529953,"GL2",0.44,0.16
0.0649999976158142,0.223000004887581,0.118000000715256,0.25900000333786,"GL2",0.91,0.23
0.446999996900558,0.200000002980232,0.603999972343445,0.234999999403954,"GL2",1.33,0.48
0.00499999988824129,0.00999999977648258,0.569000005722046,0.0399999991059303,"GL2",0.51,0.1
0.625999987125397,0.0329999998211861,0.920000016689301,0.0649999976158142,"GL2",0.93,0.24
0.998000025749207,0.395000010728836,1.08899998664856,0.435000002384186,"GL2",0.63,0.2
0.0209999997168779,0.202000007033348,NA,0,"L2",0.05,0.24
0.898999989032745,0.658999979496002,0.377999991178513,0.397000014781952,"L2",0.38,0.51
0.857999980449677,0.795000016689301,0.395000010728836,0.519999980926514,"L2",0.77,0.65
0.381000012159348,0.558000028133392,0.158000007271767,0.224000006914139,"L2",0.02,0.3
0.735000014305115,0.804000020027161,0.30799999833107,0.492000013589859,"L2",0.3,0.71
0.84799998998642,0.794000029563904,0.368999987840652,0.486999988555908,"L2",0.5,0.72
0.717000007629395,0.300000011920929,0.123000003397465,0.0480000004172325,"L2",0.05,0.16
0.920000016689301,0.446999996900558,0.428999990224838,0.187000006437302,"L2",0.36,0.38
1.22500002384186,0.507000029087067,0.700999975204468,0.252000004053116,"L2",1.24,0.61
0.446999996900558,0.384999990463257,0.101000003516674,0.0560000017285347,"L2",0.05,0.2
0.620999991893768,0.644999980926514,0.312999993562698,0.316000014543533,"L2",0.49,0.55
0.810999989509583,0.569000005722046,0.453000009059906,0.243000000715256,"L2",0.55,0.56
1.20700001716614,0.219999998807907,0.667999982833862,0.12899999320507,"M1",0.11,0.19
0.848999977111816,0.398000001907349,0.477999985218048,0.289000004529953,"M1",0.24,0.36
0.540000021457672,0.400999993085861,0.282999992370605,0.28600001335144,"M1",0.14,0.43
0.773000001907349,0.345999985933304,0.507000029087067,0.224999994039536,"M1",0.1,0.09
0.771000027656555,0.379000008106232,0.509999990463257,0.256999999284744,"M1",0.41,0.35
