"nse","r2","bias","rmse","mae","index","model","predictor","origin"
-1.06549254582045,0.0721912160259925,-0.0284146816992503,0.147104022519152,0.113556554584452,"k_index","brt","v","raster_extract"
-1.08058136839509,0.0262387265448125,-0.154800434745194,0.651154792920015,0.499145133356901,"shannon","brt","v","raster_extract"
-0.438852027289881,0.000488141738497373,53.5157512707663,791.617495891312,566.249818351831,"abundance","brt","v","raster_extract"
-0.169427627250007,0.00970793784788276,-0.0340497360155216,0.180164378800384,0.135978980913414,"rel_abundance","brt","v","raster_extract"
-0.219257343219984,0.000181739264899666,-0.0131360020979882,0.127851364038851,0.107881471181105,"k_index","brt","v + wd","raster_extract"
-1.10975205793602,0.00762538672240305,-0.0840403641372906,0.739785398672345,0.59576573832833,"shannon","brt","v + wd","raster_extract"
-0.143921769471776,0.0166200608126487,245.95803715138,789.77294911871,498.109357062351,"abundance","brt","v + wd","raster_extract"
-0.19743213809692,0.0064098371637815,-0.0299674287123019,0.198881131968766,0.152912186830102,"rel_abundance","brt","v + wd","raster_extract"
0.340475129930852,0.37354560091642,-0.0215091216210044,0.0962661852638107,0.0790034925971884,"k_index","brt","var","raster_extract"
-0.0485078401746233,0.0646217279936783,-0.0289077125403646,0.528825152063237,0.405361456161993,"shannon","brt","var","raster_extract"
-0.23082105164347,0.0105466612534411,51.9935530598244,807.274830333203,560.384800155511,"abundance","brt","var","raster_extract"
-0.213500610167053,0.0404454376955941,0.040387289775052,0.204326946858151,0.137741695160563,"rel_abundance","brt","var","raster_extract"
