"v_raster","wd_m_raster","froude_raster","shear_raster","stream_raster","Reach_Untersuchungsstelle","velocity","x","y","wd_m","froude","shear_stress","stream_power"
1.28799998760223,0.340000003576279,0.705248057842255,99.4433746337891,128.083068847656,"GL1",0.22,2735248.432,1180524.176,0.37,0.115474825623527,2.66604027850565,0.586528861271243
1.50399994850159,0.352999985218048,0.808213293552399,130.600250244141,196.422775268555,"GL1",1.15,2735246.433,1180523.339,0.42,0.566550583883584,64.1755292837356,73.801858676296
1.15799999237061,0.199000000953674,0.828795731067657,137.336853027344,159.036071777344,"GL1",1.02,2735243.729,1180522.417,0.38,0.528291800028913,55.8007216795451,56.916736113136
1.12000000476837,0.465999990701675,0.523830235004425,54.8621978759766,61.4456634521484,"GL1",0.73,2735262.993,1180489.925,0.41,0.363995846550355,26.4901814066617,19.337832426863
1.1360000371933,0.437000006437302,0.548659801483154,60.186393737793,68.3717422485352,"GL1",0.9,2735260.913,1180489.709,0.38,0.466139823554923,43.443468435632,39.0991215920688
0.915000021457672,0.319999992847443,0.516430199146271,53.3230895996094,48.7906303405762,"GL1",1.31,2735258.67,1180488.861,0.43,0.637826507504706,81.338695806223,106.553691506152
NA,0,NA,NA,NA,"GL1",0.35,2735319.698,1180423.025,0.16,0.279365999856169,15.6041161703601,5.46144065962604
NA,0,NA,NA,NA,"GL1",2.2,2735317.244,1180421.737,0.38,1.13945290202314,259.588132380814,571.09389123779
1.67299997806549,0.0610000006854534,2.16270112991333,935.158203125,1564.51965332031,"GL1",1.72,2735316.334,1180419.489,0.37,0.902803182147575,162.958957849817,280.289407501684
NA,0,NA,NA,NA,"GL1",0.64,2735341.645,1180406.044,0.43,0.311609896796192,19.413979256587,12.4249467242157
0.783999979496002,0.0839999988675117,0.86365818977356,149.133728027344,116.920845031738,"GL1",1.18,2735336.819,1180407.799,0.4,0.59568615726846,70.9458656509695,83.716121468144
1.317999958992,0.150999993085861,1.08291018009186,234.464416503906,309.024078369141,"GL1",1.08,2735334.931,1180405.092,0.31,0.619310445286783,76.6847287999285,82.8195071039228
0.646000027656555,0.730000019073486,0.241399630904198,11.6510553359985,7.52658224105835,"GL2",0.32,2735745.309,1179055.153,0.22,0.217823200163608,9.48637622765047,3.03564039284815
0.465000003576279,0.578000009059906,0.195278540253639,7.62432050704956,3.54530906677246,"GL2",0.74,2735746.741,1179056.386,0.34,0.405189103395074,32.8252159035359,24.2906597686166
NA,0,NA,NA,NA,"GL2",1.25,2735749.743,1179057.946,0.52,0.553444196210266,61.2406443106755,76.5508053883443
0.879999995231628,0.444000005722046,0.421654433012009,35.5472030639648,31.2815380096436,"GL2",0.01,2735754.012,1179045.269,0.11,0.00962651637096513,0.0185280785696298,0.00018528078569629
0.663999974727631,0.535000026226044,0.289838880300522,16.7959823608398,11.1525316238403,"GL2",0.22,2735755.207,1179047.492,0.23,0.146461763529659,4.28884740455257,0.943546429001565
0.195999994874001,0.580999970436096,0.0820981711149216,1.34759402275085,0.264128416776657,"GL2",0.97,2735757.467,1179049.76,0.66,0.381210858602184,29.0551152102745,28.1834617539662
1.51999998092651,0.136999994516373,1.31113922595978,343.708038330078,522.436218261719,"GL2",0.44,2735773.042,1179011.872,0.16,0.351202971247756,24.6608725761773,10.850783933518
0.0649999976158142,0.223000004887581,0.0439467132091522,0.386140078306198,0.025099104270339,"GL2",0.91,2735774.299,1179012.999,0.23,0.605819112781771,73.3800523907021,66.775847675539
0.446999996900558,0.200000002980232,0.319122940301895,20.361421585083,9.10155582427979,"GL2",1.33,2735776.987,1179012.916,0.48,0.612909733833675,75.1078125,99.893390625
0.00499999988824129,0.00999999977648258,0.0159637704491615,0.0509522147476673,0.000254761078394949,"GL2",0.51,2735805.85,1178897.721,0.1,0.514915152893075,53.0106855955679,27.0354496537396
0.625999987125397,0.0329999998211861,1.10022842884064,242.023635864258,151.506790161133,"GL2",0.93,2735802.55,1178897.816,0.24,0.606097962429476,73.4476194598338,68.3062860976454
0.998000025749207,0.395000010728836,0.506987810134888,51.390998840332,51.2882194519043,"GL2",0.63,2735800.157,1178896.735,0.2,0.449770583722025,40.4458691135734,25.4808975415512
0.0209999997168779,0.202000007033348,0.0149179482832551,0.0444949045777321,0.000934392970521003,"L2",0.05,2777147.747,1198394.052,0.24,0.032585911958574,0.212300900277008,0.0106150450138504
0.898999989032745,0.658999979496002,0.353575766086578,24.9952239990234,22.4707069396973,"L2",0.38,2777148.101,1198399.737,0.51,0.169888509012803,5.77058823529412,2.19282352941176
0.857999980449677,0.795000016689301,0.307233959436417,18.8725452423096,16.1926441192627,"L2",0.77,2777149.204,1198403.709,0.65,0.304929571279597,18.5905039420413,14.3146880353718
0.381000012159348,0.558000028133392,0.162844598293304,5.30198907852173,2.02005791664124,"L2",0.02,2777156.023,1198393.293,0.3,0.0116582902797112,0.0271745152354571,0.00054349030470914
0.735000014305115,0.804000020027161,0.261712700128555,13.6943588256836,10.065354347229,"L2",0.3,2777154.81,1198396.691,0.71,0.113673066703642,2.58349264562444,0.775047793687332
0.84799998998642,0.794000029563904,0.303844302892685,18.4584083557129,15.6527299880981,"L2",0.5,2777154.859,1198399.161,0.72,0.188134850410721,7.07669667590028,3.53834833795014
0.717000007629395,0.300000011920929,0.417949706315994,34.9252967834473,25.0414390563965,"L2",0.05,2777279.658,1198345.041,0.16,0.0399094285508813,0.318451350415512,0.0159225675207756
0.920000016689301,0.446999996900558,0.439338803291321,38.5914611816406,35.5041427612305,"L2",0.36,2777281.145,1198348.68,0.38,0.186455929421969,6.95095494970112,2.5023437818924
