"nse","bias","mae","rmse","r2","index","predictor","model"
-0.156889679150106,0.0146302026326759,0.118337519801801,0.137048715425553,0.00279765585197585,"k_index","v","autotuner"
-0.730596060985588,0.0896223977592321,0.146747272514491,0.167620391745243,0.101747668557848,"k_index","v","xgb"
-0.254956530514109,0.0189272625489905,0.122982186201076,0.142739225945177,1.31317174874949e-06,"k_index","v","xgb w/o coord"
-0.531385034874682,0.0708998825998927,0.502013386397727,0.636751676873882,0.0196294221031579,"shannon","v","autotuner"
-1.13748054342902,0.229359530380266,0.619359407805926,0.752279077094564,0.00922085319817291,"shannon","v","xgb"
-0.499337334750765,0.0577068542861197,0.49898372264814,0.630053713606889,0.0300110914108634,"shannon","v","xgb w/o coord"
-0.848368773918675,20.0993436177572,706.939890361968,1006.23036037391,0.00216188627731211,"abundance","v","autotuner"
-0.150028782257359,298.206016903832,646.035656156994,793.701973705523,0.0469315142170681,"abundance","v","xgb"
-0.888327966191524,58.4510372706822,732.590112958636,1017.04886138878,0.00499993479365827,"abundance","v","xgb w/o coord"
-0.67710543968476,0.00490997760359698,0.173458160076475,0.244947742511319,0.00186495020678688,"rel_abundance","v","autotuner"
-0.0420337225647245,0.0676002401089381,0.154825190092976,0.193078601479863,0.0882651570161544,"rel_abundance","v","xgb"
-0.701020569587107,0.011637811547482,0.177965304283327,0.246688009178957,0.0042685466827488,"rel_abundance","v","xgb w/o coord"
-0.149774476070292,0.0169218362471479,0.117059203733971,0.136626620985814,0.0261220344784126,"k_index","v + wd","autotuner"
-0.564822847705156,0.0843030174247867,0.139804055435977,0.159390188831088,0.114777133226384,"k_index","v + wd","xgb"
-0.291299016328961,0.0232867210778044,0.123351663175687,0.144791279512541,0.0043633085542565,"k_index","v + wd","xgb w/o coord"
-0.910334497142511,0.0793539137778222,0.570434919581079,0.711185031156281,0.00163069799461116,"shannon","v + wd","autotuner"
-1.24937012124754,0.23750224933685,0.644360223809452,0.771717518256055,0.00710874200214362,"shannon","v + wd","xgb"
-0.902087891576618,0.0953916851674202,0.586444595610502,0.709648335472975,0.00687617183255057,"shannon","v + wd","xgb w/o coord"
-0.438526345868849,-14.6415109180269,610.774430592855,887.691406226154,0.00152256587791785,"abundance","v + wd","autotuner"
-0.0174836237587896,185.716879345122,595.454725356329,746.563613903467,0.0540150032238556,"abundance","v + wd","xgb"
-0.432316686256519,-0.416576203845796,619.865690322149,885.773393729494,0.00213921869354428,"abundance","v + wd","xgb w/o coord"
-0.519905827581653,-0.000728380180469899,0.163001212210311,0.233185530089821,0.00259499229736143,"rel_abundance","v + wd","autotuner"
-0.000304278263327351,0.0599052025921285,0.154119669113654,0.189173073811582,0.100694999674113,"rel_abundance","v + wd","xgb"
-0.501734980638607,0.00132835401246913,0.165258348907928,0.231787443807585,0.00350240896221548,"rel_abundance","v + wd","xgb w/o coord"
0.237450240603856,0.00938723403367433,0.0920618692587898,0.111266157451901,0.272523716630919,"k_index","samp","autotuner"
-0.141713958632429,0.075347968051932,0.112186050787785,0.136146866817491,0.240012695673315,"k_index","samp","xgb"
0.11351866969916,0.0197598159697386,0.0992523388590458,0.119967550819365,0.176570493034749,"k_index","samp","xgb w/o coord"
-0.181040123392215,0.0800950542512788,0.434846924188461,0.559191065763218,0.10599579934666,"shannon","samp","autotuner"
-0.807006295751316,0.0765282434787463,0.541678894394022,0.691684001754526,0.0323409355446382,"shannon","samp","xgb"
-0.249678278265154,0.0215896951011643,0.463023464118763,0.575210769343646,0.0340750550599667,"shannon","samp","xgb w/o coord"
0.00541934439169867,-58.1370200046471,502.185816340503,738.113433410856,0.0946041162869546,"abundance","samp","autotuner"
0.208563787371349,18.0882580166771,450.308681215559,658.432204245161,0.222419531799938,"abundance","samp","xgb"
-0.0478762798151104,24.8826784633455,515.952669938405,757.631652083052,0.108412569201434,"abundance","samp","xgb w/o coord"
-0.104136582456737,0.021357074713782,0.136999333699042,0.198748864953328,0.0901049256240854,"rel_abundance","samp","autotuner"
0.100711653681803,0.0334749398072557,0.132087388180827,0.179367080876114,0.157512354304381,"rel_abundance","samp","xgb"
-0.033230834147622,0.0166521002689551,0.124328105696779,0.192261327449736,0.122284372097526,"rel_abundance","samp","xgb w/o coord"
-1.40527651369148,0.0683000824665331,0.166998789340427,0.197611175315379,0.0223688534158458,"k_index","all","autotuner"
-0.619244502784396,0.0193348795559736,0.132998980593697,0.162138149303537,0.00510499418589877,"k_index","all","xgb"
-0.100574524113845,0.0164982923823754,0.109571836802245,0.133671469882853,0.080573752425945,"k_index","all","xgb w/o coord"
-0.699708122714989,0.119006892158343,0.556887358138658,0.670834010800748,0.0100413192584739,"shannon","all","autotuner"
-0.803426837817963,0.0751736888993748,0.563888113353587,0.69099859155428,0.00369675293304574,"shannon","all","xgb"
-1.05136677984645,0.176154087100182,0.592040015184549,0.73696957200367,0.0591203249426913,"shannon","all","xgb w/o coord"
-0.000421321754944914,-55.6040934267498,517.267117965789,740.277543203514,0.145504754353372,"abundance","all","autotuner"
0.0882982405847001,-80.0907679512387,443.229984419686,706.69090466582,0.139400200414023,"abundance","all","xgb"
-0.0683280534908126,-66.3618407476516,543.647166297549,764.989407659247,0.0651666314221751,"abundance","all","xgb w/o coord"
-0.406783823526659,0.0323812285689013,0.175064054597195,0.224340116133178,0.0464734179858359,"rel_abundance","all","autotuner"
-0.512805834817193,0.0847507193225832,0.196876593197819,0.23264024841505,0.0162966888538168,"rel_abundance","all","xgb"
