"nse","r2","bias","rmse","mae","index","predictor","model"
-0.0262168492465937,0.00229034186424205,0.00967180852792058,0.129076911832961,0.107091734237604,"k_index","v","autotuner"
-0.0113673802755823,0.112836668191418,0.0448457965351093,0.128139630388583,0.110482907049208,"k_index","v","ranger"
-0.0280488553314537,0.00253797086472346,0.00935326050565191,0.129192074746884,0.106750471686309,"k_index","v","ranger w/o coord"
-0.146357794928439,0.000706917708902018,0.0400966940266356,0.550919306577212,0.430669887887071,"shannon","v","autotuner"
-0.191535427290374,0.0471590342085218,0.227207364427291,0.561670193791988,0.459155534107705,"shannon","v","ranger"
-0.129125065828203,0.000459519164508405,0.045573295463268,0.546762753885399,0.423667983901952,"shannon","v","ranger w/o coord"
-0.0755114077176422,0.00748288422830522,-3.82185461535818,767.556963334644,538.080820849389,"abundance","v","autotuner"
-0.0693902971863065,0.00223270784614435,134.458826634543,765.369629482875,610.569247515117,"abundance","v","ranger"
-0.0848995169589679,0.00500591246699881,-10.6990732101233,770.899676291755,540.680763221303,"abundance","v","ranger w/o coord"
-0.0374790963436633,0.015890503968285,-0.000310454270612627,0.192656175654607,0.136117390064606,"rel_abundance","v","autotuner"
-0.0603584131817974,1.58662371607963e-05,0.0208614229510955,0.194768895181878,0.150541276399616,"rel_abundance","v","ranger"
-0.0565810550138124,0.00949996200893363,0.0042604570994264,0.194421669068653,0.139101519282787,"rel_abundance","v","ranger w/o coord"
-0.0523724696011403,0.000294352983756548,0.0129623298131351,0.130711480891583,0.112554349114389,"k_index","v + wd","autotuner"
0.0152582733064879,0.116958341652804,0.0406179650850585,0.126441653413752,0.108935044380901,"k_index","v + wd","ranger"
-0.0668116537606245,0.00016395164926595,0.0138305279860602,0.131605146053494,0.113862649582719,"k_index","v + wd","ranger w/o coord"
-0.210251175783355,0.0240816917847613,0.0616063074444245,0.566064154691981,0.4331029480574,"shannon","v + wd","autotuner"
-0.138458873295585,0.021518672643151,0.17931406076314,0.549017984570713,0.444050295688117,"shannon","v + wd","ranger"
-0.172044668549709,0.0163634119649963,0.0465678243939237,0.557057441051461,0.424963207807124,"shannon","v + wd","ranger w/o coord"
-0.0670313487883947,0.00855247047707327,14.073644472789,764.525006042969,557.142335289116,"abundance","v + wd","autotuner"
-0.0810803695982907,5.1224845116907e-06,81.7930361111111,769.541589634466,601.430138492064,"abundance","v + wd","ranger"
-0.0456114407135593,0.010676413371655,3.15013122637942,756.812451379696,544.723534060847,"abundance","v + wd","ranger w/o coord"
-0.0471598923854335,0.0103504141026832,0.00164967827699916,0.19355293326846,0.140328725475569,"rel_abundance","v + wd","autotuner"
-0.0606259673337595,0.00060978437064007,0.0121648987053219,0.194793466090692,0.148595115529611,"rel_abundance","v + wd","ranger"
-0.0482406853851804,0.00886288067291578,-0.000208068330552035,0.193652792281077,0.139103659098215,"rel_abundance","v + wd","ranger w/o coord"
0.201889574884633,0.299424589743595,0.0147664931938913,0.113830983382179,0.0952901917976535,"k_index","samp","autotuner"
0.227301906285055,0.373616874015293,0.0219667756888772,0.11200409887024,0.0934949479481159,"k_index","samp","ranger"
0.195202524988593,0.284155461691749,0.0122310031889576,0.11430686093755,0.095330947759561,"k_index","samp","ranger w/o coord"
-0.24192437189852,0.136464063571915,0.110044566885072,0.573423481151607,0.438116635822678,"shannon","samp","autotuner"
-0.113632437402716,0.0830993924413063,0.196097069733958,0.542998755430987,0.4412183360938,"shannon","samp","ranger"
0.0166770535150734,0.0518147065468931,0.095263730735785,0.510241742328113,0.399053867289171,"shannon","samp","ranger w/o coord"
0.239126339148903,0.244794949839742,-42.5236263256585,645.59384404368,425.21676213806,"abundance","samp","autotuner"
0.264468459643408,0.278131817143191,-25.2568664862915,634.751528909344,426.994457900433,"abundance","samp","ranger"
0.215275778164941,0.21841734835152,-39.3610833900227,655.634252414556,435.206395011338,"abundance","samp","ranger w/o coord"
0.221574820803169,0.226636028350573,-0.0134495873567814,0.166879002496436,0.110533689346788,"rel_abundance","samp","autotuner"
0.246945581817581,0.250352685430908,-0.00694191218176177,0.164136979793743,0.110220921105691,"rel_abundance","samp","ranger"
0.187795349254204,0.196871559208763,-0.0125246552920357,0.170461377421341,0.111875518731607,"rel_abundance","samp","ranger w/o coord"
0.133505138326408,0.291122928074694,0.00634108970963315,0.118607456231058,0.100045992300308,"k_index","all","autotuner"
0.124894628375045,0.181806273585162,0.0150565003271116,0.119195310885155,0.100908956102122,"k_index","all","ranger"
0.0977351542481829,0.18753723685106,0.0131415940812036,0.121030830722571,0.101619393135488,"k_index","all","ranger w/o coord"
-0.0846663637094776,0.000690520939144635,0.0944559373482748,0.535890408827412,0.424650242598373,"shannon","all","autotuner"
0.0449224158250884,0.0791868724540012,0.042447328002468,0.502860154056438,0.383091934265418,"shannon","all","ranger"
0.0440762393482858,0.0616808688330086,0.0152960015290936,0.503082865925412,0.377406349954764,"shannon","all","ranger w/o coord"
0.136408540572848,0.153335131426537,-4.0145989350964,687.792244967258,487.107317490257,"abundance","all","autotuner"
0.103149436006559,0.124469199684196,-27.7761467895604,700.911439610421,486.798715924942,"abundance","all","ranger"
0.0973401026375796,0.110900976712249,-10.3508538030887,703.177845993549,496.179193460745,"abundance","all","ranger w/o coord"
0.105971417312559,0.117190503069694,-0.00523659695395825,0.178841769954414,0.124598241894609,"rel_abundance","all","autotuner"
0.0867394784074608,0.0953993012914414,-0.00284083883973087,0.180755116614995,0.127788884007081,"rel_abundance","all","ranger"
