"nse","r2","bias","rmse","mae","index","model","predictor","origin"
-0.238485270550173,0.0361559677010373,-0.0337215645016006,0.128451687317262,0.103982982185542,"k_index","rf","v","raster_extract"
-0.475070615603729,0.016020808651369,-0.208289705537001,0.591647173339466,0.449515904977111,"shannon","rf","v","raster_extract"
-0.132645313842827,0.00678088456595985,50.8082013144158,686.104165527326,465.602854457527,"abundance","rf","v","raster_extract"
-0.12329488759955,0.00793440128832107,0.0168032208977142,0.176784814040131,0.119541605326283,"rel_abundance","rf","v","raster_extract"
-0.106288440162682,0.0170033320466954,-0.0284908914675204,0.129634907703159,0.107776791045355,"k_index","rf","v + wd","raster_extract"
-0.3149482673792,0.0259521607740139,-0.149521055608968,0.561200663577472,0.423745022208467,"shannon","rf","v + wd","raster_extract"
-0.0790504946186956,0.0159167599662503,15.4710700374534,760.823244210348,551.853217602996,"abundance","rf","v + wd","raster_extract"
-0.07741292483186,0.0185007565283397,0.000151164031938877,0.195535249361783,0.142805307133026,"rel_abundance","rf","v + wd","raster_extract"
0.270984493127847,0.371963823742334,-0.0345103377626738,0.101210729934428,0.0827996350514805,"k_index","rf","var","raster_extract"
0.0450457233835923,0.204342003174856,-0.195284407460025,0.504681692483201,0.386202862638202,"shannon","rf","var","raster_extract"
0.102773686707132,0.129056839508918,116.715715190833,689.247112035863,453.042391137519,"abundance","rf","var","raster_extract"
0.114143202048575,0.14563697378937,0.0310183791228229,0.17457715319511,0.113676212359041,"rel_abundance","rf","var","raster_extract"
