nse;r2;bias;rmse;mae;index;model;predictor;origin;rel_rmse;rel_mae;rel_bias
0.23;0.36;0.023168008;0.106298419;0.088981171;k_index;rf;samp;measured;0.12;0.1;0.03
-0.24;0.05;0.146210363;0.579414003;0.449564035;shannon;rf;samp;measured;0.14;0.11;0.04
0.19;0.21;-10.70735515;636.9962449;421.7754584;abundance;rf;samp;measured;0.16;0.11;0
0.2;0.2;-0.006300045;0.161800206;0.10586478;rel_abundance;rf;samp;measured;0.16;0.11;-0.01
0.2;0.34;0.042304804;0.108593643;0.092405793;k_index;rf;all;measured;0.12;0.1;0.05
0.13;0.26;0.187383487;0.494579847;0.387774485;shannon;rf;all;measured;0.12;0.1;0.05
0.14;0.15;15.85130076;615.2580074;412.7242579;abundance;rf;all;measured;0.16;0.11;0
0.15;0.16;-0.00091011;0.155528591;0.102882665;rel_abundance;rf;all;measured;0.16;0.1;0
0.29;0.41;0.038880825;0.102725305;0.085009517;k_index;rf;var;measured;0.12;0.1;0.04
0.07;0.29;0.212020434;0.510959272;0.390686901;shannon;rf;var;measured;0.13;0.1;0.05
0.11;0.11;-32.05300708;624.4210677;406.9459771;abundance;rf;var;measured;0.16;0.1;-0.01
0.12;0.12;-0.007062109;0.158881542;0.104067826;rel_abundance;rf;var;measured;0.16;0.1;-0.01
-0.23;0.04;-0.033065289;0.126937185;0.102814738;k_index;rf;v;raster_extract;0.14;0.12;-0.04
-0.46;0.02;-0.207050396;0.5898927;0.448036254;shannon;rf;v;raster_extract;0.15;0.11;-0.05
-0.12;0.01;50.75426652;687.4902356;465.5772164;abundance;rf;v;raster_extract;0.18;0.12;0.01
-0.12;0.01;0.014657774;0.175450763;0.118470746;rel_abundance;rf;v;raster_extract;0.18;0.12;0.01
-0.11;0.02;-0.028493021;0.129633124;0.107314638;k_index;rf;v + wd;raster_extract;0.15;0.12;-0.03
-0.34;0.04;-0.145982791;0.565461855;0.430855635;shannon;rf;v + wd;raster_extract;0.14;0.11;-0.04
-0.1;0.01;10.2769588;759.9915221;551.0386457;abundance;rf;v + wd;raster_extract;0.19;0.14;0
-0.07;0.02;0.002569604;0.194990799;0.142031198;rel_abundance;rf;v + wd;raster_extract;0.19;0.14;0
0.35;0.37;-0.015353303;0.09560345;0.077624474;k_index;rf;var;raster_extract;0.11;0.09;-0.02
0.02;0.16;-0.187216349;0.510003623;0.392304673;shannon;rf;var;raster_extract;0.13;0.1;-0.05
0.09;0.11;84.6030178;693.4148506;467.1686919;abundance;rf;var;raster_extract;0.18;0.12;0.02
0.15;0.15;0.014503879;0.171384864;0.117616682;rel_abundance;rf;var;raster_extract;0.17;0.12;0.01
nse;r2;bias;rmse;mae;index;model;predictor;origin;rel_rmse;rel_mae;rel_bias
0.12;0.15;0.001438245;0.120371527;0.095092334;k_index;rf;velocity;training;0.14;0.11;0
0.15;0.17;-0.000264185;0.602173737;0.459448425;shannon;rf;velocity;training;0.15;0.11;0
0.21;0.22;-6.924793011;611.4986882;451.1952988;abundance;rf;velocity;training;0.16;0.12;0
0.19;0.2;-0.001339975;0.157159881;0.115928289;rel_abundance;rf;velocity;training;0.16;0.12;0
0.21;0.28;-0.001242704;0.114421425;0.090437253;k_index;rf;wd;training;0.13;0.1;0
0.2;0.27;-0.001780805;0.58384885;0.440847076;shannon;rf;wd;training;0.14;0.11;0
0.31;0.33;14.14784143;569.7110966;414.1685963;abundance;rf;wd;training;0.15;0.11;0
0.28;0.29;0.002159007;0.148716264;0.108022529;rel_abundance;rf;wd;training;0.15;0.11;0
0.35;0.53;0.000880256;0.103769575;0.082473554;k_index;rf;samp;training;0.12;0.09;0
0.25;0.47;-0.003779387;0.56504517;0.42774319;shannon;rf;samp;training;0.14;0.11;0
0.39;0.52;4.599108969;534.3208511;382.9220314;abundance;rf;samp;training;0.14;0.1;0
0.55;0.63;0.000274068;0.117012615;0.08131956;rel_abundance;rf;samp;training;0.12;0.08;0
0.54;0.58;-0.001292712;0.087046684;0.06546325;k_index;rf;all;training;0.1;0.07;0
0.67;0.69;0.001787092;0.37606482;0.247792129;shannon;rf;all;training;0.09;0.06;0
0.47;0.55;9.330930929;500.0970095;346.4089146;abundance;rf;all;training;0.13;0.09;0
0.54;0.62;0.000533586;0.11878237;0.081423061;rel_abundance;rf;all;training;0.12;0.08;0
0.65;0.68;0.000104583;0.076352637;0.056507579;k_index;rf;var;training;0.09;0.06;0
0.47;0.53;-0.006290051;0.47547436;0.326042732;shannon;rf;var;training;0.12;0.08;0
0.57;0.64;4.085872943;449.7752196;308.3322046;abundance;rf;var;training;0.11;0.08;0
0.51;0.58;0.001828531;0.122835706;0.085048594;rel_abundance;rf;var;training;0.12;0.09;0
