"r2","nse","bias","rmse","mae","predictor","index","model"
0.00212884236671491,-0.0267279174837962,0.0096593110822514,0.129109048753528,0.107152642320833,"velocity","k-index","rf"
0.000580748815693859,-0.144644960622422,0.0406811861949153,0.55050757376605,0.429967580619819,"velocity","shannon index","rf"
0.00784499570686994,-0.0743730885169791,-2.04825116675652,767.150665394758,537.946802019079,"velocity","abundance","rf"
0.0165673742721653,-0.0355603430676832,-1.98283695471225e-05,0.192477940380581,0.136041086241194,"velocity","rel_abundance","rf"
0.000249236995308854,-0.0528904870758051,0.0128983429367839,0.130743647497414,0.11260080980453,"velocity + wd","k-index","rf"
0.0247895514533563,-0.211713441932068,0.0608936428682098,0.566406020328695,0.433342182108349,"velocity + wd","shannon index","rf"
0.00870927060842038,-0.0652917395294823,13.4400412981858,763.901539217823,555.299455924036,"velocity + wd","abundance","rf"
0.0105155877557194,-0.0460565044733781,0.00167355688179806,0.19345093344208,0.140129336830906,"velocity + wd","rel_abundance","rf"
0.358123208485618,0.156793842235428,0.015243218271318,0.117002699132602,0.0986154183437641,"sampling_locations","k-index","rf"
0.00831009631157529,-0.0691952766098201,0.0731989190111978,0.532054858978708,0.405221595006385,"sampling_locations","shannon index","rf"
0.102530875622523,0.0805951030676932,47.7991078231292,709.670106307415,497.890401927438,"sampling_locations","abundance","rf"
0.0965393579582889,0.081596743228283,0.0107493837670427,0.181263334530133,0.127337433151554,"sampling_locations","rel_abundance","rf"
0.470145783331193,0.217384409629165,0.0101980051070899,0.11272058744845,0.0949455951956715,"all_predictors","k-index","rf"
0.00410753484248247,-0.00230640769918744,0.0194083226730834,0.515143413454621,0.386749828507621,"all_predictors","shannon index","rf"
0.0632823035880947,0.0535444294309945,41.5302628806076,720.034359683773,525.130301047671,"all_predictors","abundance","rf"
0.080088254110647,0.0678205148255562,0.0109328837770009,0.182617766975729,0.133048542952899,"all_predictors","rel_abundance","rf"
0.0079453017428091,-0.105594898966818,0.00991296012780671,0.133976000522107,0.109805284760782,"velocity","k-index","xgbrt"
0.0418169564795631,-0.0278399813829073,0.066444705042992,0.521663741010955,0.415855762291077,"velocity","shannon index","xgbrt"
0.000303312662447975,-0.244854043162842,-56.4013834453764,825.776125326716,553.882529394967,"velocity","abundance","xgbrt"
0.00275582666445333,-0.169647211636186,-0.011323343143506,0.204559994051977,0.136872360459199,"velocity","rel_abundance","xgbrt"
0.00279212664332737,-0.400563468539118,0.0180440902384565,0.150792726222915,0.125972502412956,"velocity + wd","k-index","xgbrt"
0.00843385901164168,-0.885648785989125,0.0477630412005637,0.706575054848391,0.54731190257391,"velocity + wd","shannon index","xgbrt"
0.00066547185755457,-0.732608758829907,56.7973557597115,974.211738465329,697.118783025515,"velocity + wd","abundance","xgbrt"
6.20677537032498e-05,-0.652391960397394,0.02593705796351,0.243136294799622,0.172355298282634,"velocity + wd","rel_abundance","xgbrt"
0.277507658709862,0.265484987465519,0.00709749286667397,0.109201683624432,0.092088785187268,"sampling_locations","k-index","xgbrt"
0.272633844759357,0.252048021397501,0.0361629555333623,0.44500486167287,0.346878464256829,"sampling_locations","shannon index","xgbrt"
0.0412830050215538,-0.370790294278142,177.531252622604,866.540001965682,609.506735041028,"sampling_locations","abundance","xgbrt"
0.0890520700675969,-0.211478662150371,0.0407972828735905,0.208185818418674,0.146022185898502,"sampling_locations","rel_abundance","xgbrt"
0.101190805188501,0.0210445516188283,0.031611116410822,0.126069624640191,0.106508943795363,"all_predictors","k-index","xgbrt"
0.00418965323197761,-0.198011386913461,0.0855544054502927,0.56319445592102,0.45685233940055,"all_predictors","shannon index","xgbrt"
0.147110819038744,0.109763722941598,32.7883407956078,698.322040145707,494.237526121594,"all_predictors","abundance","xgbrt"
0.127297436245463,-0.125592513291163,0.0751403308280874,0.200670649056221,0.155314696223725,"all_predictors","rel_abundance","xgbrt"
