,X,Y,Facies,Porosity,Perm,AI
0,100,900,0,0.101318882,1.996867748,5590.417154
1,100,800,1,0.14767608,10.71178926,3470.845666
3,100,600,1,0.186166618,217.1093653,3732.114787
5,200,900,1,0.129948579,23.34847335,4781.590782
7,200,600,1,0.164922997,154.5558409,2147.668805
10,200,200,0,0.077418839,1.16264194,6844.535923
11,300,800,1,0.164797267,497.5935782,3881.489046
13,300,600,1,0.182675864,931.1890135,5260.675055
15,300,400,1,0.139516336,25.02008282,4928.059101
17,300,100,0,0.078502991,0.5396475,6266.168737
18,400,900,1,0.158800308,174.2583002,4101.371674
19,400,800,1,0.112469217,23.96642474,3978.89377
21,400,600,1,0.174147074,860.7803271,4715.552209
24,400,100,0,0.066615248,0.156519564,6026.595761
32,600,800,1,0.153979885,50.4514173,4285.964754
33,600,700,1,0.116428107,4.525924491,5472.785278
34,600,600,0,0.087709551,1.826600795,4815.685452
35,600,400,0,0.110139911,9.560463243,5721.503654
36,600,200,0,0.111534526,4.269218898,5053.998024
37,600,100,1,0.152041942,54.03574934,5216.867196
39,700,700,0,0.098027886,0.614548162,4404.310927
41,700,400,1,0.137537212,74.77695203,6044.451029
42,700,300,1,0.123651627,11.74633434,5605.81194
43,700,200,0,0.118704721,5.34361948,4822.699607
44,700,100,1,0.144041529,18.68026855,3903.676211
46,800,600,0,0.114876228,3.455681462,4305.081342
50,900,700,0,0.10741279,0.556418213,3419.144314
52,900,300,1,0.135045112,10.03974217,4125.915119
53,900,200,1,0.139413629,7.75053274,4242.735416
54,900,100,1,0.172168407,52.27304256,4354.446742
61,230,639,1,0.171823072,296.6983994,3206.70009
62,870,449,0,0.065536798,0.672005469,5672.957304
63,60,299,0,0.111198073,2.762642318,5141.51159
65,250,879,1,0.139499223,73.2698863,4571.839622
66,880,89,1,0.159046755,22.18835369,4211.969946
68,90,959,0,0.092601262,2.090806589,5967.714481
69,220,179,0,0.077398724,1.229555809,6279.195302
70,320,619,1,0.173093504,555.5213139,4307.367554
71,360,839,1,0.162924958,343.7264161,4679.295821
72,370,449,1,0.139847737,82.99187677,4727.305881
73,900,699,0,0.096685957,0.375122643,3904.549469
74,180,909,1,0.126662137,13.88274898,4712.673154
75,700,239,0,0.115041279,4.268672258,5660.9994
77,120,429,1,0.121463086,3.497527935,4060.886568
78,180,789,1,0.152404284,61.14294512,3730.922473
79,900,999,1,0.130281153,4.472919052,4282.50802
80,140,79,0,0.083512954,2.020531233,6623.691034
83,240,779,1,0.192486329,1198.681716,3988.299843
86,140,619,1,0.169469209,199.0298861,3358.271778
87,570,199,0,0.081031723,0.810565588,5691.423838
89,800,759,0,0.10168415,0.492812323,4651.462661
91,920,969,0,0.103310727,1.039540619,3807.480283
93,740,389,1,0.130965387,32.09617414,6695.24543
94,250,789,1,0.173882524,559.3759004,3735.162729
96,40,589,1,0.210257626,461.9766762,3890.179723
97,380,259,0,0.064295302,0.322764145,7113.679894
99,190,309,0,0.101047045,1.815873161,5402.085094
100,720,169,1,0.105101018,2.902995361,4470.927142
101,940,799,0,0.091960217,0.192133357,3838.28
102,50,809,1,0.123712239,2.874880927,4555.093964
104,830,819,1,0.124873003,1.78201193,4494.808666
105,230,769,1,0.205586381,1991.097723,4060.634282
107,330,619,1,0.169470314,485.1361907,4367.180402
109,720,99,1,0.158580671,31.32069971,3862.779932
110,260,419,1,0.133233543,9.608327283,4792.113388
112,270,939,1,0.120364,21.42061302,4729.726954
113,920,9,1,0.159776805,45.85504582,3493.860159
114,200,389,1,0.1216697,3.254673917,4836.25283
115,330,229,0,0.084250599,0.78211845,5721.001463
118,950,829,0,0.093887363,0.262364908,3934.477063
119,180,409,1,0.135861819,6.444589616,4234.475398
120,670,779,1,0.132133608,6.435518451,4114.122256
121,180,599,1,0.15649709,96.2819815,2555.565609
122,710,649,0,0.092092903,0.56720895,4274.588082
124,570,659,0,0.096905786,4.32479168,5666.90464
125,130,789,1,0.155974439,24.58813381,4331.375441
126,760,709,0,0.103425876,0.472966348,5783.018259
128,960,289,1,0.139463401,12.88574495,4464.513961
129,880,589,0,0.112188584,2.054184566,5155.065252
130,860,999,1,0.129713529,6.538518785,5174.544117
131,250,419,1,0.124088229,5.397949774,4277.569619
133,960,39,1,0.154220444,39.75394378,3352.542127
136,730,239,1,0.130361716,7.50346438,4567.867914
138,280,409,1,0.136716073,17.12688823,4728.067903
139,50,269,0,0.084510356,1.14140013,4445.115236
141,240,79,0,0.094064496,2.479956696,6144.640275
143,840,969,1,0.120977023,5.25876879,4425.904187
145,260,69,0,0.066231315,0.424679113,6885.78067
146,290,909,1,0.106621624,18.28504281,4794.296936
147,670,629,0,0.112032881,1.798287102,5164.42382
148,170,559,1,0.158777407,73.05441229,2812.271425
149,340,379,1,0.115374478,12.31310038,5119.801819
150,0,429,1,0.147059906,17.10278106,2914.85713
151,710,789,1,0.102122677,0.653171214,4403.12396
152,660,569,0,0.078110482,1.097681603,6053.0282
153,420,59,0,0.098271847,0.83372478,6274.272578
156,0,449,1,0.144673586,15.84406526,3015.240828
157,120,609,1,0.176310428,197.658397,3522.239792
158,390,669,1,0.128368401,126.8459931,4717.84267
159,190,19,0,0.041121518,0.120861741,6367.442357
160,570,799,1,0.141313351,36.5650235,4062.535693
161,10,169,0,0.124219222,13.84014988,5565.058066
162,700,349,1,0.135180244,30.7720945,6481.064873
164,180,359,0,0.110769219,2.269660416,4377.317804
165,310,839,1,0.16307629,446.5632512,4114.37
166,70,589,1,0.203965977,339.8748983,3803.734673
167,980,339,1,0.126457649,10.5944746,4948.890047
168,680,979,1,0.136763227,18.77619464,3846.274912
169,270,219,0,0.062169427,0.40877907,6244.965113
171,920,719,0,0.089571061,0.260590352,2796.643766
172,670,189,0,0.129508591,12.03716379,5231.175812
174,620,379,0,0.112510505,13.17269763,6013.495722
176,10,799,0,0.094496604,0.641237584,5434.888849
177,570,579,0,0.089293392,2.411068502,4453.078357
180,980,119,1,0.173763764,107.9320808,5327.057261
181,170,969,0,0.089943846,2.100467069,4319.592358
182,940,159,1,0.143969589,16.26131915,4589.005976
183,680,29,1,0.128993697,11.32973866,3308.590727
184,70,959,0,0.081094325,1.356098093,5552.875823
185,970,219,1,0.13763664,13.10539936,3543.048285
188,940,169,1,0.143012865,15.71273803,4564.629953
189,610,189,0,0.118295304,6.52597194,5927.240472
192,910,329,0,0.121077155,6.327655274,4929.97128
193,700,609,0,0.100779978,1.648959501,5167.144171
194,70,269,0,0.107088471,3.364425244,4509.980687
195,740,559,0,0.095650835,3.109239305,5428.086105
197,680,689,0,0.095578163,0.620002047,4843.790237
198,620,389,0,0.10029647,7.578783981,6397.384419
199,610,639,0,0.084573823,1.260644125,5021.659759
201,870,69,1,0.144508212,9.928516285,3895.679393
203,200,589,1,0.178565209,251.3611799,1981.177309
204,320,329,0,0.101257609,4.761952967,5878.442606
205,80,339,1,0.097084665,1.157146528,5861.95275
208,410,629,1,0.159714026,423.5062136,5001.128239
209,660,769,1,0.13074371,7.318423996,4286.269709
213,560,979,1,0.15442203,85.34123245,4599.567224
214,630,239,0,0.118745644,6.799805956,5300.493405
216,880,769,0,0.111088241,0.463730924,3763.963644
217,720,819,1,0.137149837,4.245776464,4130.64991
218,300,399,1,0.13316089,16.86356777,5547.31341
219,50,819,1,0.134241459,4.976402338,4569.849281
220,830,729,0,0.107063708,0.589573252,3982.026576
221,930,609,0,0.100176846,0.773156638,5349.918434
224,710,799,1,0.11801194,1.241262123,4130.558123
226,210,259,0,0.10086437,3.320767742,6683.70174
228,410,789,1,0.124565219,36.89424841,4362.001546
229,970,149,1,0.157108582,44.71277769,5216.06005
230,570,369,0,0.103547564,3.934810723,6403.344087
231,750,189,1,0.138428337,10.96014987,4179.653364
232,890,389,0,0.090579556,1.498347428,6055.016636
233,370,379,1,0.152882784,90.60027557,5575.724396
234,360,239,0,0.083478924,0.739744071,6371.355059
235,230,859,1,0.154095139,103.8511868,3945.018935
240,570,279,0,0.094062358,2.186643147,5753.220214
242,100,419,1,0.119454201,2.668076699,4012.550053
243,450,169,0,0.079363741,0.315652235,7132.799046
245,220,859,1,0.149480013,65.60436306,4462.460146
246,140,629,1,0.177707085,291.5015076,3860.520896
248,300,849,1,0.164065312,459.7341972,4627.017779
252,550,9,1,0.13817351,37.60493074,3954.966756
253,190,639,1,0.168017363,224.2294626,3025.167515
255,950,259,1,0.128620416,6.131438298,3932.245864
257,980,769,0,0.111472943,0.873393014,3780.051117
258,940,629,0,0.099428371,0.503399849,4816.640314
260,300,609,1,0.182675864,931.1890135,5260.675055
261,580,569,0,0.091086893,2.119379297,5090.954791
262,110,49,0,0.088686879,2.421278422,6658.973916
263,90,39,0,0.099874776,4.108326482,6619.93103
265,900,79,1,0.149330423,20.30421739,4004.827681
266,900,99,1,0.17089612,54.13963857,4626.567599
268,650,259,0,0.10545331,4.020890104,5429.678201
269,680,429,1,0.116107365,22.70280678,6013.816976
271,680,739,0,0.115432344,1.829175474,5063.083539
275,240,239,0,0.091971368,2.720515911,5871.654072
277,190,889,1,0.151750913,49.42828227,4873.630073
279,300,639,1,0.17179859,591.3426154,3890.002192
280,220,899,1,0.11793932,15.84609423,4976.120878
281,680,269,1,0.110860266,5.710081714,5447.79451
284,320,559,1,0.149399578,131.8642479,4332.562518
287,870,419,0,0.078563393,1.021986416,5950.254343
288,70,869,0,0.127860343,4.896128582,4319.617081
289,260,589,1,0.15270099,101.4199335,4198.340685
290,720,129,1,0.134839256,11.03761216,3716.261543
291,420,959,1,0.13703643,46.27384143,4460.227665
293,900,149,1,0.150603863,16.09971062,4379.194125
294,420,809,1,0.131383054,43.22651198,4611.482457
295,780,629,0,0.066702707,0.265882253,4713.977913
296,420,429,0,0.107800783,19.39444288,4826.452982
300,650,759,1,0.139449219,12.14398911,4723.842774
301,630,369,0,0.114556284,15.81163707,6307.595813
302,920,179,1,0.160230597,30.43508097,4309.36588
