"reach","velocity","x","y","shannon","abundance","k_index","rel_abundance"
"M1",0.11,2734822.966,1129308.228,3.12866281099763,270,0.548595315065383,0.0688248789191945
"M1",0.24,2734821.586,1129307.857,2.40108867605983,759,0.536305725523922,0.193474381850625
"M1",0.14,2734820.122,1129307.498,2.52805176774117,696,0.529841186003194,0.177415243436146
"M1",0.1,2734822.048,1129324.876,1.86170695825142,612,0.478223450567199,0.156003058883508
"M1",0.41,2734820.51,1129325.085,2.32227866111325,2102,0.642039953810491,0.535814427733877
"M1",0.51,2734819.422,1129325.414,2.47285457084079,1499,0.618337224111307,0.382105531481009
"M1",0.01,2734842.711,1129346.278,3.31781787260065,662,0.635698751041965,0.168748406831506
"M1",0.27,2734840.93,1129348.219,2.71861047230095,1793,0.663591212521352,0.457048177415243
"M1",0.37,2734839.109,1129349.478,2.52216235756298,2605,0.689215457880062,0.664032628090747
"M1",0.01,2734848.046,1129348.978,3.3321482732456,917,0.677060829073316,0.233749681366301
"M1",0.14,2734847.009,1129353.065,2.64438846934527,724,0.625604147841119,0.184552638287025
"M1",0.1,2734844.813,1129356.052,2.11384798169998,2553,0.633530533216393,0.650777466224828
"MR",0.05,2736794.555,1133743.459,2.59827785539175,3546,0.675299818853974,0.903900076472088
"MR",0.44,2736795.293,1133744.09,2.76100295880734,1804,0.696287571376422,0.459852153963803
"MR",0.47,2736797.722,1133745.435,2.58074304223555,1686,0.660383063100802,0.429773132806526
"MR",0.01,2736788.393,1133751.648,3.04390560194374,1086,0.592370740056102,0.276828957430538
"MR",0.41,2736790.236,1133752.518,2.61366612605309,502,0.511740715286843,0.12796329339791
"MR",0.2,2736791.653,1133753.578,3.20014801298016,688,0.641910163081161,0.175375987764466
"MR",0.14,2736779.218,1133768.546,2.72841243590107,1163,0.590420154752674,0.296456793270456
"MR",0.35,2736779.933,1133771.329,2.88769015661656,1342,0.679631758901411,0.342085138924293
"MR",0.47,2736780.461,1133773.393,2.3240575613459,1900,0.569427098874012,0.484323222023961
"MR",0.14,2736773.965,1133778.269,2.87840653246949,562,0.552439492170258,0.143257710935509
"MR",0.2,2736774.94,1133778.542,2.24916390359998,1205,0.565662359630713,0.307162885546775
"MR",0.64,2736775.968,1133779.517,2.58451231492964,1354,0.628158211060982,0.345144022431812
"M5",0.01,2729452.93,1122044.578,2.79582563008457,614,0.54763332493868,0.156512872801427
