reach;velocity;x;y;shannon;abundance;k_index;rel_abundance
M1;0.11;2734822.966;1129308.228;3.128662811;270;0.548595315;0.068824879
M1;0.11;2734822.966;1129308.228;3.128662811;270;0.548595315;0.068824879
M1;0.11;2734822.966;1129308.228;3.128662811;270;0.548595315;0.068824879
M1;0.24;2734821.586;1129307.857;2.401088676;759;0.536305726;0.193474382
M1;0.24;2734821.586;1129307.857;2.401088676;759;0.536305726;0.193474382
M1;0.24;2734821.586;1129307.857;2.401088676;759;0.536305726;0.193474382
M1;0.14;2734820.122;1129307.498;2.528051768;696;0.529841186;0.177415243
M1;0.14;2734820.122;1129307.498;2.528051768;696;0.529841186;0.177415243
M1;0.14;2734820.122;1129307.498;2.528051768;696;0.529841186;0.177415243
M1;0.1;2734822.048;1129324.876;1.861706958;612;0.478223451;0.156003059
M1;0.1;2734822.048;1129324.876;1.861706958;612;0.478223451;0.156003059
M1;0.1;2734822.048;1129324.876;1.861706958;612;0.478223451;0.156003059
M1;0.41;2734820.51;1129325.085;2.322278661;2102;0.642039954;0.535814428
M1;0.41;2734820.51;1129325.085;2.322278661;2102;0.642039954;0.535814428
M1;0.41;2734820.51;1129325.085;2.322278661;2102;0.642039954;0.535814428
M1;0.51;2734819.422;1129325.414;2.472854571;1499;0.618337224;0.382105531
M1;0.51;2734819.422;1129325.414;2.472854571;1499;0.618337224;0.382105531
M1;0.51;2734819.422;1129325.414;2.472854571;1499;0.618337224;0.382105531
M1;0.01;2734842.711;1129346.278;3.317817873;662;0.635698751;0.168748407
M1;0.01;2734842.711;1129346.278;3.317817873;662;0.635698751;0.168748407
M1;0.01;2734842.711;1129346.278;3.317817873;662;0.635698751;0.168748407
M1;0.27;2734840.93;1129348.219;2.718610472;1793;0.663591213;0.457048177
M1;0.27;2734840.93;1129348.219;2.718610472;1793;0.663591213;0.457048177
M1;0.27;2734840.93;1129348.219;2.718610472;1793;0.663591213;0.457048177
M1;0.37;2734839.109;1129349.478;2.522162358;2605;0.689215458;0.664032628
