"reach","z","x","y","velocity","wd_m","k_index","shannon","abundance","rel_abundance","ecomorph_class","biogeo_int","mean_diff_nitrogen","mean_diff_phosphor","nr_inhabitants","dom_ww_disch","geology_int"
"M1",403.167,2734822.966,1129308.228,0.11,0.19,0.548595315065383,3.12866281099763,270,0.0688248789191945,NA,NA,NA,NA,NA,NA,NA
"M1",402.999,2734821.586,1129307.857,0.24,0.36,0.536305725523922,2.40108867605983,759,0.193474381850625,NA,NA,NA,NA,NA,NA,NA
"M1",402.96,2734820.122,1129307.498,0.14,0.43,0.529841186003194,2.52805176774117,696,0.177415243436146,NA,NA,NA,NA,NA,NA,NA
"M1",403.408,2734822.048,1129324.876,0.1,0.09,0.478223450567199,1.86170695825142,612,0.156003058883508,NA,NA,NA,NA,NA,NA,NA
"M1",403.275,2734820.51,1129325.085,0.41,0.35,0.642039953810491,2.32227866111325,2102,0.535814427733877,NA,NA,NA,NA,NA,NA,NA
"M1",403.071,2734819.422,1129325.414,0.51,0.49,0.618337224111307,2.47285457084079,1499,0.382105531481009,NA,NA,NA,NA,NA,NA,NA
"M1",403.816,2734842.711,1129346.278,0.01,0.08,0.635698751041965,3.31781787260065,662,0.168748406831506,NA,NA,NA,NA,NA,NA,NA
"M1",403.724,2734840.93,1129348.219,0.27,0.15,0.663591212521352,2.71861047230095,1793,0.457048177415243,NA,NA,NA,NA,NA,NA,NA
"M1",403.665,2734839.109,1129349.478,0.37,0.2,0.689215457880062,2.52216235756298,2605,0.664032628090747,NA,NA,NA,NA,NA,NA,NA
"M1",403.778,2734848.046,1129348.978,0.01,0.1,0.677060829073316,3.3321482732456,917,0.233749681366301,NA,NA,NA,NA,NA,NA,NA
"M1",403.689,2734847.009,1129353.065,0.14,0.23,0.625604147841119,2.64438846934527,724,0.184552638287025,NA,NA,NA,NA,NA,NA,NA
"M1",403.684,2734844.813,1129356.052,0.1,0.28,0.633530533216393,2.11384798169998,2553,0.650777466224828,NA,NA,NA,NA,NA,NA,NA
"MR",472.246,2736794.555,1133743.459,0.05,0.16,0.675299818853974,2.59827785539175,3546,0.903900076472088,3,0,6.03,0.501152782,266,1.15,2
