River;River type;Hydropeaking, residual flow, natural/near-natural;Study site (Untersuchungsstelle);KW;Catchment at KW-outlet [km²];Catchment size from study site [km²];Unaffected Mean Flow at KW-outlet [m³/s];Unaffected Mean Flow at study site [m³/s];Discharge from FGT [m³/s];IBCHQREGIM;Ecomorphological Class;Strahler order;Altitude KW [m.a.s.l.];Altitude study site [m.a.s.l.];Distance of study site to KW [km];Number of tributaries [nr];(Upstream) Distance between consecutive study areas [m];Number of tributaries [nr/km];Longitudinal Slope (mean) at study site [‰];Transversal Slope (mean) at study site [‰];Transversal Slope (st.dev.) at study site [‰];Glacier Cover [%];Agricultural Areas [%] - Sum of a, o, v, h;Settlement areas [%];Number of inhabitants;Domestic wastewater discharge;Geology;BIOGEO;Mean diffuse total nitrogen [kg/ha a];Mean diffuse total phosphor [kg/ha a]
Ticino;2a;Hydropeaking;T3;Biasca;884.89;892.5324;-;-;41.14099503;14;3;6;267;263.1466667;2.05;2;5000;0.400;4.143773483;94.8921453;134.6094823;0.40;0.29;2.91;15987.00;69.39;karbonatisch;Southern Alps;6.85;0.950070422
Ticino;2a;Hydropeaking;T3;Nuova Biaschina;442.1;892.5324;22.17;-;41.14099503;14;3;6;300;263.1466667;7.37;2;5000;0.400;4.143773483;94.8921453;134.6094823;0.40;0.29;2.91;15987.00;69.39;karbonatisch;Southern Alps;6.85;0.950070422
Thur;-;Natural/near-natural;TH1;;-;181.3037;-;9.0699997;9.069999695;8;-;5;-;640.3895;-;3;5000;0.600;7.387049013;85.65933463;78.20837556;0.01;0.07;3.25;4520.00;19.62;karbonatisch;Northern Alps;11.27;1.962375843
Thur;-;Natural/near-natural;TH2;;-;272.322;-;12.9099998;12.90999985;8;-;5;-;590.3638333;-;18;11883;1.515;9.193900611;77.35045509;68.34255878;0.00;0.11;4.74;20927.00;90.83;karbonatisch;Northern Alps;11.44;1.856347223
Thur;-;Natural/near-natural;TH3;;-;310.5219;-;14.3800001;14.38000011;8;-;6;-;554.1108333;-;5;7568;0.661;7.606019326;107.5541157;3.583040317;0.00;0.21;5.05;27783.00;120.59;karbonatisch;Northern Alps;11.41;1.736625395
Thur;-;Natural/near-natural;TH4;;-;472.2496;-;19.9599991;19.95999908;8;-;7;-;540.3599167;-;2;4524;0.442;6.42791069;114.7956496;21.73639413;0.00;0.43;5.13;34077.00;147.90;karbonatisch;Central Plateau;11.40;1.503643677
Thur;-;Natural/near-natural;TH5;;-;715.1745;-;-;25.3844738;9;-;7;-;472.6033333;-;8;20485;0.391;1.188649361;28.58692197;3.398256462;0.00;3.19;9.42;162865.00;706.88;karbonatisch;Central Plateau;12.58;1.172131425
Verzasca;-;Natural/near-natural;VE2;;-;134.1269;;8.6000004;8.600000381;14;1;5;-;578.83725;-;2;3639;0.550;18.51381969;5.017622546;13.8636862;0.00;0.00;0.80;0.00;0.00;silikatisch;Southern Alps;8.82;2.079254562
Verzasca;-;Natural/near-natural;VE3;;-;115.2623;;7.46;0.060103171;14;1;5;-;727.7885;-;1;641;1.560;21.46035996;21.22914692;40.71029841;0.00;0.00;0.82;0.00;0.00;karbonatisch;Southern Alps;8.86;2.18184568
Verzasca;-;Natural/near-natural;VE4;;-;79.39;;5.02;0.000957399;14;1;5;-;737.8525;-;4;5000;0.800;21.35332797;60.76592415;58.21620574;0.00;0.00;0.83;0.00;0.00;silikatisch;Southern Alps;8.87;2.193729406
Vorderrhein;3b;Hydropeaking;VR1;Frisal ;599.52;1487.908;-;-;52.597332;5;2;7;764;603.5231667;27.03;3;9063;0.331;4.331991612;51.8722945;31.37694042;1.72;0.24;1.77;22336.00;96.94;karbonatisch;Eastern Central Alps;5.07;0.620899021
