River;River type;Hydropeaking, residual flow, natural/near-natural;Study site (Untersuchungsstelle);KW;Catchment at KW-outlet [km²];Catchment size from study site [km²];Unaffected Mean Flow at KW-outlet [m³/s];Unaffected Mean Flow at study site [m³/s];Discharge from FGT [m³/s];IBCHQREGIM;Ecomorphological Class;Strahler order;Altitude KW [m.a.s.l.];Altitude study site [m.a.s.l.];Distance of study site to KW [km];Number of tributaries [nr];(Upstream) Distance between consecutive study areas [m];Number of tributaries [nr/km];Longitudinal Slope (mean) at study site [‰];Transversal Slope (mean) at study site [‰];Transversal Slope (st.dev.) at study site [‰];Glacier Cover [%];Agricultural Areas [%] - Sum of a, o, v, h;Settlement areas [%];Number of inhabitants;Domestic wastewater discharge;Geology;BIOGEO;Mean diffuse total nitrogen [kg/ha a];Mean diffuse total phosphor [kg/ha a]
Moesa;2b;Hydropeaking;M4;Sassello;444.9;151.9814175;-;-;6.564246655;13;4;5;278.7;463.1976667;-15.37;0;412;0.000;20.59389186;43.16392749;26.38391018;0.08;0.09;1.85;266.00;1.15;karbonatisch;Southern Alps;6.05;0.500033972
Moesa;2b;Hydropeaking;M5;Soazza;152.05;445.5492945;-;-;18.87054443;14;4;5;470;276.40875;15.66;0;1053;0.000;19.6355347;61.18677267;10.88895597;0.10;0.14;1.94;2729.00;11.84;karbonatisch;Southern Alps;6.41;0.448139892
Moesa;2b;Hydropeaking;M5;Lostallo;183.7;445.5492945;-;-;18.87054443;14;4;5;432.7;276.40875;13.5;0;1053;0.000;19.6355347;61.18677267;10.88895597;0.10;0.14;1.94;2729.00;11.84;karbonatisch;Southern Alps;6.41;0.448139892
Moesa;2b;Hydropeaking;M5;Grono;267.72;445.5492945;-;-;18.87054443;14;4;5;309;276.40875;3.09;0;1053;0.000;19.6355347;61.18677267;10.88895597;0.10;0.14;1.94;2729.00;11.84;karbonatisch;Southern Alps;6.41;0.448139892
Moesa;2b;Hydropeaking;M5;Sassello;444.9;445.5492945;-;-;18.87054443;14;4;5;278.7;276.40875;0.16;0;1053;0.000;19.6355347;61.18677267;10.88895597;0.10;0.14;1.94;2729.00;11.84;karbonatisch;Southern Alps;6.41;0.448139892
Moesa;2b;Hydropeaking;M6;Soazza;152.05;253.54;-;-;0.027212713;16;1;5;470;314.0093333;11.84;2;7022;0.285;7.879067217;31.01092049;18.71972313;0.05;0.19;2.06;2346.00;10.18;karbonatisch;Southern Alps;6.42;0.425416986
Moesa;2b;Hydropeaking;M6;Lostallo;183.7;253.54;-;-;0.027212713;16;1;5;432.7;314.0093333;9.69;2;7022;0.285;7.879067217;31.01092049;18.71972313;0.05;0.19;2.06;2346.00;10.18;karbonatisch;Southern Alps;6.42;0.425416986
Moesa;2b;Hydropeaking;M6;Grono;267.72;253.54;-;;0.027212713;16;1;5;309;314.0093333;-0.72;2;7022;0.285;7.879067217;31.01092049;18.71972313;0.05;0.19;2.06;2346.00;10.18;karbonatisch;Southern Alps;6.42;0.425416986
Moesa;2b;Hydropeaking;M6;Sassello;444.9;253.54;-;-;0.027212713;16;1;5;278.7;314.0093333;-3.65;2;7022;0.285;7.879067217;31.01092049;18.71972313;0.05;0.19;2.06;2346.00;10.18;karbonatisch;Southern Alps;6.42;0.425416986
Moesa;2b;Hydropeaking;M7;Soazza;152.05;473.8317732;-;-;19.69907379;14;3;5;470;237.4014167;21.58;0;5931;0.000;1.865111073;19.25094465;1.805595399;0.10;0.27;2.34;2729.00;11.84;karbonatisch;Southern Alps;6.70;0.448602312
