"reach","velocity","wd_m","x","y","shannon","abundance","k_index"
"T2",0.45,0.9,2723325.553,1120267.847,2.06474401387528,94,0.387760403113493
"T2",0.17,0.13,2723215.171,1120659.45,2.70017121377552,730,0.688435580887454
"T2",1.39,0.42,2723201.949,1120658.037,2.90632571560814,125,0.504348684550744
"T2",1.35,0.36,2723184.903,1120657.462,2.92012798124955,41,0.401838564689854
"T2",0.01,0.16,2723219.139,1120698.461,3.06607477163323,427,0.620772453081578
"T2",0.72,0.61,2723211.554,1120698.386,2.48256425740583,273,0.515681145675593
"T2",0.94,0.71,2723203.218,1120698.051,3.18303973218244,30,0.436062106631715
"S1",0.01,0.13,2742136.499,1252273.04,3.01839587973661,262,0.50187647506586
"S1",0.01,0.73,2742133.302,1252279.694,2.60713987085005,222,0.431296442272227
"S1",0.19,1.06,2742128.621,1252281.078,3.14827445567162,110,0.488133259295211
"S1",0.01,0.16,2742123.285,1252229.855,3.31629381108056,845,0.766382790055347
"S1",0.38,0.53,2742118.852,1252231.224,3.05540459635799,171,0.521816937112586
"S1",0.69,0.61,2742116.269,1252232.206,3.3583495342771,299,0.561859310731473
"S1",0.16,0.19,2742118.569,1252040.11,3.02896294675275,1092,0.7032608726755
"S1",0.69,0.37,2742115.15,1252038.762,3.31448805868512,955,0.725498681395616
"S1",1.2,0.55,2742112.858,1252038.414,3.46110818902083,645,0.66088738281781
"S1",0.01,0.11,2742159.694,1251990.037,2.80491232759958,841,0.641202419792355
"S1",0.27,0.53,2742154.977,1251984.184,3.68570771559261,308,0.620890049294415
"S1",0.33,0.66,2742150.3,1251979.764,3.3780750134579,595,0.687245492447447
"S2",0.02,0.24,2743458.686,1254432.772,2.35285614671049,2159,0.593150080402033
"S2",0.16,0.76,2743462.07,1254437.039,2.43901300982412,2684,0.700037910413436
"S2",0.19,0.91,2743464.677,1254440.664,2.93631816963364,759,0.572214096050322
"S2",0.01,0.16,2743416.296,1254451.147,2.5609519650505,868,0.478828724577317
"S2",0.19,0.46,2743416.808,1254454.03,2.56189683279541,594,0.549266347296468
"S2",0.36,0.68,2743417.595,1254456.465,2.48172378586909,1706,0.678279311540849
"S2",0.22,0.18,2743372.595,1254429.244,3.29044135011499,1079,0.794469863418883
"S2",0.66,0.34,2743369.91,1254430.803,2.60384286739542,3780,0.753803282839838
"S2",1.13,0.55,2743363.472,1254433.851,2.91645421554135,1388,0.576319871137487
"S2",0.01,0.33,2743378.786,1254310.744,2.32639366473584,3423,0.715043094914046
"S2",0.33,0.77,2743375.546,1254306.876,2.67976157059921,1226,0.631967718523353
"S2",0.33,0.82,2743372.187,1254305.638,2.6033260825342,870,0.583419738798021
"SR",0.01,0.16,2743332.409,1251642.107,3.21767553206674,370,0.582492310573186
"SR",0.13,0.7,2743330.389,1251643.655,3.45787313079209,235,0.621624563841344
"SR",0.05,0.89,2743329.05,1251644.468,3.26884940493854,230,0.660075221446393
"SR",0.05,0.25,2743344.568,1251656.954,3.02364823155742,394,0.539429146724684
"SR",0.44,0.57,2743343.282,1251657.532,3.14782534112007,230,0.549695381133506
"SR",0.33,0.65,2743342.309,1251657.984,3.06475274123668,252,0.558373698465364
"SR",0.24,0.19,2743350.691,1251666.337,3.03699997394427,948,0.661162576495516
"SR",0.83,0.3,2743349.449,1251666.368,3.41765364893028,1425,0.788693424743499
"SR",0.47,0.5,2743347.875,1251666.66,2.94924480150095,3018,0.832847980878336
"SR",0.01,0.21,2743380.451,1251668.174,3.19032712891807,871,0.699852722315006
"SR",0.11,0.24,2743380.779,1251671.052,3.0410128413595,2433,0.84495881710826
"SR",0.33,0.7,2743380.264,1251674.981,3.2953178699431,1121,0.73806283602559
"S5",0.05,0.13,2734155.885,1262173.609,2.82166105350681,957,0.654462177292384
"S5",0.22,0.51,2734160.239,1262178.668,2.53403123584882,478,0.447376277151458
"S5",0.44,0.74,2734164.721,1262182.585,2.93750949280313,386,0.538055847009996
"S5",0.11,0.16,2734187.861,1262146.996,2.94248116788682,393,0.552889146137385
"S5",0.27,0.41,2734194.159,1262153.598,2.86358853142001,340,0.541150695152778
"S5",0.74,0.62,2734197.665,1262157.816,3.38815609227221,490,0.675561398195983
"S5",0.14,0.18,2734202.938,1262131.882,2.96448710021824,516,0.553128839184681
"S5",0.44,0.4,2734208.986,1262138.635,3.21443944662883,509,0.591021716780368
"S5",0.94,0.59,2734215.143,1262143.763,3.23522110149958,1229,0.678513887453935
"S5",0.16,0.18,2734224.145,1262103.3,2.7729080996552,850,0.518149578859296
"S5",0.44,0.35,2734231.618,1262112.583,3.01265075260884,747,0.673046332786533
"S5",0.63,0.5,2734235.725,1262118.952,3.12924795543621,698,0.632371079899322
"SA1",0.1,0.11,2576387.499,1181254.94,2.62267541458366,1072,0.527636221341771
"SA1",0.37,0.36,2576389.998,1181249.535,2.44241100996138,1013,0.551075052137827
"SA1",0.64,0.46,2576391.39,1181244.605,2.86439726758111,797,0.673765915685689
"SA1",0.01,0.11,2576354.563,1181240.641,2.25864690435547,1245,0.447177046943455
"SA1",0.31,0.51,2576357.847,1181234.957,2.57672278032402,629,0.517461448080016
"SA1",0.6,0.58,2576359.485,1181231.413,2.20980097659362,903,0.594065837875862
"SA1",0.06,0.09,2576331.741,1181230.602,2.37663321431287,796,0.516617717000577
