Reach_Untersuchungsstelle;velocity;wd_m;x;y;shannon;abundance;k_index;rel_abundance
M1;0.11;0.19;2734822.966;1129308.228;3.028004844;264;0.553921447;0.067467416
M1;0.24;0.36;2734821.586;1129307.857;2.347980403;753;0.541430597;0.192435472
M1;0.14;0.43;2734820.122;1129307.498;2.479222306;691;0.536321269;0.176590851
M1;0.1;0.09;2734822.048;1129324.876;1.802170448;607;0.478661422;0.155123946
M1;0.41;0.35;2734820.51;1129325.085;2.291301495;2094;0.650907214;0.535139279
M1;0.51;0.49;2734819.422;1129325.414;2.432783357;1491;0.62658467;0.381037567
M1;0.01;0.08;2734842.711;1129346.278;3.258619312;655;0.648390196;0.167390749
M1;0.27;0.15;2734840.93;1129348.219;2.685078406;1785;0.675297202;0.456171735
M1;0.37;0.2;2734839.109;1129349.478;2.497285803;2597;0.701163785;0.663685152
M1;0.01;0.1;2734848.046;1129348.978;3.28025576;909;0.69145394;0.232302581
M1;0.14;0.23;2734847.009;1129353.065;2.567526093;715;0.632086943;0.182724252
M1;0.1;0.28;2734844.813;1129356.052;2.089929539;2546;0.641918165;0.650651674
MR;0.05;0.16;2736794.555;1133743.459;2.581089542;3539;0.687053716;0.90442116
MR;0.44;0.26;2736795.293;1133744.09;2.727825662;1796;0.709852501;0.458982878
MR;0.47;0.36;2736797.722;1133745.435;2.548416957;1679;0.671639483;0.429082545
MR;0.01;0.09;2736788.393;1133751.648;3.005616833;1080;0.603708594;0.276003067
MR;0.41;0.55;2736790.236;1133752.518;2.551416758;497;0.516770017;0.127012522
MR;0.2;0.42;2736791.653;1133753.578;3.141445766;681;0.653733013;0.174035267
MR;0.14;0.12;2736779.218;1133768.546;2.69233588;1157;0.600502534;0.295681063
MR;0.35;0.53;2736779.933;1133771.329;2.850371913;1335;0.693833415;0.341170457
MR;0.47;0.48;2736780.461;1133773.393;2.297637435;1894;0.576718476;0.4840276
MR;0.14;0.19;2736773.965;1133778.269;2.830479366;558;0.561722777;0.142601584
MR;0.2;0.33;2736774.94;1133778.542;2.209944281;1199;0.572279809;0.306414516
MR;0.64;0.43;2736775.968;1133779.517;2.545883978;1347;0.638405135;0.344237158
M5;0.01;0.12;2729452.93;1122044.578;2.742070474;609;0.555777262;0.155635063
M5;0.34;0.41;2729453.503;1122039.653;2.396805476;637;0.483128749;0.162790698
M5;0.64;0.62;2729455.95;1122037.351;2.276065908;838;0.558219217;0.214157935
M5;0.05;0.11;2729467.877;1122058.298;2.937396557;276;0.591853864;0.070534117
M5;0.6;0.34;2729468.705;1122057.207;2.942659983;945;0.640151513;0.241502683
M5;1.29;0.53;2729472.058;1122054.897;2.049406256;1348;0.556697613;0.344492717
M5;0.05;0.09;2729479.749;1122070.971;3.013676413;600;0.612615436;0.153335037
M5;0.91;0.53;2729481.799;1122069.723;2.137641512;1126;0.599284485;0.287758753
M5;0.76;0.67;2729484.994;1122068.342;2.117231758;344;0.428175823;0.087912088
M5;0.05;0.08;2729492.519;1122078.492;2.844628761;1001;0.584460568;0.255813953
M5;0.51;0.45;2729492.55;1122078.544;1.98720236;1095;0.541102431;0.279836443
M5;0.45;0.49;2729483.169;1122081.552;2.484241122;700;0.571761312;0.178890877
M7;0.05;0.21;2724226.173;1120092.836;2.520464515;1075;0.633399046;0.274725275
M7;0.14;0.43;2724223.029;1120099.14;1.946626433;850;0.486459384;0.217224636
M7;0.27;0.44;2724220.552;1120103.389;1.299276253;875;0.399221903;0.223613596
M7;0.01;0.15;2724246.208;1120103.432;2.891213586;1113;0.636197373;0.284436494
M7;0.24;0.44;2724242.675;1120111.849;2.309133971;339;0.458068295;0.086634296
M7;0.2;0.53;2724239.893;1120117.367;1.846233053;381;0.390418018;0.097367749
M7;0.01;0.17;2724271.197;1120116.325;2.922630424;711;0.618243459;0.181702019
M7;0.2;0.33;2724266.559;1120123.636;1.707737351;146;0.373056791;0.037311526
M7;0.22;0.47;2724262.863;1120129.571;2.255975073;384;0.434346858;0.098134424
M7;0.05;0.15;2724301.635;1120128.501;2.497009767;470;0.53616117;0.120112446
M7;0.27;0.28;2724299.362;1120133.875;1.872941528;353;0.42266158;0.090212113
M7;0.41;0.37;2724296.812;1120139.032;1.825161014;275;0.431036296;0.070278559
T1;0.1;0.35;2723228.944;1118911.752;1.952032322;335;0.588393384;0.085612062
T1;0.64;0.45;2723231.037;1118907.381;1.617247928;431;0.417975699;0.110145668
T1;0.7;0.47;2723233.635;1118905.656;1.303477843;245;0.356726296;0.062611807
T1;0.1;0.19;2723247.566;1118928.739;2.242181225;438;0.569760717;0.111934577
T1;0.55;0.49;2723247.176;1118920.783;1.703867766;200;0.408918064;0.051111679
T1;0.6;0.63;2723253.1;1118913.194;1.548477596;261;0.393706842;0.066700741
T1;0.14;0.34;2723269.258;1118960.385;2.010980885;186;0.489052602;0.047533861
T1;0.62;0.49;2723272.918;1118956.483;2.647317576;399;0.59172576;0.1019678
T1;0.72;0.83;2723280.564;1118953.247;1.107598721;136;0.284766543;0.034755942
T1;0.05;0.27;2723285.605;1118997.002;1.376691856;371;0.427487792;0.094812165
T1;0.2;0.69;2723291.038;1118991.26;1.550085018;243;0.407664348;0.06210069
T1;0.49;0.61;2723297.98;1118987.247;2.069052934;61;0.382194684;0.015589062
T2;0.01;0.09;2723366.066;1120219.8;1.600355244;727;0.514265044;0.185790953
T2;0.69;0.7;2723359.849;1120214.301;2.488081336;224;0.52914237;0.057245081
