Reach_Untersuchungsstelle;velocity;wd_m;x;y;shannon;abundance;k_index;rel_abundance
T2;0.72;0.77;2723353.398;1120210.441;2.105587123;56;0.382864632;0.01431127
T2;0.01;0.12;2723333.9;1120272.116;1.984647952;539;0.442801158;0.137745975
T2;0.19;0.53;2723329.101;1120269.815;2.175073132;136;0.407089945;0.034755942
T2;0.45;0.9;2723325.553;1120267.847;1.848298171;90;0.372894183;0.023000256
T2;0.17;0.13;2723215.171;1120659.45;2.624494816;721;0.698449746;0.184257603
T2;1.39;0.42;2723201.949;1120658.037;2.745936148;120;0.502571771;0.030667007
T2;1.35;0.36;2723184.903;1120657.462;2.777964132;39;0.408988608;0.009966777
T2;0.01;0.16;2723219.139;1120698.461;2.995216214;421;0.641325879;0.107590084
T2;0.72;0.61;2723211.554;1120698.386;2.376632348;268;0.517099545;0.06848965
T2;0.94;0.71;2723203.218;1120698.051;2.9639267;28;0.430182131;0.007155635
S1;0.01;0.13;2742136.499;1252273.04;2.962243136;259;0.519830274;0.066189624
S1;0.01;0.73;2742133.302;1252279.694;2.522666857;218;0.441714897;0.05571173
S1;0.19;1.06;2742128.621;1252281.078;3.034217626;106;0.501308776;0.02708919
S1;0.01;0.16;2742123.285;1252229.855;3.266055596;838;0.784812165;0.214157935
S1;0.38;0.53;2742118.852;1252231.224;2.945647944;167;0.526374866;0.042678252
S1;0.69;0.61;2742116.269;1252232.206;3.278647409;294;0.571209622;0.075134168
S1;0.16;0.19;2742118.569;1252040.11;2.991217767;1086;0.719531131;0.277536417
S1;0.69;0.37;2742115.15;1252038.762;3.265239921;947;0.742475927;0.2420138
S1;1.2;0.55;2742112.858;1252038.414;3.422198256;640;0.688159027;0.163557373
S1;0.01;0.11;2742159.694;1251990.037;2.76458598;836;0.653534429;0.213646818
S1;0.27;0.53;2742154.977;1251984.184;3.622336485;304;0.636641434;0.077689752
S1;0.33;0.66;2742150.3;1251979.764;3.321028261;589;0.703102626;0.150523895
S2;0.02;0.24;2743458.686;1254432.772;2.332979228;2154;0.602744272;0.550472783
S2;0.16;0.76;2743462.07;1254437.039;2.416926121;2677;0.713102879;0.684129824
S2;0.19;0.91;2743464.677;1254440.664;2.917647838;757;0.596666171;0.193457705
S2;0.01;0.16;2743416.296;1254451.147;2.536492407;865;0.496379453;0.221058012
S2;0.19;0.46;2743416.808;1254454.03;2.50473917;589;0.556319585;0.150523895
S2;0.36;0.68;2743417.595;1254456.465;2.453109683;1700;0.691101604;0.434449272
S2;0.22;0.18;2743372.595;1254429.244;3.239647518;1070;0.813117981;0.273447483
S2;0.66;0.34;2743369.91;1254430.803;2.585749029;3772;0.767016643;0.963966266
S2;1.13;0.55;2743363.472;1254433.851;2.893994368;1384;0.588039653;0.353692819
S2;0.01;0.33;2743378.786;1254310.744;2.310260692;3417;0.727297742;0.873243036
S2;0.33;0.77;2743375.546;1254306.876;2.643619267;1220;0.643173101;0.311781242
S2;0.33;0.82;2743372.187;1254305.638;2.555206224;864;0.592027484;0.220802453
SR;0.01;0.16;2743332.409;1251642.107;3.165907082;366;0.604831425;0.093534373
SR;0.13;0.7;2743330.389;1251643.655;3.377390282;231;0.635204934;0.059033989
SR;0.05;0.89;2743329.05;1251644.468;3.198494037;226;0.683778972;0.057756197
SR;0.05;0.25;2743344.568;1251656.954;2.972133265;390;0.55878754;0.099667774
SR;0.44;0.57;2743343.282;1251657.532;3.074991966;226;0.569257128;0.057756197
SR;0.33;0.65;2743342.309;1251657.984;2.983632883;247;0.576588757;0.063122924
SR;0.24;0.19;2743350.691;1251666.337;2.989823921;941;0.674685608;0.24048045
SR;0.83;0.3;2743349.449;1251666.368;3.382051884;1417;0.809119819;0.362126246
SR;0.47;0.5;2743347.875;1251666.66;2.923951049;3008;0.851046178;0.768719652
SR;0.01;0.21;2743380.451;1251668.174;3.153328841;866;0.716944324;0.22131357
SR;0.11;0.24;2743380.779;1251671.052;3.015939091;2425;0.866400073;0.619729108
SR;0.33;0.7;2743380.264;1251674.981;3.255571653;1114;0.756207438;0.284692052
S5;0.05;0.13;2734155.885;1262173.609;2.773266492;950;0.66521814;0.242780475
S5;0.22;0.51;2734160.239;1262178.668;2.488985309;475;0.451748221;0.121390238
S5;0.44;0.74;2734164.721;1262182.585;2.873817059;382;0.5464926;0.097623307
S5;0.11;0.16;2734187.861;1262146.996;2.893006768;390;0.562556173;0.099667774
S5;0.27;0.41;2734194.159;1262153.598;2.79474664;336;0.549090262;0.085867621
S5;0.74;0.62;2734197.665;1262157.816;3.330207887;485;0.690941069;0.123945822
S5;0.14;0.18;2734202.938;1262131.882;2.915350433;512;0.563476694;0.130845898
S5;0.44;0.4;2734208.986;1262138.635;3.16526398;505;0.604301653;0.12905699
S5;0.94;0.59;2734215.143;1262143.763;3.201869365;1223;0.695249181;0.312547917
S5;0.16;0.18;2734224.145;1262103.3;2.738839156;846;0.526770517;0.216202402
S5;0.44;0.35;2734231.618;1262112.583;2.942119684;738;0.683901403;0.188602096
S5;0.63;0.5;2734235.725;1262118.952;3.076518901;692;0.644661309;0.176846409
SA1;0.1;0.11;2576387.499;1181254.94;2.602198996;1069;0.548005931;0.273191924
SA1;0.37;0.36;2576389.998;1181249.535;2.404577164;1008;0.558814951;0.257602862
SA1;0.64;0.46;2576391.39;1181244.605;2.814175705;791;0.687219631;0.202146691
SA1;0.01;0.11;2576354.563;1181240.641;2.251039927;1244;0.464345143;0.317914643
SA1;0.31;0.51;2576357.847;1181234.957;2.530939167;625;0.524589263;0.159723997
SA1;0.6;0.58;2576359.485;1181231.413;2.160457833;897;0.601530071;0.22923588
SA1;0.06;0.09;2576331.741;1181230.602;2.337767449;792;0.523274871;0.202402249
SA1;1.09;0.38;2576333.64;1181224.082;2.944641976;1804;0.779116304;0.461027345
SA1;1.02;0.34;2576335.269;1181220.784;2.422878639;263;0.471679364;0.067211858
SA1;0.01;0.09;2576316.104;1181229.288;2.369522027;3229;0.717095817;0.825198058
SA1;0.52;0.34;2576317.881;1181223.891;2.806444181;2039;0.763534337;0.521083568
SA1;0.72;0.4;2576319.414;1181218.649;2.671860199;1130;0.649415726;0.288780986
SAR;0.03;0.14;2575586.286;1179876.21;2.538483649;530;0.442926569;0.135445949
SAR;0.26;0.28;2575582.185;1179876.22;2.565800384;793;0.517455287;0.202657807
SAR;0.45;0.33;2575578.339;1179876.145;2.812983255;1118;0.640167264;0.285714286
SAR;0.09;0.18;2575585.106;1179862.167;2.510965742;879;0.529442775;0.224635829
SAR;0.3;0.29;2575580.608;1179862.545;2.511592691;1079;0.628744543;0.275747508
SAR;0.47;0.51;2575576.93;1179862.779;2.95077195;540;0.6121515;0.138001533
SAR;0.18;0.13;2575584.319;1179828.756;2.605562799;1296;0.678991338;0.33120368
SAR;0.65;0.3;2575579.283;1179827.781;3.158550432;1730;0.753738415;0.442116024
SAR;0.75;0.53;2575575.53;1179827.201;3.300163102;518;0.650493126;0.132379249
SAR;0.02;0.11;2575595.907;1179795.386;1.633329802;283;0.327599939;0.072323026
SAR;0.42;0.24;2575589.22;1179793.153;2.573356564;556;0.546816638;0.142090468
SAR;0.5;0.49;2575583.262;1179791.392;2.869182099;1268;0.75703343;0.324048045
SA2;0.11;0.11;2579336.846;1183787.912;2.087864572;2410;0.564646885;0.615895732
SA2;0.42;0.28;2579340.226;1183791.609;2.522525234;1176;0.642376256;0.300536673
SA2;0.47;0.56;2579342.199;1183794.07;2.693245803;1313;0.635333083;0.335548173
SA2;0.03;0.12;2579351.752;1183778.359;1.934952853;2041;0.573448401;0.521594684
SA2;0.57;0.63;2579354.745;1183783.366;2.907526334;1262;0.741709016;0.322514695
SA2;0.75;0.62;2579360.786;1183787.509;2.670126529;770;0.512967249;0.196779964
SA2;0.01;0.11;2579367.687;1183770.416;2.293165412;2225;0.566495768;0.568617429
SA2;0.82;0.38;2579371.137;1183772.907;2.722985102;2784;0.72444837;0.711474572
SA2;1.22;0.56;2579372.832;1183775.044;2.956777996;1187;0.668006417;0.303347815
SA2;0.13;0.11;2579383.987;1183751.999;1.852765733;2585;0.594897767;0.660618451
SA2;0.49;0.4;2579388.171;1183754.904;2.324772483;1307;0.545627049;0.334014822
SA2;0.55;0.59;2579391.292;1183758.105;2.564088362;1595;0.746601906;0.40761564
SA6;0.01;0.11;2584537.727;1195810.863;1.649737447;783;0.405093126;0.200102223
SA6;0.26;0.29;2584530.12;1195815.811;1.875240883;946;0.399176883;0.241758242
SA6;0.55;0.85;2584524.207;1195819.134;2.613074824;75;0.374044613;0.01916688
SA6;0.01;0.1;2584513.192;1195775.863;1.762505935;2423;0.552587866;0.619217991
SA6;0.47;0.61;2584504.443;1195781.462;2.311114374;234;0.326609581;0.059800664
SA6;0.58;0.88;2584500.077;1195783.038;2.309890815;406;0.425044057;0.103756708
SA6;0.07;0.09;2584473.553;1195684.182;2.088666907;1030;0.512962096;0.263225147
SA6;0.85;0.44;2584461.481;1195687.369;2.379010114;304;0.35447825;0.077689752
SA6;1.17;0.76;2584454.101;1195687.627;2.480458295;587;0.505193375;0.150012778
SA6;0.28;0.25;2584458.622;1195527.602;2.560266103;3913;0.89966614;1
SA6;0.9;0.44;2584449.091;1195526.948;2.776756917;198;0.437495128;0.050600562
SA6;0.9;0.59;2584440.652;1195522.977;2.334487993;333;0.386367425;0.085100946
L1;0.5;0.3;2768906.248;1204831.73;2.382003382;260;0.466053431;0.066445183
L1;0.8;0.55;2768905.497;1204830.735;2.933402416;52;0.446607727;0.013289037
L1;0.63;0.44;2768905.85;1204829.234;3.658872433;69;0.592605844;0.017633529
L1;0.44;0.32;2768943.691;1204811.905;2.458148405;75;0.387715439;0.01916688
L1;0.48;0.53;2768943.608;1204810.593;2.09759062;75;0.327383184;0.01916688
L1;0.78;0.63;2768943.348;1204810.366;3.026338963;83;0.496045697;0.021211347
L1;0.69;0.3;2769001.048;1204795.94;2.3332077;179;0.384158353;0.045744953
L1;0.44;0.28;2769000.714;1204794.901;2.304564375;201;0.392628455;0.051367237
L1;0.73;0.57;2768999.514;1204793.262;2.319928342;44;0.340791669;0.011244569
L1;0.55;0.43;2769032.368;1204797.63;2.498828783;55;0.365997683;0.014055712
L1;0.7;0.48;2769032.741;1204795.186;2.195500158;47;0.340922572;0.012011245
L1;0.74;0.48;2769032.84;1204792.808;2.22248508;41;0.332725387;0.010477894
LR;0.01;0.2;2779182.3;1198269.231;0.964453748;489;0.302563765;0.124968055
LR;0.44;0.56;2779181.994;1198271.096;0.66445395;1151;0.33993895;0.294147713
LR;0.55;0.58;2779182.708;1198273.396;1.022235948;1643;0.434961407;0.419882443
LR;0.01;0.16;2779193.191;1198267.261;2.562641142;637;0.53152456;0.162790698
LR;0.35;0.58;2779193.201;1198269.117;2.034894063;128;0.417736192;0.032711475
LR;0.4;1.03;2779193.912;1198271.505;2.534616376;191;0.487059605;0.048811653
LR;0.42;0.27;2779242.354;1198237.924;3.151288886;380;0.595565716;0.09711219
LR;0.54;0.44;2779244.929;1198240.804;3.183733186;153;0.574109711;0.039100434
LR;0.96;0.58;2779245.431;1198242.753;2.876124499;228;0.470951322;0.058267314
LR;0.21;0.22;2779255.123;1198228.793;1.442884758;1646;0.475755217;0.420649118
LR;0.7;0.33;2779257.195;1198229.449;2.580351946;207;0.464478544;0.052900588
LR;1.2;0.6;2779257.728;1198232.786;2.425628207;247;0.504096647;0.063122924
L2;0.05;0.24;2777147.747;1198394.052;2.49218354;360;0.504382885;0.092001022
L2;0.38;0.51;2777148.101;1198399.737;2.565174432;1121;0.523588477;0.286480961
L2;0.77;0.65;2777149.204;1198403.709;2.747792937;1137;0.594282068;0.290569895
L2;0.02;0.3;2777156.023;1198393.293;0.473774647;953;0.278218985;0.243547151
L2;0.3;0.71;2777154.81;1198396.691;2.75071095;383;0.46462951;0.097878865
L2;0.5;0.72;2777154.859;1198399.161;2.831499356;795;0.561636037;0.203168924
L2;0.05;0.16;2777279.658;1198345.041;2.727316994;677;0.539821868;0.173013033
L2;0.36;0.38;2777281.145;1198348.68;2.386046021;843;0.526338896;0.215435727
L2;1.24;0.61;2777282.005;1198352.954;2.378550394;1161;0.554363889;0.296703297
L2;0.05;0.2;2777292.361;1198338.701;2.440160462;303;0.471920775;0.077434194
L2;0.49;0.55;2777292.592;1198342.706;2.715951625;1173;0.568049206;0.299769997
L2;0.55;0.56;2777294.528;1198346.603;2.524579758;1481;0.564258656;0.378481983
PR;0.17;0.12;2773062.092;1185658.309;2.912053558;849;0.610646531;0.216969077
PR;0.55;0.21;2773060.541;1185658.536;3.555839027;994;0.732705456;0.254025045
PR;0.24;0.4;2773058.967;1185658.432;2.853808274;932;0.663303346;0.238180424
PR;0.1;0.24;2773064.408;1185647.677;3.11996712;1073;0.604846958;0.274214158
PR;0.3;0.33;2773063.811;1185647.147;3.030777578;138;0.512100915;0.035267059
PR;0.85;0.45;2773063.333;1185646.883;3.632815682;617;0.694583876;0.15767953
PR;0.27;0.22;2773068.977;1185639.551;3.203154529;517;0.632257187;0.13212369
PR;0.52;0.41;2773068.303;1185638.873;3.452324769;1109;0.667816329;0.28341426
PR;0.35;0.21;2773066.053;1185638.238;3.537600189;1085;0.72327918;0.277280859
PR;0.11;0.23;2773072.626;1185633.592;2.290674148;921;0.516483172;0.235369282
PR;0.1;0.28;2773071.878;1185633.424;3.162073407;374;0.598494433;0.09557884
PR;0.55;0.37;2773071.054;1185632.662;2.976089687;477;0.620675954;0.121901354
P1;0.02;0.23;2773014.557;1186021.291;2.367611961;324;0.482992533;0.08280092
P1;0.81;0.48;2773012.586;1186021.08;2.825451332;469;0.579548867;0.119856887
P1;0.63;0.44;2773011.689;1186020.789;2.683082816;526;0.565303099;0.134423716
P1;0.9;0.43;2773017.035;1186011.474;2.881727342;770;0.612368205;0.196779964
P1;0.65;0.43;2773016.202;1186011.035;3.087043369;335;0.632371498;0.085612062
P1;0.45;0.45;2773015.04;1186010.438;2.534154862;418;0.523592171;0.106823409
P1;0.25;0.18;2773022.819;1185998.212;2.724770368;1539;0.608894945;0.39330437
P1;0.2;0.35;2773021.465;1185998.007;2.951642546;493;0.565966813;0.125990289
P1;0.35;0.23;2773019.962;1185997.167;0;0;0;0
P1;0.21;0.15;2773034.839;1185982.543;2.359456735;812;0.480509401;0.207513417
P1;0.48;0.3;2773034.254;1185980.078;2.976810047;695;0.591507656;0.177613085
P1;0.65;0.4;2773032.65;1185978.414;0;0;0;0
VR1;0.02;0.42;2746361.002;1186817.05;0.681263723;640;0.338514601;0.163557373
VR1;0.75;0.47;2746367.015;1186823.194;2.727563128;57;0.376744681;0.014566829
VR1;0.8;0.92;2746372.339;1186832.675;2.390674596;40;0.342460802;0.010222336
VR1;0.08;0.27;2746263.522;1186877.449;2.297906539;349;0.447146878;0.08918988
VR1;0.63;0.6;2746264.819;1186882.138;2.531778656;117;0.401053017;0.029900332
VR1;0.83;0.92;2746265.921;1186886.967;2.411635816;49;0.360892983;0.012522361
VR1;0.3;0.32;2746178.854;1186872.976;2.15161477;338;0.350988156;0.086378738
VR1;0.66;0.51;2746178.552;1186875.078;2.586131495;73;0.387901568;0.018655763
VR1;1.3;0.73;2746178.843;1186877.668;3.235723632;35;0.466932038;0.008944544
VR1;0.36;0.16;2746128.403;1186858.052;3.007368028;344;0.480647477;0.087912088
VR1;1.03;0.41;2746126.101;1186863.242;2.977738924;95;0.447312585;0.024278048
VR1;1.52;0.65;2746123.583;1186870.587;2.797560306;96;0.408022725;0.024533606
VR3;0.29;0.32;2737473.074;1183169.819;2.847934291;307;0.556739434;0.078456427
VR3;0.68;0.7;2737471.948;1183173.671;2.823448992;13;0.362969323;0.003322259
VR3;0.74;0.81;2737470.146;1183176.519;3.018957708;86;0.475004337;0.021978022
VR3;0.05;0.23;2737486.904;1183174.215;2.494555576;673;0.502319942;0.1719908
VR3;0.45;0.35;2737486.324;1183176.553;2.226826593;636;0.420081955;0.162535139
VR3;0.7;0.64;2737485.114;1183178.519;2.267160415;34;0.336209538;0.008688985
VR3;0.43;0.23;2737514.831;1183175.05;2.052951859;413;0.369357353;0.105545617
VR3;1.04;0.43;2737514.786;1183177.351;2.557668705;455;0.467125036;0.11627907
VR3;1.63;0.51;2737514.604;1183181.216;2.711540726;73;0.394154877;0.018655763
VR3;0.35;0.31;2737557.603;1183177.39;2.507536632;524;0.47906365;0.133912599
VR3;0.98;0.63;2737558.256;1183181.451;2.591820988;192;0.426207743;0.049067212
VR3;1;0.83;2737557.385;1183185.883;2.908465706;30;0.390887323;0.007666752
VR6;0.05;0.11;2724032.757;1179666.371;2.149808055;1176;0.445882186;0.300536673
VR6;0.3;0.92;2724031.554;1179667.999;1.946208227;837;0.395982979;0.213902377
VR6;1.05;0.35;2724030.937;1179671.366;2.915212141;1752;0.658524559;0.447738308
VR6;0.02;0.26;2724021.807;1179661.098;2.215473724;3392;0.583722193;0.866854076
VR6;0.26;0.45;2724020.474;1179662.02;2.171874397;325;0.362573477;0.083056478
VR6;0.97;0.61;2724019.255;1179662.966;2.644581656;505;0.493844054;0.12905699
VR6;0.47;0.26;2724005.212;1179642.673;2.447563371;2056;0.488755716;0.52542806
VR6;0.63;0.37;2724008.182;1179641.528;2.147141736;866;0.433711954;0.22131357
VR6;0.97;0.41;2724013.766;1179641.575;2.573737617;1121;0.559089128;0.286480961
VR6;0.01;0.14;2723959.961;1179561.366;1.802312385;3393;0.480274559;0.867109635
VR6;0.31;0.32;2723967.743;1179559.955;1.84922422;2397;0.423868826;0.612573473
VR6;0.32;0.4;2723976.307;1179558.155;2.306131332;1471;0.511293436;0.375926399
GL1;0.22;0.37;2735248.432;1180524.176;2.088945967;400;0.480401281;0.102223358
GL1;1.15;0.42;2735246.433;1180523.339;2.299413145;145;0.362203537;0.037055967
GL1;1.02;0.38;2735243.729;1180522.417;2.054455414;263;0.369676561;0.067211858
GL1;0.73;0.41;2735262.993;1180489.925;1.518418323;241;0.409046109;0.061589573
GL1;0.9;0.38;2735260.913;1180489.709;2.163513767;184;0.421654559;0.047022745
GL1;1.31;0.43;2735258.67;1180488.861;2.133737648;232;0.375384876;0.059289548
GL1;0.35;0.16;2735319.698;1180423.025;1.65346486;705;0.358350445;0.180168669
GL1;2.2;0.38;2735317.244;1180421.737;2.673627669;141;0.437839033;0.036033734
GL1;1.72;0.37;2735316.334;1180419.489;2.550870183;508;0.512977013;0.129823665
GL1;0.64;0.43;2735341.645;1180406.044;1.831684904;460;0.426042626;0.117556862
GL1;1.18;0.4;2735336.819;1180407.799;2.207689746;276;0.407114973;0.070534117
GL1;1.08;0.31;2735334.931;1180405.092;1.933351854;380;0.432334083;0.09711219
GL2;0.32;0.22;2735745.309;1179055.153;1.730879799;189;0.351511074;0.048300537
GL2;0.74;0.34;2735746.741;1179056.386;1.71807814;180;0.364517146;0.046000511
GL2;1.25;0.52;2735749.743;1179057.946;2.580467464;108;0.398588024;0.027600307
GL2;0.01;0.11;2735754.012;1179045.269;1.512218023;204;0.288910847;0.052133913
GL2;0.22;0.23;2735755.207;1179047.492;2.285123403;213;0.422110343;0.054433938
GL2;0.97;0.66;2735757.467;1179049.76;2.109253644;67;0.313849303;0.017122412
GL2;0.44;0.16;2735773.042;1179011.872;2.154559183;975;0.46164784;0.249169435
GL2;0.91;0.23;2735774.299;1179012.999;2.084143332;759;0.474896333;0.193968822
GL2;1.33;0.48;2735776.987;1179012.916;2.28018639;143;0.360575977;0.03654485
GL2;0.51;0.1;2735805.85;1178897.721;1.537964744;563;0.376020606;0.143879376
GL2;0.93;0.24;2735802.55;1178897.816;2.108588062;691;0.450620695;0.176590851
GL2;0.63;0.2;2735800.157;1178896.735;1.528228158;316;0.313598632;0.080756453
GL5;0.27;0.14;2728888.154;1170387.293;3.171651114;126;0.47828987;0.032200358
GL5;0.72;0.23;2728890.032;1170387.063;3.128867238;120;0.537998542;0.030667007
GL5;0.63;0.32;2728892.753;1170387.007;3.418046533;105;0.543010712;0.026833631
GL5;0.16;0.34;2728883.182;1170373.25;3.246095271;157;0.554783031;0.040122668
GL5;0.48;0.69;2728884.638;1170372.897;3.562360133;106;0.603953146;0.02708919
GL5;0.63;0.43;2728885.663;1170371.933;2.926196544;46;0.435607155;0.011755686
GL5;0.52;0.28;2728759.408;1170328.68;3.109321841;186;0.560793275;0.047533861
GL5;1.58;0.35;2728760.321;1170326.768;3.20539412;466;0.600368238;0.119090212
GL5;1.3;0.52;2728761.36;1170326.232;2.500992158;577;0.510650743;0.147457194
GL5;0.16;0.16;2728750.883;1170303.562;3.161053876;53;0.412185436;0.013544595
GL5;0.69;0.5;2728752.901;1170303.499;3.345448767;26;0.451156546;0.006644518
GL5;0.69;0.5;2728753.806;1170304.289;3.051897583;237;0.565446874;0.06056734
