"reach","velocity","x","y","z","dist_w","cat_velocity","clog_3_class","clog_6_class","sub_type","alg_cover","moos_cover","cpom_cover","shannon","abundance","k_index","rel_abundance","wd_m","clog_3_class_int","clog_6_class_int","sub_type_int","froude","shear_stress","stream_power"
"M1",0.11,2734822.966,1129308.228,403.167,0.5,3,"none","none","250 mm > x > 25 mm",1,0,1,3.12866281099763,270,0.548595315065383,0.0688248789191945,0.19,0,0,2,0.0805714873863256,1.29794066190407,0.142773472809447
"M1",0.24,2734821.586,1129307.857,402.999,2.25,3,"none","none","250 mm > x > 25 mm",1,0,1,2.40108867605983,759,0.536305725523922,0.193474381850625,0.36,0,0,2,0.12771017136282,3.26094182825485,0.782626038781163
"M1",0.14,2734820.122,1129307.498,402.96,3.4,3,"none","none","250 mm > x > 25 mm",1,0,1,2.52805176774117,696,0.529841186003194,0.177415243436146,0.43,0,0,2,0.0681646649241671,0.928989241770276,0.130058493847839
"M1",0.1,2734822.048,1129324.876,403.408,0.5,3,"none","none","250 mm > x > 25 mm",1,0,1,1.86170695825142,612,0.478223450567199,0.156003058883508,0.09,0,0,2,0.10642514280235,2.26454293628809,0.226454293628809
"M1",0.41,2734820.51,1129325.085,403.275,2,5,"none","none","250 mm > x > 25 mm",1,0,1,2.32227866111325,2102,0.642039953810491,0.535814427733877,0.35,0,0,2,0.221266329133761,9.78864859517214,4.01334592402058
"M1",0.51,2734819.422,1129325.414,403.071,3.1,5,"none","none","250 mm > x > 25 mm",1,0,1,2.47285457084079,1499,0.618337224111307,0.382105531481009,0.49,0,0,2,0.23261495498228,10.8185072644016,5.51743870484482
"M1",0.01,2734842.711,1129346.278,403.816,0.35,1,"none","none","250 mm > x > 25 mm",1,0,1,3.31781787260065,662,0.635698751041965,0.168748406831506,0.08,0,0,2,0.0112880910246433,0.025476108033241,0.00025476108033241
"M1",0.27,2734840.93,1129348.219,403.724,2.85,5,"none","none","250 mm > x > 25 mm",1,0,1,2.71861047230095,1793,0.663591212521352,0.457048177415243,0.15,0,0,2,0.222578715073274,9.9051108033241,2.67437991689751
"M1",0.37,2734839.109,1129349.478,403.665,4.45,5,"none","none","250 mm > x > 25 mm",1,0,1,2.52216235756298,2605,0.689215457880062,0.664032628090747,0.2,0,0,2,0.264150977741507,13.9507167590028,5.16176520083102
"M1",0.01,2734848.046,1129348.978,403.778,0.4,1,"none","none","250 mm > x > 25 mm",1,0,1,3.3321482732456,917,0.677060829073316,0.233749681366301,0.1,0,0,2,0.010096375546923,0.0203808864265928,0.000203808864265928
"M1",0.14,2734847.009,1129353.065,403.689,4.1,3,"none","none","250 mm > x > 25 mm",1,0,1,2.64438846934527,724,0.625604147841119,0.184552638287025,0.23,0,0,2,0.0932029404279647,1.73680597374443,0.24315283632422
"M1",0.1,2734844.813,1129356.052,403.684,7.7,3,"none","none","250 mm > x > 25 mm",1,0,1,2.11384798169998,2553,0.633530533216393,0.650777466224828,0.28,0,0,2,0.060337384521333,0.727888800949743,0.0727888800949743
"MR",0.05,2736794.555,1133743.459,472.246,0.4,3,"none","none","250 mm > x > 25 mm",2,0,3,2.59827785539175,3546,0.675299818853974,0.903900076472088,0.16,0,0,2,0.0399094285508813,0.318451350415512,0.0159225675207756
"MR",0.44,2736795.293,1133744.09,472.16,1.4,5,"none","none","> 250 mm",2,0,1,2.76100295880734,1804,0.696287571376422,0.459852153963803,0.26,0,0,3,0.275506277480626,15.1759215853399,6.67740549754954
"MR",0.47,2736797.722,1133745.435,471.95,3.7,5,"none","none","250 mm > x > 25 mm",1,0,1,2.58074304223555,1686,0.660383063100802,0.429773132806526,0.36,0,0,2,0.250099085585523,12.505938365651,5.87779103185595
"MR",0.01,2736788.393,1133751.648,472.376,0.2,1,"none","none","250 mm > x > 25 mm",1,0,1,3.04390560194374,1086,0.592370740056102,0.276828957430538,0.09,0,0,2,0.010642514280235,0.0226454293628809,0.000226454293628809
"MR",0.41,2736790.236,1133752.518,471.95,2.1,5,"none","none","250 mm > x > 25 mm",1,0,1,2.61366612605309,502,0.511740715286843,0.12796329339791,0.55,0,0,2,0.176509468934339,6.22914001510954,2.55394740619491
"MR",0.2,2736791.653,1133753.578,472.108,4.05,3,"none","none","250 mm > x > 25 mm",1,0,1,3.20014801298016,688,0.641910163081161,0.175375987764466,0.42,0,0,2,0.0985305363275799,1.94103680253265,0.38820736050653
"MR",0.14,2736779.218,1133768.546,472.63,0.35,3,"none","none","250 mm > x > 25 mm",1,0,1,2.72841243590107,1163,0.590420154752674,0.296456793270456,0.12,0,0,2,0.129033628175511,3.32887811634349,0.466042936288089
"MR",0.35,2736779.933,1133771.329,472.346,3.1,5,"none","none","> 250 mm",1,0,1,2.88769015661656,1342,0.679631758901411,0.342085138924293,0.53,0,0,3,0.153495485153331,4.71067657973135,1.64873680290597
