"reach","velocity","x","y","z","dist_w","cat_velocity","clog_3_class","clog_6_class","sub_type","alg_cover","moos_cover","cpom_cover","shannon","abundance","k_index","rel_abundance","wd_m","clog_3_class_int","clog_6_class_int","sub_type_int","froude","shear_stress","stream_power"
"MR",0.47,2736780.461,1133773.393,472.356,5.1,5,"none","none","> 250 mm",2,0,2,2.3240575613459,1900,0.569427098874012,0.484323222023961,0.48,0,0,3,0.216592161580321,9.37945377423823,4.40834327389197
"MR",0.14,2736773.965,1133778.269,472.999,0.85,3,"none","none","250 mm > x > 25 mm",1,0,1,2.87840653246949,562,0.552439492170258,0.143257710935509,0.19,0,0,2,0.102545529400778,2.10244933663799,0.294342907129319
"MR",0.2,2736774.94,1133778.542,472.854,1.8,3,"none","none","250 mm > x > 25 mm",1,0,1,2.24916390359998,1205,0.565662359630713,0.307162885546775,0.33,0,0,2,0.111157436362701,2.47041047595064,0.494082095190128
"MR",0.64,2736775.968,1133779.517,472.748,3.3,5,"none","none","250 mm > x > 25 mm",1,0,1,2.58451231492964,1354,0.628158211060982,0.345144022431812,0.43,0,0,2,0.311609896796192,19.413979256587,12.4249467242157
"M5",0.01,2729452.93,1122044.578,276.067,0.45,1,"none","none","25 mm > x > 2.5 mm",2,0,1,2.79582563008457,614,0.54763332493868,0.156512872801427,0.12,0,0,1,0.00921668772682218,0.0169840720221607,0.000169840720221607
"M5",0.34,2729453.503,1122039.653,275.739,4.65,5,"none","none","250 mm > x > 25 mm",2,0,1,2.44156255501334,641,0.478463312865771,0.163395360693347,0.41,0,0,2,0.169532312091946,5.74641578271738,1.95378136612391
"M5",0.64,2729455.95,1122037.351,275.616,8.1,5,"none","none","250 mm > x > 25 mm",2,0,1,2.327339536918,844,0.552508710298448,0.215141473362223,0.62,0,0,2,0.259507327716708,13.4645340005361,8.61730176034313
"M5",0.05,2729467.877,1122058.298,276.432,0.4,3,"none","none","250 mm > x > 25 mm",1,0,1,3.05611246398916,283,0.587093792644375,0.0721386693856742,0.11,0,0,2,0.0481325818548256,0.463201964240745,0.0231600982120373
"M5",0.6,2729468.705,1122057.207,276.163,1.6,5,"none","none","250 mm > x > 25 mm",2,0,1,2.99092738654772,952,0.628575328296506,0.242671424929901,0.34,0,0,2,0.328531705455465,21.5797620987453,12.9478572592472
"M5",1.29,2729472.058,1122054.897,276.147,6.2,4,"none","none","> 250 mm",2,0,1,2.08994562518507,1355,0.552437426874917,0.345398929390772,0.53,0,0,3,0.565740502422277,63.9921379292322,82.5498579287096
"M5",0.05,2729479.749,1122070.971,276.933,0.5,3,"none","none","25 mm > x > 2.5 mm",1,0,1,3.07301874061224,606,0.601809069820381,0.154473617129748,0.09,0,0,1,0.0532125714011751,0.566135734072022,0.0283067867036011
"M5",0.91,2729481.799,1122069.723,276.527,2.9,4,"none","none","> 250 mm",1,0,1,2.1847314228016,1133,0.592840787117973,0.288809584501657,0.53,0,0,3,0.399088261398661,31.844173678984,28.9781980478754
"M5",0.76,2729484.994,1122068.342,276.48,5.7,4,"none","none","250 mm > x > 25 mm",1,0,1,2.178467918253,347,0.427392295839597,0.0884527147591129,0.67,0,0,2,0.296443332806841,17.5701492537313,13.3533134328358
"M5",0.05,2729487.626,1122082.041,277.155,0.55,3,"none","none","25 mm > x > 2.5 mm",1,0,1,2.88048878472793,1006,0.573668067235687,0.256436400713739,0.08,0,0,1,0.0564404551232164,0.636902700831025,0.0318451350415512
"M5",0.51,2729491.481,1122079.902,276.836,5.6,5,"none","none","250 mm > x > 25 mm",1,0,1,2.03018251663409,1101,0.536995725373291,0.280652561814938,0.45,0,0,2,0.242733330897601,11.7801523545706,6.00787770083102
"M5",0.45,2729492.519,1122078.492,276.81,7.15,5,"none","none","250 mm > x > 25 mm",1,0,1,2.54156457269703,706,0.564897336551064,0.179964313025746,0.49,0,0,2,0.205248489690247,8.42271326813274,3.79022097065973
"M7",0.05,2724226.173,1120092.836,237.47,1.95,3,"none","none","250 mm > x > 25 mm",1,0,1,2.57213603633827,1083,0.624860902806842,0.276064236553658,0.21,0,0,2,0.0348358051955896,0.242629600316581,0.012131480015829
"M7",0.14,2724223.029,1120099.14,237.248,9.05,3,"none","none","250 mm > x > 25 mm",2,0,1,1.99269228370211,855,0.484387334077062,0.217945449910783,0.43,0,0,2,0.0681646649241671,0.928989241770276,0.130058493847839
"M7",0.27,2724220.552,1120103.389,237.213,14.3,5,"none","none","250 mm > x > 25 mm",2,0,1,1.33985218288372,879,0.402727417417249,0.224063216925822,0.44,0,0,2,0.129957971008029,3.37674231931503,0.911720426215059
"M7",0.01,2724246.208,1120103.432,237.553,2.8,1,"none","none","250 mm > x > 25 mm",1,0,1,2.92921923280618,1119,0.623720788950682,0.285240887076217,0.15,0,0,2,0.00824365611382497,0.0135872576177285,0.000135872576177285
"M7",0.24,2724242.675,1120111.849,237.281,12,3,"none","none","250 mm > x > 25 mm",1,0,1,2.38538725423452,343,0.456939936869389,0.087433086923273,0.44,0,0,2,0.115518196451582,2.66804331402669,0.640330395366406
"M7",0.2,2724239.893,1120117.367,237.27,18.2,3,"none","none","250 mm > x > 25 mm",1,0,1,1.92072783026499,385,0.394241001880538,0.0981391791995922,0.53,0,0,2,0.0877117058019035,1.53818010766738,0.307636021533476
"M7",0.01,2724271.197,1120116.325,237.601,1.9,1,"none","none","250 mm > x > 25 mm",1,0,1,2.97559387822743,717,0.607160777935582,0.182768289574305,0.17,0,0,2,0.0077435665587447,0.0119887567215252,0.000119887567215252
"M7",0.2,2724266.559,1120123.636,237.438,10.4,3,"none","none","250 mm > x > 25 mm",1,0,1,1.86070130313967,150,0.383793681332521,0.0382360438439969,0.33,0,0,2,0.111157436362701,2.47041047595064,0.494082095190128
"M7",0.22,2724262.863,1120129.571,237.292,17.3,3,"none","none","250 mm > x > 25 mm",2,0,1,2.32578636589116,388,0.434149419994869,0.0989039000764721,0.47,0,0,2,0.102456436830178,2.09879766605764,0.461735486532681
"M7",0.05,2724301.635,1120128.501,237.623,1.3,3,"none","none","250 mm > x > 25 mm",1,0,1,2.57566912695026,476,0.532298468199359,0.12133571246495,0.15,0,0,2,0.0412182805691248,0.339681440443213,0.0169840720221607
"M7",0.27,2724299.362,1120133.875,237.405,7.1,5,"none","none","250 mm > x > 25 mm",1,0,1,1.95174593349544,357,0.425098668555566,0.0910017843487127,0.28,0,0,2,0.162910938207599,5.30630935892362,1.43270352690938
"M7",0.41,2724296.812,1120139.032,237.423,13.2,5,"none","none","250 mm > x > 25 mm",1,0,1,1.93895535083947,280,0.436471890531478,0.0713739485087943,0.37,0,0,2,0.215203084116573,9.25953245489256,3.79640830650595
"T1",0.1,2723228.944,1118911.752,229.836,0.5,3,"none","none","250 mm > x > 25 mm",1,0,1,2.08828171771898,343,0.589583498553429,0.087433086923273,0.35,0,0,2,0.0539673973496977,0.582311040759794,0.0582311040759794
"T1",0.64,2723231.037,1118907.381,229.705,11.7,5,"none","none","250 mm > x > 25 mm",2,0,1,1.70013432394191,436,0.422715829150612,0.111139434106551,0.45,0,0,2,0.304606532891107,18.551135734072,11.8727268698061
"T1",0.7,2723233.635,1118905.656,229.691,21.4,5,"none","none","> 250 mm",2,0,1,1.43803466939315,250,0.369245204493669,0.0637267397399949,0.47,0,0,3,0.325997753550567,21.2481581894265,14.8737107325986
"T1",0.1,2723247.566,1118928.739,230.184,2,3,"none","none","250 mm > x > 25 mm",1,0,1,2.33905030799708,445,0.567249266526556,0.113433596737191,0.19,0,0,2,0.0732468067148415,1.07267823297857,0.107267823297857
"T1",0.55,2723247.176,1118920.783,229.797,6,5,"none","none","250 mm > x > 25 mm",1,0,1,1.85107122100267,205,0.418278539419963,0.0522559265867958,0.49,0,0,2,0.250859265176968,12.5820778449884,6.92014281474363
"T1",0.6,2723253.1,1118913.194,229.717,15.95,5,"none","none","250 mm > x > 25 mm",2,0,1,1.65296289821417,265,0.400568698136771,0.0675503441243946,0.63,0,0,2,0.241349538085332,11.6462208151959,6.98773248911753
"T1",0.14,2723269.258,1118960.385,230.07,3.6,3,"none","none","250 mm > x > 25 mm",1,0,1,2.17697968000249,192,0.495456170899087,0.0489421361203161,0.34,0,0,2,0.0766573979396085,1.17489815870947,0.164485742219325
"T1",0.62,2723272.918,1118956.483,229.88,9.05,5,"none","none","250 mm > x > 25 mm",2,0,1,2.74419531105649,406,0.586581300552058,0.103492225337752,0.49,0,0,2,0.282786808017673,15.9885974334332,9.91293040872859
"T1",0.72,2723280.564,1118953.247,229.672,17.4,5,"none","none","250 mm > x > 25 mm",2,0,1,1.20052703921991,138,0.286385819158103,0.0351771603364772,0.83,0,0,2,0.252324224150337,12.7294596669225,9.16521096018423
"T1",0.05,2723285.605,1118997.002,230.269,0.7,3,"none","none","250 mm > x > 25 mm",1,0,1,1.47313140307748,376,0.433599571870224,0.0958450165689523,0.27,0,0,2,0.0307222924227406,0.188711911357341,0.00943559556786704
"T1",0.2,2723291.038,1118991.26,229.798,9.05,3,"none","none","250 mm > x > 25 mm",2,0,1,1.6805171402307,248,0.416466990217659,0.0632169258220749,0.69,0,0,2,0.0768724896362144,1.18150066241118,0.236300132482235
"T1",0.49,2723297.98,1118987.247,229.914,17.15,5,"none","none","250 mm > x > 25 mm",2,0,1,2.24395470625279,64,0.381486856714414,0.0163140453734387,0.61,0,0,2,0.200307245493139,8.02205054266382,3.93080476590527
"T2",0.01,2723366.066,1120219.8,232.547,0.55,1,"none","none","250 mm > x > 25 mm",1,0,1,1.67215767750842,734,0.515342787048542,0.187101707876625,0.09,0,0,2,0.010642514280235,0.0226454293628809,0.000226454293628809
"T2",0.69,2723359.849,1120214.301,232.001,9,5,"none","none","250 mm > x > 25 mm",1,0,1,2.62117025274069,230,0.529406243928556,0.0586286005607953,0.7,0,0,2,0.263308917139825,13.8619143252869,9.56472088444796
"T2",0.72,2723353.398,1120210.441,231.913,16.9,5,"none","none","250 mm > x > 25 mm",1,0,1,2.3693413359238,60,0.399754162700947,0.0152944175375988,0.77,0,0,2,0.26197064546879,13.7213656149944,9.87938324279598
"T2",0.01,2723333.9,1120272.116,232.563,1.05,1,"none","none","250 mm > x > 25 mm",1,0,1,2.02817668411134,542,0.440715958952708,0.138159571756309,0.12,0,0,2,0.00921668772682218,0.0169840720221607,0.000169840720221607
"T2",0.19,2723329.101,1120269.815,232.172,6.35,3,"none","none","250 mm > x > 25 mm",1,0,1,2.2977327499846,139,0.411433523983395,0.0354320672954372,0.53,0,0,2,0.0833261205118083,1.38820754716981,0.263759433962264
"T2",0.45,2723325.553,1120267.847,231.813,10.1,5,"none","none","250 mm > x > 25 mm",1,0,1,2.06474401387528,94,0.387760403113493,0.0239612541422381,0.9,0,0,2,0.151445633203846,4.58569944598338,2.06356475069252
"T2",0.17,2723215.171,1120659.45,233.026,1.15,3,"none","none","250 mm > x > 25 mm",1,0,1,2.70017121377552,730,0.688435580887454,0.186082080040785,0.13,0,0,2,0.150536821369192,4.53082782868101,0.770240730875772
"T2",1.39,2723201.949,1120658.037,232.674,13.9,4,"none","none","250 mm > x > 25 mm",1,0,1,2.90632571560814,125,0.504348684550744,0.0318633698699975,0.42,0,0,2,0.68478722747668,93.7569301543332,130.322132914523
"T2",1.35,2723184.903,1120657.462,232.708,31.5,4,"none","none","250 mm > x > 25 mm",1,0,1,2.92012798124955,41,0.401838564689854,0.0104511853173592,0.36,0,0,2,0.718369713915864,103.178237534626,139.290620671745
"T2",0.01,2723219.139,1120698.461,233.156,0.7,1,"none","none","250 mm > x > 25 mm",2,0,1,3.06607477163323,427,0.620772453081578,0.108845271475911,0.16,0,0,2,0.00798188571017626,0.0127380540166205,0.000127380540166205
"T2",0.72,2723211.554,1120698.386,232.612,8.25,5,"none","none","250 mm > x > 25 mm",1,0,1,2.48256425740583,273,0.515681145675593,0.0695895997960744,0.61,0,0,2,0.294329013785838,17.3204123336815,12.4706968802507
"T2",0.94,2723203.218,1120698.051,232.54,16.25,4,"none","none","250 mm > x > 25 mm",1,0,1,3.18303973218244,30,0.436062106631715,0.00764720876879939,0.71,0,0,2,0.356175609004744,25.3641566852639,23.8423072841481
"S1",0.01,2742136.499,1252273.04,591.49,0.75,1,"none","none","25 mm > x > 2.5 mm",3,0,1,3.01839587973661,262,0.50187647506586,0.0667856232475147,0.13,0,0,1,0.00885510713936425,0.0156776049435329,0.000156776049435329
"S1",0.01,2742133.302,1252279.694,584.553,5.65,1,"none","none","250 mm > x > 25 mm",1,0,1,2.60713987085005,222,0.431296442272227,0.0565893448891155,0.73,0,0,2,0.00373683624122972,0.00279190225021819,2.79190225021819e-05
"S1",0.19,2742128.621,1252281.078,584.196,10.4,3,"none","none","250 mm > x > 25 mm",1,0,1,3.14827445567162,110,0.488133259295211,0.0280397654855978,1.06,0,0,2,0.0589204648638671,0.694103773584906,0.131879716981132
"S1",0.01,2742123.285,1252229.855,585.119,0.85,1,"none","none","250 mm > x > 25 mm",2,1,1,3.31629381108056,845,0.766382790055347,0.215396380321183,0.16,0,0,2,0.00798188571017626,0.0127380540166205,0.000127380540166205
"S1",0.38,2742118.852,1252231.224,584.823,5.2,5,"none","none","250 mm > x > 25 mm",2,0,1,3.05540459635799,171,0.521816937112586,0.0435890899821565,0.53,0,0,2,0.166652241023617,5.55283018867924,2.11007547169811
"S1",0.69,2742116.269,1252232.206,584.732,7.95,5,"none","none","250 mm > x > 25 mm",1,0,1,3.3583495342771,299,0.561859310731473,0.0762171807290339,0.61,0,0,2,0.282065304878094,15.9071147995096,10.9759092116616
"S1",0.16,2742118.569,1252040.11,585.679,0.35,3,"none","none","250 mm > x > 25 mm",2,0,1,3.02896294675275,1092,0.7032608726755,0.278358399184298,0.19,0,0,2,0.117194890743746,2.74605627642513,0.439369004228022
"S1",0.69,2742115.15,1252038.762,585.558,5.1,5,"none","none","250 mm > x > 25 mm",3,0,1,3.31448805868512,955,0.725498681395616,0.243436145806781,0.37,0,0,2,0.362171044001062,26.2252433181103,18.0954178894961
"S1",1.2,2742112.858,1252038.414,585.361,7.85,4,"none","none","250 mm > x > 25 mm",2,0,1,3.46110818902083,645,0.66088738281781,0.164414988529187,0.55,0,0,2,0.516613079807823,53.3608662805339,64.0330395366406
"S1",0.01,2742159.694,1251990.037,586.433,0.7,1,"none","none","250 mm > x > 25 mm",3,0,1,2.80491232759958,841,0.641202419792355,0.214376752485343,0.11,0,0,2,0.00962651637096513,0.0185280785696298,0.000185280785696298
"S1",0.27,2742154.977,1251984.184,586.054,8.05,5,"none","none","250 mm > x > 25 mm",2,0,1,3.68570771559261,308,0.620890049294415,0.0785113433596737,0.53,0,0,2,0.11841080283257,2.8033332462238,0.756899976480427
"S1",0.33,2742150.3,1251979.764,585.978,14.4,5,"none","none","250 mm > x > 25 mm",2,0,2,3.3780750134579,595,0.687245492447447,0.151669640581188,0.66,0,0,2,0.129690292101774,3.36284626038781,1.10973926592798
"S2",0.02,2743458.686,1254432.772,562.255,0.9,1,"none","none","25 mm > x > 2.5 mm",2,0,1,2.35285614671049,2159,0.593150080402033,0.550344124394596,0.24,0,0,1,0.0130343647834296,0.0339681440443213,0.000679362880886427
"S2",0.16,2743462.07,1254437.039,561.662,6.55,3,"none","none","25 mm > x > 2.5 mm",2,0,1,2.43901300982412,2684,0.700037910413436,0.684170277848585,0.76,0,0,1,0.0585974453718732,0.686514069106284,0.109842251057005
"S2",0.19,2743464.677,1254440.664,561.565,11,3,"none","none","250 mm > x > 25 mm",2,0,1,2.93631816963364,759,0.572214096050322,0.193474381850625,0.91,0,0,2,0.063591402164031,0.808516483516483,0.153618131868132
"S2",0.01,2743416.296,1254451.147,562.285,1,1,"none","none","250 mm > x > 25 mm",3,0,1,2.5609519650505,868,0.478828724577317,0.221259240377262,0.16,0,0,2,0.00798188571017626,0.0127380540166205,0.000127380540166205
"S2",0.19,2743416.808,1254454.03,562.064,3.95,3,"none","none","250 mm > x > 25 mm",3,0,1,2.56189683279541,594,0.549266347296468,0.151414733622228,0.46,0,0,2,0.0894417280614038,1.59945652173913,0.303896739130435
"S2",0.36,2743417.595,1254456.465,561.767,5.9,5,"none","none","> 250 mm",3,0,1,2.48172378586909,1706,0.678279311540849,0.434871271985725,0.68,0,0,3,0.139384198057405,3.88435717777416,1.3983685839987
"S2",0.22,2743372.595,1254429.244,563.024,0.9,3,"none","none","250 mm > x > 25 mm",2,0,1,3.29044135011499,1079,0.794469863418883,0.275044608717818,0.18,0,0,2,0.165558668361435,5.48019390581717,1.20564265927978
"S2",0.66,2743369.91,1254430.803,562.951,3.8,5,"none","none","250 mm > x > 25 mm",3,0,1,2.60384286739542,3780,0.753803282839838,0.963548304868723,0.34,0,0,2,0.361384876001012,26.1115121394818,17.233598012058
"S2",1.13,2743363.472,1254433.851,562.55,10.5,4,"none","none","250 mm > x > 25 mm",3,0,1,2.91645421554135,1388,0.576319871137487,0.353810859036452,0.55,0,0,2,0.486477316819033,47.3170070511206,53.4682179677663
"S2",0.01,2743378.786,1254310.744,563.965,0.7,1,"none","none","250 mm > x > 25 mm",3,1,1,2.32639366473584,3423,0.715043094914046,0.87254652052001,0.33,0,0,2,0.00555787181813506,0.00617602618987661,6.17602618987661e-05
"S2",0.33,2743375.546,1254306.876,563.615,5.4,5,"none","none","250 mm > x > 25 mm",3,0,1,2.67976157059921,1226,0.631967718523353,0.312515931684935,0.77,0,0,2,0.120069879173196,2.88243965176098,0.951205085081124
"S2",0.33,2743372.187,1254305.638,563.494,9.1,5,"none","none","250 mm > x > 25 mm",3,0,1,2.6033260825342,870,0.583419738798021,0.221769054295182,0.82,0,0,2,0.11635164023073,2.7066811364097,0.893204775015202
"SR",0.01,2743332.409,1251642.107,597.306,0.45,1,"none","none","25 mm > x > 2.5 mm",2,0,1,3.21767553206674,370,0.582492310573186,0.0943155748151925,0.16,0,0,1,0.00798188571017626,0.0127380540166205,0.000127380540166205
"SR",0.13,2743330.389,1251643.655,596.752,3,3,"none","none","250 mm > x > 25 mm",2,0,1,3.45787313079209,235,0.621624563841344,0.0599031353555952,0.7,0,0,2,0.0496089264176482,0.492052829442026,0.0639668678274634
"SR",0.05,2743329.05,1251644.468,596.608,4.55,3,"none","none","250 mm > x > 25 mm",2,0,1,3.26884940493854,230,0.660075221446393,0.0586286005607953,0.89,0,0,2,0.0169215638624798,0.0572496809735753,0.00286248404867876
"SR",0.05,2743344.568,1251656.954,597.167,0.4,3,"none","none","250 mm > x > 25 mm",3,0,1,3.02364823155742,394,0.539429146724684,0.100433341830232,0.25,0,0,2,0.031927542840705,0.203808864265928,0.0101904432132964
"SR",0.44,2743343.282,1251657.532,596.905,1.6,5,"none","none","250 mm > x > 25 mm",2,0,1,3.14782534112007,230,0.549695381133506,0.0586286005607953,0.57,0,0,2,0.186071879726015,6.92235019682169,3.04583408660154
"SR",0.33,2743342.309,1251657.984,596.816,2.65,5,"none","none","250 mm > x > 25 mm",2,0,1,3.06475274123668,252,0.558373698465364,0.0642365536579149,0.65,0,0,2,0.13068410197697,3.41458235670147,1.12681217771149
"SR",0.24,2743350.691,1251666.337,597.607,0.6,3,"none","none","250 mm > x > 25 mm",2,0,1,3.03699997394427,948,0.661162576495516,0.241651797094061,0.19,0,0,2,0.17579233611562,6.17862662195655,1.48287038926957
"SR",0.83,2743349.449,1251666.368,597.482,1.7,4,"none","none","250 mm > x > 25 mm",2,0,1,3.41765364893028,1425,0.788693424743499,0.363242416517971,0.3,0,0,2,0.483819046608013,46.8013088642659,38.8450863573407
"SR",0.47,2743347.875,1251666.66,597.242,3.15,5,"none","none","250 mm > x > 25 mm",3,1,1,2.94924480150095,3018,0.832847980878336,0.769309202141218,0.5,0,0,2,0.212216111263294,9.0042756232687,4.23200954293629
"SR",0.01,2743380.451,1251668.174,598.151,0.6,1,"none","none","250 mm > x > 25 mm",3,0,1,3.19032712891807,871,0.699852722315006,0.222023961254142,0.21,0,0,2,0.00696716103911792,0.00970518401266324,9.70518401266324e-05
"SR",0.11,2743380.779,1251671.052,598.062,3.5,3,"none","none","250 mm > x > 25 mm",3,0,1,3.0410128413595,2433,0.84495881710826,0.62018863114963,0.24,0,0,2,0.0716890063088627,1.02753635734072,0.113028999307479
"SR",0.33,2743380.264,1251674.981,597.709,7.7,5,"none","none","250 mm > x > 25 mm",3,1,1,3.2953178699431,1121,0.73806283602559,0.285750700994137,0.7,0,0,2,0.125930351675569,3.17068361693708,1.04632559358924
"S5",0.05,2734155.885,1262173.609,458.026,4.35,3,"none","none","250 mm > x > 25 mm",1,0,1,2.82166105350681,957,0.654462177292384,0.2439459597247,0.13,0,0,2,0.0442755356968213,0.391940123588323,0.0195970061794162
"S5",0.22,2734160.239,1262178.668,457.688,10.85,3,"none","none","250 mm > x > 25 mm",1,0,1,2.53403123584882,478,0.447376277151458,0.12184552638287,0.51,0,0,2,0.0983565052179387,1.93418608440606,0.425520938569333
"S5",0.44,2734164.721,1262182.585,457.476,17.25,5,"none","none","250 mm > x > 25 mm",1,0,1,2.93750949280313,386,0.538055847009996,0.0983940861585521,0.74,0,0,2,0.16330606450946,5.3320805570113,2.34611544508497
"S5",0.11,2734187.861,1262146.996,458.015,1.9,3,"none","none","250 mm > x > 25 mm",1,0,1,2.94248116788682,393,0.552889146137385,0.100178434871272,0.16,0,0,2,0.0878007428119389,1.54130453601108,0.169543498961219
"S5",0.27,2734194.159,1262153.598,457.796,10.3,5,"none","none","250 mm > x > 25 mm",2,1,1,2.86358853142001,340,0.541150695152778,0.0866683660463931,0.41,0,0,2,0.134628600778899,3.62382102560638,0.978431676913722
"S5",0.74,2734197.665,1262157.816,457.602,17.7,5,"none","none","250 mm > x > 25 mm",1,0,1,3.38815609227221,490,0.675561398195983,0.12490440989039,0.62,0,0,2,0.300055347672444,18.0009248503262,13.3206843892414
"S5",0.14,2734202.938,1262131.882,458.091,5.2,3,"none","none","250 mm > x > 25 mm",1,0,1,2.96448710021824,516,0.553128839184681,0.131531990823349,0.18,0,0,2,0.105355516230004,2.21925207756233,0.310695290858726
"S5",0.44,2734208.986,1262138.635,457.909,14.4,5,"none","none","250 mm > x > 25 mm",1,0,1,3.21443944662883,509,0.591021716780368,0.12974764211063,0.4,0,0,2,0.222120262032307,9.86434903047091,4.3403135734072
"S5",0.94,2734215.143,1262143.763,457.771,22.3,4,"none","none","250 mm > x > 25 mm",1,1,1,3.23522110149958,1229,0.678513887453935,0.313280652561815,0.59,0,0,2,0.390721531076149,30.5229682144702,28.6915901216019
"S5",0.16,2734224.145,1262103.3,458.251,2.55,3,"none","none","250 mm > x > 25 mm",1,0,1,2.7729080996552,850,0.518149578859296,0.216670915115983,0.18,0,0,2,0.120406304262862,2.89861495844875,0.463778393351801
"S5",0.44,2734231.618,1262112.583,457.997,14.3,5,"none","none","250 mm > x > 25 mm",1,0,1,3.01265075260884,747,0.673046332786533,0.190415498343105,0.35,0,0,2,0.23745654833867,11.2735417491096,4.96035836960823
