"foen_class","foen_hsi","x","y","Reach_Untersuchungsstelle","rel_abundance","abundance","shannon","k_index"
5,1,2777292.361,1198338.701,"L2",0.077434194,303,2.440160462,0.471920775
5,1,2777292.592,1198342.706,"L2",0.299769997,1173,2.715951625,0.568049206
4,0.800000011920929,2777294.528,1198346.603,"L2",0.378481983,1481,2.524579758,0.564258656
4,0.800000011920929,2734822.966,1129308.228,"M1",0.067467416,264,3.028004844,0.553921447
4,0.800000011920929,2734821.586,1129307.857,"M1",0.192435472,753,2.347980403,0.541430597
5,1,2734820.122,1129307.498,"M1",0.176590851,691,2.479222306,0.536321269
4,0.800000011920929,2734822.048,1129324.876,"M1",0.155123946,607,1.802170448,0.478661422
4,0.800000011920929,2734820.51,1129325.085,"M1",0.535139279,2094,2.291301495,0.650907214
5,1,2734819.422,1129325.414,"M1",0.381037567,1491,2.432783357,0.62658467
5,1,2734842.711,1129346.278,"M1",0.167390749,655,3.258619312,0.648390196
4,0.800000011920929,2734840.93,1129348.219,"M1",0.456171735,1785,2.685078406,0.675297202
4,0.800000011920929,2734839.109,1129349.478,"M1",0.663685152,2597,2.497285803,0.701163785
5,1,2734848.046,1129348.978,"M1",0.232302581,909,3.28025576,0.69145394
5,1,2734847.009,1129353.065,"M1",0.182724252,715,2.567526093,0.632086943
5,1,2734844.813,1129356.052,"M1",0.650651674,2546,2.089929539,0.641918165
NA,NA,2742136.499,1252273.04,"S1",0.066189624,259,2.962243136,0.519830274
3,0.600000023841858,2742133.302,1252279.694,"S1",0.05571173,218,2.522666857,0.441714897
5,1,2742128.621,1252281.078,"S1",0.02708919,106,3.034217626,0.501308776
NA,NA,2742123.285,1252229.855,"S1",0.214157935,838,3.266055596,0.784812165
4,0.800000011920929,2742118.852,1252231.224,"S1",0.042678252,167,2.945647944,0.526374866
4,0.800000011920929,2742116.269,1252232.206,"S1",0.075134168,294,3.278647409,0.571209622
NA,NA,2742118.569,1252040.11,"S1",0.277536417,1086,2.991217767,0.719531131
4,0.800000011920929,2742115.15,1252038.762,"S1",0.2420138,947,3.265239921,0.742475927
4,0.800000011920929,2742112.858,1252038.414,"S1",0.163557373,640,3.422198256,0.688159027
3,0.600000023841858,2742159.694,1251990.037,"S1",0.213646818,836,2.76458598,0.653534429
3,0.600000023841858,2742154.977,1251984.184,"S1",0.077689752,304,3.622336485,0.636641434
3,0.600000023841858,2742150.3,1251979.764,"S1",0.150523895,589,3.321028261,0.703102626
1,0.200000002980232,2743458.686,1254432.772,"S2",0.550472783,2154,2.332979228,0.602744272
1,0.200000002980232,2743462.07,1254437.039,"S2",0.684129824,2677,2.416926121,0.713102879
1,0.200000002980232,2743464.677,1254440.664,"S2",0.193457705,757,2.917647838,0.596666171
3,0.600000023841858,2743416.296,1254451.147,"S2",0.221058012,865,2.536492407,0.496379453
1,0.200000002980232,2743416.808,1254454.03,"S2",0.150523895,589,2.50473917,0.556319585
1,0.200000002980232,2743417.595,1254456.465,"S2",0.434449272,1700,2.453109683,0.691101604
1,0.200000002980232,2743372.595,1254429.244,"S2",0.273447483,1070,3.239647518,0.813117981
1,0.200000002980232,2743369.91,1254430.803,"S2",0.963966266,3772,2.585749029,0.767016643
3,0.600000023841858,2743363.472,1254433.851,"S2",0.353692819,1384,2.893994368,0.588039653
3,0.600000023841858,2743378.786,1254310.744,"S2",0.873243036,3417,2.310260692,0.727297742
3,0.600000023841858,2743375.546,1254306.876,"S2",0.311781242,1220,2.643619267,0.643173101
