"foen_class","foen_hsi","x","y","Reach_Untersuchungsstelle","rel_abundance","abundance","shannon","k_index"
3,0.600000023841858,2743372.187,1254305.638,"S2",0.220802453,864,2.555206224,0.592027484
4,0.800000011920929,2737473.074,1183169.819,"VR3",0.078456427,307,2.847934291,0.556739434
4,0.800000011920929,2737471.948,1183173.671,"VR3",0.003322259,13,2.823448992,0.362969323
4,0.800000011920929,2737470.146,1183176.519,"VR3",0.021978022,86,3.018957708,0.475004337
4,0.800000011920929,2737486.904,1183174.215,"VR3",0.1719908,673,2.494555576,0.502319942
4,0.800000011920929,2737486.324,1183176.553,"VR3",0.162535139,636,2.226826593,0.420081955
4,0.800000011920929,2737485.114,1183178.519,"VR3",0.008688985,34,2.267160415,0.336209538
5,1,2737514.831,1183175.05,"VR3",0.105545617,413,2.052951859,0.369357353
4,0.800000011920929,2737514.786,1183177.351,"VR3",0.11627907,455,2.557668705,0.467125036
2,0.400000005960464,2737514.604,1183181.216,"VR3",0.018655763,73,2.711540726,0.394154877
5,1,2737557.603,1183177.39,"VR3",0.133912599,524,2.507536632,0.47906365
4,0.800000011920929,2737558.256,1183181.451,"VR3",0.049067212,192,2.591820988,0.426207743
4,0.800000011920929,2737557.385,1183185.883,"VR3",0.007666752,30,2.908465706,0.390887323
