1,,2729455.950,1122037.351,275.616
2,,2729453.503,1122039.653,275.739
3,,2729452.930,1122044.578,276.067
4,,2729472.058,1122054.897,276.147
5,,2729468.705,1122057.207,276.163
6,,2729467.877,1122058.298,276.432
7,,2729484.994,1122068.342,276.480
8,,2729481.799,1122069.723,276.527
9,,2729479.749,1122070.971,276.933
10,,2729483.169,1122081.552,277.027
11,,2729492.550,1122078.544,276.808
10-richtig,,2729492.519,1122078.492,276.810
11-richtih,,2729491.481,1122079.902,276.836
11-richtii,,2729490.711,1122079.197,276.820
12,,2729487.626,1122082.041,277.155
