TH4-new-1,,2723679.530,1251233.764,539.740
TH4-new-2,,2723678.595,1251230.192,540.048
TH4-new-3,,2723680.137,1251227.285,540.387
TH4-new-4,,2723714.807,1251224.231,539.829
TH4-new-5,,2723714.528,1251220.822,540.348
TH4-new-6,,2723714.396,1251218.530,540.573
TH4-new-7,,2723762.152,1251206.974,540.180
TH4-new-8,,2723759.120,1251204.110,540.471
TH4-new-9,,2723758.413,1251202.765,540.634
TH4-new-10,,2723777.934,1251193.821,540.532
TH4-new-11,,2723774.210,1251188.505,540.705
TH4-new-12,,2723772.426,1251182.469,540.872
