SE2-new-1,,2593843.894,1190567.701,573.465
SE2-new-2,,2593847.625,1190567.317,573.301
SE2-new-3,,2593850.705,1190565.933,573.766
SE2-new-4,,2593836.966,1190521.493,572.928
SE2-new-5,,2593839.389,1190521.154,573.424
SE2-new-6,,2593841.635,1190520.588,573.857
SE2-new-7,,2593845.851,1190449.515,574.847
SE2-new-8,,2593849.455,1190459.648,574.946
SE2-new-9,,2593853.866,1190468.077,575.000
SE2-new-10,,2593858.665,1190438.631,574.879
SE2-new-11,,2593862.495,1190441.769,575.023
SE2-new-12,,2593866.860,1190445.103,575.156
