"WUA","WUA_pers","WA_tot","WA_tot_pers","HHS","HHS_pers","River","Discharge"
124181.6,124181.6,163752,163752,0.75835165372026,0.75835165372026,"GL1",3.28
126534.4,111569.6,181928,163320,0.695519106459698,0.68313494979182,"GL1",6
122832.8,97980.8,187084,156360,0.656564965470056,0.626635968278332,"GL1",9
115214.4,82902.4,185280,142980,0.621839378238342,0.579818156385509,"GL1",12.68
110670.4,70954.4,183228,129804,0.604003754884625,0.546627222581739,"GL1",16
108125.6,62832.8,181940,120048,0.594292623941959,0.523397307743569,"GL1",19
104981.6,55894.4,179572,110924,0.584621210433698,0.503898164509033,"GL1",22
102634.4,50261.6,177388,102744,0.578587052111755,0.489192556256326,"GL1",25
100211.2,45680,175120,96180,0.572243033348561,0.474942815554169,"GL1",28
97175.2,40576.8,171724,87736,0.565880133237055,0.462487462387162,"GL1",31.76
248749.6,248749.6,324796,324796,0.765864111626991,0.765864111626991,"GL2",3.21
270392.8,235361.6,372300,327220,0.726276658608649,0.719276327852821,"GL2",6
274689.6,213259.2,396448,316516,0.69287674550004,0.673770678259551,"GL2",9
275516,200439.2,406684,307564,0.677469484907201,0.651699158549115,"GL2",11
275899.2,191784.8,413000,300516,0.668036803874092,0.63818498848647,"GL2",12.52
280155.2,174360.8,426848,283992,0.656334807706725,0.613963773627426,"GL2",16
278362.4,160392.8,431064,268880,0.645756546591689,0.59652186849152,"GL2",19
277093.6,148306.4,434584,254452,0.637606538666863,0.582846273560436,"GL2",22
276980,137927.2,436532,240396,0.634501021689131,0.573749979200985,"GL2",25
277890.4,129247.2,438056,227680,0.63437186113191,0.567670414617007,"GL2",28
279168.8,120176,441044,213960,0.632972673928225,0.561675079454104,"GL2",31.53
93487.2,93487.2,104120,104120,0.897879369957741,0.897879369957741,"L2",2.4
103488,96827.2,117684,105932,0.87937187723055,0.914050522977004,"L2",3.9
116460.8,92968,142996,105980,0.814433970180984,0.877222117380638,"L2",7
126167.2,89437.6,158364,105948,0.796691167184461,0.844165062105939,"L2",9.24
135580,86448,172300,105924,0.786883343006384,0.816132321286961,"L2",11.4
144821.6,84417.6,184244,105900,0.786031566835284,0.79714447592068,"L2",13.3
158007.2,81776.8,198988,105816,0.794053912798762,0.772820745444923,"L2",16.5
165654.4,79952.8,208928,105764,0.792877929238781,0.755954767217579,"L2",18.9
62870.4,62870.4,101852,101852,0.617272120331461,0.617272120331461,"M1",0.47
93580,67140,137652,102608,0.679830296690204,0.654334944643692,"M1",0.6
179626.4,89852,222936,102260,0.805730792693867,0.878662233522394,"M1",4
198923.2,88054.4,253976,101636,0.783236211295556,0.866370183793144,"M1",6
212063.2,85494.4,271516,101280,0.781033898554781,0.844139020537125,"M1",8
222396.8,81926.4,285172,100996,0.779868991345574,0.811184601370351,"M1",10
226380.8,77997.6,295340,100764,0.766509108146543,0.77406216505895,"M1",12
228694.4,74932.8,304628,100484,0.75073335346718,0.74571872138848,"M1",14
227537.6,70704.8,311036,100204,0.731547473604342,0.705608558540577,"M1",16
227537.6,70704.8,311036,100204,0.731547473604342,0.705608558540577,"M1",18.84
221816.8,61806.4,325796,98752,0.680845682574372,0.625874918988983,"M1",22.84
120086.4,120086.4,156712,156712,0.766287202001123,0.766287202001123,"S1",2
134648.8,127677.6,167420,157344,0.804257555847569,0.811455155582672,"S1",3.7
147817.6,132695.2,175552,157236,0.842016040831207,0.843923783357501,"S1",6.5
149428,130138.4,181308,157160,0.824166611511903,0.828063120386867,"S1",8.5
150592.8,126782.4,186264,156960,0.808491173817807,0.807737003058104,"S1",10.68
155096.8,123744.8,196276,156696,0.790197477022153,0.789712564456017,"S1",13
156883.2,121558.4,201516,155660,0.778514857381052,0.780922523448542,"S1",15
157165.6,116523.2,209020,153216,0.751916563008325,0.760515873015873,"S1",18
159091.2,113131.2,214360,152004,0.742168314984139,0.744264624615142,"S1",20
108640.8,108640.8,139124,139124,0.780891866248814,0.780891866248814,"S2",2
129532,118882.4,156356,142152,0.828442784415053,0.836304800495245,"S2",3.2
144978.4,120964.8,172340,142940,0.84123476848091,0.846262767594795,"S2",6.5
148848.8,119504,178588,142992,0.833475933433378,0.835739062325165,"S2",8.5
152105.6,115676,187720,142984,0.810279139143405,0.809013595926817,"S2",10.93
151902.4,112165.6,191516,142988,0.793157751832745,0.784440652362436,"S2",13
151385.6,109867.2,194868,142860,0.776862286265575,0.769055018899622,"S2",15
150331.2,105964.8,200152,142688,0.751085175266798,0.742632877326755,"S2",18
151443.2,117105.6,185192,142984,0.817763186314744,0.819011917417334,"S2",20
330336,330336,404644,404644,0.816362036753294,0.816362036753294,"TH4",11.45
335876,326280.8,420812,405832,0.798161649382622,0.803979972008121,"TH4",15
337075.2,319328,430620,405688,0.782767172913473,0.787127053302045,"TH4",18
337061.6,313920,436944,405560,0.771406862206598,0.774040832429233,"TH4",19.96
338250.4,307809.6,445852,405356,0.758660721495025,0.75935622021137,"TH4",22.5
337875.2,301476.8,451752,405112,0.747921868635888,0.744181362191196,"TH4",25
336060.8,296244.8,455740,404896,0.737395883617852,0.731656524144471,"TH4",27
333396,288181.6,461584,404400,0.722286734375541,0.712615232443126,"TH4",30
329987.2,280118.4,466160,403780,0.707883988330187,0.693740155530239,"TH4",32.93
417384,417384,532036,532036,0.78450330428768,0.78450330428768,"VR3",2.9
499209.6,448357.6,611572,537424,0.81627281824544,0.834271636547679,"VR3",6
543052.8,439036.8,675816,536452,0.803551262473809,0.818408357131672,"VR3",9
568980,425638.4,720004,534316,0.790245609746612,0.796604256657109,"VR3",12
603819.999999999,409057.6,790620,531928,0.763729731097113,0.769009339609872,"VR3",15
629803.999999999,393740,831276,528084,0.757635249904965,0.74560107861628,"VR3",18.8
647552.799999999,382776.8,858476,524628,0.754305070846476,0.729615651471137,"VR3",22
654736.799999999,371302.4,877128,521480,0.746455249404875,0.712016568228887,"VR3",25
659766.399999999,361992.8,891756,517984,0.739850811208446,0.698849385309198,"VR3",28
663188.799999999,351382.4,904560,514380,0.733161758202882,0.683118317197402,"VR3",31
663900.799999999,340684,915000,510444,0.725574644808742,0.667426789226634,"VR3",34
662502.399999999,329919.2,924184,506580,0.716851189806358,0.651267716846302,"VR3",37
657728.799999999,317034.4,932868,503132,0.705060951817405,0.630121717561196,"VR3",40.1
649919.999999999,303041.6,944800,499632,0.687891617273496,0.606529605789861,"VR3",43
644696.799999999,291515.2,952464,495328,0.676872616707823,0.588529620776536,"VR3",46
641212.799999999,285224,956820,492872,0.670149871449175,0.578697917512052,"VR3",48
638426.4,279490.4,960964,489952,0.664360371460325,0.570444451701391,"VR3",50
633324.8,271383.2,965452,485388,0.655987868894569,0.55910570512662,"VR3",52.9
