"River","Discharge","value","normal","persistent"
"GL1",3.28,0.2,790,790
"GL1",3.28,0.4,7235,7235
"GL1",3.28,0.6,3244,3244
"GL1",3.28,0.8,18110,18110
"GL1",3.28,1,11559,11559
"GL1",6,0.2,636,195
"GL1",6,0.4,14108,14099
"GL1",6,0.6,2308,1330
"GL1",6,0.8,19758,18951
"GL1",6,1,8672,6255
"GL1",9,0.2,577,95
"GL1",9,0.4,18451,18214
"GL1",9,0.6,1705,707
"GL1",9,0.8,19243,16538
"GL1",9,1,6795,3536
"GL1",12.68,0.2,562,68
"GL1",12.68,0.4,21582,20354
"GL1",12.68,0.6,1781,441
"GL1",12.68,0.8,17026,12881
"GL1",12.68,1,5369,2001
"GL1",16,0.2,636,42
"GL1",16,0.4,23269,20953
"GL1",16,0.6,1788,315
"GL1",16,0.8,14770,9905
"GL1",16,1,5344,1236
"GL1",19,0.2,683,21
"GL1",19,0.4,24270,21040
"GL1",19,0.6,1630,246
"GL1",19,0.8,13466,7823
"GL1",19,1,5436,882
"GL1",22,0.2,626,20
"GL1",22,0.4,24863,20748
"GL1",22,0.6,1810,175
"GL1",22,0.8,12525,6113
"GL1",22,1,5069,675
"GL1",25,0.2,641,4
"GL1",25,0.4,25091,20114
"GL1",25,0.6,1823,150
"GL1",25,0.8,11959,4945
"GL1",25,1,4833,473
"GL1",28,0.2,592,4
"GL1",28,0.4,25465,19690
"GL1",28,0.6,1810,96
"GL1",28,0.8,11253,3847
"GL1",28,1,4660,408
"GL1",31.76,0.2,663,7
"GL1",31.76,0.4,25363,18606
"GL1",31.76,0.6,1829,76
"GL1",31.76,0.8,10787,2951
"GL1",31.76,1,4289,294
"GL2",3.21,0.2,2901,2901
"GL2",3.21,0.4,11420,11420
"GL2",3.21,0.6,8565,8565
"GL2",3.21,0.8,32064,32064
"GL2",3.21,1,26249,26249
"GL2",6,0.2,2239,872
"GL2",6,0.4,22583,22448
"GL2",6,0.6,6700,4595
"GL2",6,0.8,37279,34801
"GL2",6,1,24274,19089
"GL2",9,0.2,2103,521
"GL2",9,0.4,31789,30041
"GL2",9,0.6,5745,2996
"GL2",9,0.8,36929,30872
"GL2",9,1,22546,14699
"GL2",11,0.2,2006,430
"GL2",11,0.4,36558,33026
"GL2",11,0.6,5198,2344
"GL2",11,0.8,35866,28420
"GL2",11,1,22043,12671
"GL2",12.52,0.2,1919,376
"GL2",12.52,0.4,39295,34399
"GL2",12.52,0.6,4998,1995
"GL2",12.52,0.8,35819,27223
"GL2",12.52,1,21219,11136
"GL2",16,0.2,1757,267
"GL2",16,0.4,44014,36276
"GL2",16,0.6,4454,1439
"GL2",16,0.8,35388,24265
"GL2",16,1,21099,8751
"GL2",19,0.2,1721,187
"GL2",19,0.4,47068,36991
"GL2",19,0.6,4151,1227
"GL2",19,0.8,34487,21434
"GL2",19,1,20339,7381
"GL2",22,0.2,1749,138
"GL2",22,0.4,48896,36936
