"Feature","Gain","index","model"
"velocity",0.507064842483018,"k_index","xgboost w/o coordinates"
"wd_m",0.492935157516982,"k_index","xgboost w/o coordinates"
"velocity",0.502472239217161,"shannon_index","xgboost w/o coordinates"
"wd_m",0.497527760782839,"shannon_index","xgboost w/o coordinates"
"wd_m",0.542221185885866,"abundance","xgboost w/o coordinates"
"velocity",0.457778814114134,"abundance","xgboost w/o coordinates"
"wd_m",0.570137628854105,"rel_abundance","xgboost w/o coordinates"
"velocity",0.429862371145895,"rel_abundance","xgboost w/o coordinates"
