"Feature","Gain","index","model"
"y",0.381327379156534,"k_index","xgboost w/ coordinates"
"x",0.315289202921407,"k_index","xgboost w/ coordinates"
"velocity",0.1224695218385,"k_index","xgboost w/ coordinates"
"froude",0.117871684077786,"k_index","xgboost w/ coordinates"
"stream_power",0.0630422120057738,"k_index","xgboost w/ coordinates"
"x",0.357578260179275,"shannon_index","xgboost w/ coordinates"
"y",0.313705731798136,"shannon_index","xgboost w/ coordinates"
"froude",0.177387634496061,"shannon_index","xgboost w/ coordinates"
"velocity",0.105540809410679,"shannon_index","xgboost w/ coordinates"
"stream_power",0.0457875641158492,"shannon_index","xgboost w/ coordinates"
"x",0.397775921348522,"abundance","xgboost w/ coordinates"
"y",0.287030020766611,"abundance","xgboost w/ coordinates"
"velocity",0.160174235256818,"abundance","xgboost w/ coordinates"
"froude",0.112944187962908,"abundance","xgboost w/ coordinates"
"stream_power",0.0420756346651412,"abundance","xgboost w/ coordinates"
"x",0.39234752092467,"rel_abundance","xgboost w/ coordinates"
"y",0.259463824241569,"rel_abundance","xgboost w/ coordinates"
"velocity",0.170356642257022,"rel_abundance","xgboost w/ coordinates"
"froude",0.136993803177301,"rel_abundance","xgboost w/ coordinates"
"stream_power",0.0408382093994383,"rel_abundance","xgboost w/ coordinates"
