"Feature","Gain","index"
"dist_w",0.165389969896035,"k_index"
"z",0.158242271253019,"k_index"
"turb_before",0.0836309352933283,"k_index"
"wd_m",0.0763584604180665,"k_index"
"moos_cover",0.0666574170093329,"k_index"
"velocity",0.0616232083944693,"k_index"
"turb_after",0.0576955452020084,"k_index"
"froude",0.0575690868363552,"k_index"
"ox_before",0.0531338874713182,"k_index"
"alg_cover",0.0389863224479114,"k_index"
"pH_before",0.0248836323198705,"k_index"
"gaug_before",0.0225388438039803,"k_index"
"temp_during",0.0168108516109247,"k_index"
"turb_during",0.0143581184851469,"k_index"
"stream_power",0.0116772981003166,"k_index"
"q_during",0.0116496586422092,"k_index"
"q_before",0.0114827300500911,"k_index"
"ox_during",0.0110858533066871,"k_index"
"cat_velocity",0.0102067804187427,"k_index"
"conduct_before",0.00875158069666626,"k_index"
"temp_before",0.00645736613898392,"k_index"
"clog_6_class_int",0.00605482376964035,"k_index"
"pH_during",0.00389614666119459,"k_index"
"sub_type_int",0.00371964321911032,"k_index"
"q_after",0.00311847889660908,"k_index"
"pH_after",0.00310835201624118,"k_index"
"cpom_cover",0.00280517929881034,"k_index"
"ox_after",0.00266048688994218,"k_index"
"clog_3_class_int",0.00155622321463347,"k_index"
"conduct_during",0.00138736187309223,"k_index"
"conduct_after",0.00112983277827837,"k_index"
"temp_after",0.000803869435880906,"k_index"
"gaug_during",0.000569784151103441,"k_index"
"z",0.151796258583514,"shannon_index"
"dist_w",0.126188806976102,"shannon_index"
"froude",0.11770372319256,"shannon_index"
"velocity",0.0987340019344126,"shannon_index"
"turb_before",0.0843181071098449,"shannon_index"
"wd_m",0.0668212755907729,"shannon_index"
"moos_cover",0.0582474391451442,"shannon_index"
"pH_before",0.0451901854385809,"shannon_index"
"gaug_before",0.0316680838481076,"shannon_index"
"stream_power",0.0304278730702307,"shannon_index"
"temp_during",0.0239728349277642,"shannon_index"
"alg_cover",0.0211208473516051,"shannon_index"
"temp_before",0.020713797864184,"shannon_index"
"q_during",0.0169686285035786,"shannon_index"
"turb_after",0.016119490481221,"shannon_index"
"pH_during",0.0125084679537094,"shannon_index"
"q_before",0.0114478048909655,"shannon_index"
"conduct_before",0.00888930941752696,"shannon_index"
"turb_during",0.00873411305746337,"shannon_index"
"cat_velocity",0.005816219411616,"shannon_index"
"sub_type_int",0.00530470897151483,"shannon_index"
"q_after",0.00526705411257815,"shannon_index"
"ox_during",0.00486323225906153,"shannon_index"
"ox_before",0.00476818651245621,"shannon_index"
"ox_after",0.00406512977638418,"shannon_index"
"pH_after",0.00370609362690724,"shannon_index"
"clog_6_class_int",0.0031754653187549,"shannon_index"
"conduct_after",0.00283286094648188,"shannon_index"
"clog_3_class_int",0.00252792876998006,"shannon_index"
"cpom_cover",0.00230232062742523,"shannon_index"
"temp_after",0.00185664765534449,"shannon_index"
"conduct_during",0.0014206547887135,"shannon_index"
"gaug_during",0.00052244788549415,"shannon_index"
"wd_m",0.155686717038512,"abundance"
"dist_w",0.145916436937913,"abundance"
"conduct_before",0.0933357056484869,"abundance"
"conduct_after",0.0824432335482463,"abundance"
"q_before",0.0757264925172349,"abundance"
"froude",0.0649581501768165,"abundance"
"z",0.0643070072407407,"abundance"
"velocity",0.0542699487044104,"abundance"
"alg_cover",0.040924033828531,"abundance"
"ox_before",0.0271508647978354,"abundance"
"temp_during",0.0224423867364166,"abundance"
"ox_during",0.0201892831986049,"abundance"
"q_during",0.0200821948505665,"abundance"
"pH_before",0.0154707600477511,"abundance"
"pH_after",0.01530347390675,"abundance"
"cpom_cover",0.0122840249350947,"abundance"
"q_after",0.0114815259085228,"abundance"
"moos_cover",0.010602601597792,"abundance"
"turb_before",0.00929244890431211,"abundance"
"stream_power",0.00873810432322712,"abundance"
"temp_before",0.0077179150824118,"abundance"
"ox_after",0.00614857030735512,"abundance"
"sub_type_int",0.00597131182056639,"abundance"
"cat_velocity",0.00590182991754622,"abundance"
"turb_during",0.00568783225166809,"abundance"
"turb_after",0.00528072647063984,"abundance"
"gaug_before",0.00345002508636664,"abundance"
"pH_during",0.00280348581283917,"abundance"
"clog_6_class_int",0.0022715478916606,"abundance"
"clog_3_class_int",0.00194525828217095,"abundance"
"conduct_during",0.000857474027721184,"abundance"
"temp_after",0.00084463825959866,"abundance"
"gaug_during",0.000513989941689912,"abundance"
"dist_w",0.182412431679269,"rel_abundance"
"wd_m",0.129537749072638,"rel_abundance"
"conduct_after",0.123870438508904,"rel_abundance"
"q_before",0.0814164730948604,"rel_abundance"
"z",0.0751412294139886,"rel_abundance"
"velocity",0.0706597288467378,"rel_abundance"
"ox_before",0.0495943796974359,"rel_abundance"
"cpom_cover",0.0414521685944337,"rel_abundance"
"froude",0.0330123823776768,"rel_abundance"
"alg_cover",0.0296847460576061,"rel_abundance"
"turb_after",0.0260954716792865,"rel_abundance"
"moos_cover",0.0244448762749196,"rel_abundance"
"q_during",0.0221423095129211,"rel_abundance"
"pH_before",0.0181789271547288,"rel_abundance"
"pH_after",0.0174010527490901,"rel_abundance"
"stream_power",0.0110828293749127,"rel_abundance"
"conduct_before",0.0103380577575103,"rel_abundance"
"turb_during",0.00792414177606083,"rel_abundance"
"temp_during",0.00724199226124686,"rel_abundance"
"turb_before",0.00614481144699376,"rel_abundance"
"clog_3_class_int",0.00597905462325989,"rel_abundance"
"sub_type_int",0.00596442859929931,"rel_abundance"
"pH_during",0.00467719218749899,"rel_abundance"
"temp_before",0.00443876901576579,"rel_abundance"
"clog_6_class_int",0.00288629792366279,"rel_abundance"
"gaug_before",0.00281602573783477,"rel_abundance"
"ox_after",0.00168116059585337,"rel_abundance"
"ox_during",0.00167118280846384,"rel_abundance"
"q_after",0.00118097386061504,"rel_abundance"
"cat_velocity",0.000700660105744363,"rel_abundance"
"temp_after",0.000179116081309442,"rel_abundance"
"conduct_during",4.89411294711268e-05,"rel_abundance"
