"Feature","Gain","index","model"
"gaug_before",0.0167519042202115,"abundance","xgboost w/ coordinates"
"sub_type_int",0.0158172890298561,"abundance","xgboost w/ coordinates"
"pH_during",0.0149899781695179,"abundance","xgboost w/ coordinates"
"ox_after",0.0125738720050604,"abundance","xgboost w/ coordinates"
"q_during",0.0121470522358693,"abundance","xgboost w/ coordinates"
"clog_3_class_int",0.0118995152589256,"abundance","xgboost w/ coordinates"
"pH_before",0.0118784670474055,"abundance","xgboost w/ coordinates"
"moos_cover",0.0059530319530808,"abundance","xgboost w/ coordinates"
"temp_after",0.00486394187038604,"abundance","xgboost w/ coordinates"
"clog_6_class_int",0.00280000443771416,"abundance","xgboost w/ coordinates"
"stream_power",0.00274687163189523,"abundance","xgboost w/ coordinates"
"cat_velocity",0.0027210099049771,"abundance","xgboost w/ coordinates"
"gaug_during",0.00187162580693643,"abundance","xgboost w/ coordinates"
"temp_before",0.000845462050887896,"abundance","xgboost w/ coordinates"
"conduct_after",0.000315411380232614,"abundance","xgboost w/ coordinates"
"q_after",0.00024733122512841,"abundance","xgboost w/ coordinates"
"ox_during",0.000173195577945912,"abundance","xgboost w/ coordinates"
"turb_after",0.000131426129877434,"abundance","xgboost w/ coordinates"
"turb_during",9.82092366408364e-05,"abundance","xgboost w/ coordinates"
"pH_after",8.74568341552308e-05,"abundance","xgboost w/ coordinates"
"conduct_during",1.25544882715034e-06,"abundance","xgboost w/ coordinates"
"x",0.147044501711707,"rel_abundance","xgboost w/ coordinates"
"dist_w",0.139046758069647,"rel_abundance","xgboost w/ coordinates"
"wd_m",0.112973113470594,"rel_abundance","xgboost w/ coordinates"
"cpom_cover",0.0859557193587246,"rel_abundance","xgboost w/ coordinates"
"y",0.0763893411270366,"rel_abundance","xgboost w/ coordinates"
"velocity",0.0715725149503416,"rel_abundance","xgboost w/ coordinates"
"ox_before",0.0578274892513734,"rel_abundance","xgboost w/ coordinates"
"z",0.0490594880764391,"rel_abundance","xgboost w/ coordinates"
"alg_cover",0.0445677865730245,"rel_abundance","xgboost w/ coordinates"
"froude",0.0427837688947266,"rel_abundance","xgboost w/ coordinates"
"q_before",0.0426408518011898,"rel_abundance","xgboost w/ coordinates"
"q_during",0.0288133699679604,"rel_abundance","xgboost w/ coordinates"
"turb_before",0.0158505506080477,"rel_abundance","xgboost w/ coordinates"
"ox_after",0.0117196339356541,"rel_abundance","xgboost w/ coordinates"
"temp_after",0.00949457000662113,"rel_abundance","xgboost w/ coordinates"
"gaug_before",0.00889941637107038,"rel_abundance","xgboost w/ coordinates"
"moos_cover",0.00752393071900228,"rel_abundance","xgboost w/ coordinates"
"pH_during",0.00738913647076534,"rel_abundance","xgboost w/ coordinates"
"pH_before",0.00729249698642217,"rel_abundance","xgboost w/ coordinates"
"conduct_before",0.00717159029674161,"rel_abundance","xgboost w/ coordinates"
"stream_power",0.00605947331894958,"rel_abundance","xgboost w/ coordinates"
"temp_before",0.00392280536944648,"rel_abundance","xgboost w/ coordinates"
"sub_type_int",0.00313887787514767,"rel_abundance","xgboost w/ coordinates"
"conduct_after",0.00299805416559569,"rel_abundance","xgboost w/ coordinates"
"cat_velocity",0.00192288579585783,"rel_abundance","xgboost w/ coordinates"
"gaug_during",0.0014925221585702,"rel_abundance","xgboost w/ coordinates"
"turb_during",0.00123123105368255,"rel_abundance","xgboost w/ coordinates"
"turb_after",0.00092687014012335,"rel_abundance","xgboost w/ coordinates"
"clog_6_class_int",0.000840941310850065,"rel_abundance","xgboost w/ coordinates"
"clog_3_class_int",0.000830575135762301,"rel_abundance","xgboost w/ coordinates"
"temp_during",0.000808767832324831,"rel_abundance","xgboost w/ coordinates"
"conduct_during",0.00078463585642994,"rel_abundance","xgboost w/ coordinates"
"pH_after",0.00047519091620163,"rel_abundance","xgboost w/ coordinates"
"ox_during",0.000293237083854021,"rel_abundance","xgboost w/ coordinates"
"q_after",0.000257903340115596,"rel_abundance","xgboost w/ coordinates"
