"Feature","Gain","index","model"
"dist_w",0.167378713553752,"k_index","xgboost w/o coordinates"
"z",0.123874659685317,"k_index","xgboost w/o coordinates"
"turb_before",0.122077983438829,"k_index","xgboost w/o coordinates"
"wd_m",0.112587337384452,"k_index","xgboost w/o coordinates"
"velocity",0.100095551682415,"k_index","xgboost w/o coordinates"
"ox_before",0.0758040931860838,"k_index","xgboost w/o coordinates"
"moos_cover",0.0442650252845529,"k_index","xgboost w/o coordinates"
"turb_after",0.0376380656236273,"k_index","xgboost w/o coordinates"
"pH_before",0.0313819334283391,"k_index","xgboost w/o coordinates"
"alg_cover",0.0312162431577216,"k_index","xgboost w/o coordinates"
"conduct_before",0.0227293310288364,"k_index","xgboost w/o coordinates"
"gaug_before",0.0223519094996725,"k_index","xgboost w/o coordinates"
"q_during",0.0177599437836624,"k_index","xgboost w/o coordinates"
"temp_during",0.0147624051128807,"k_index","xgboost w/o coordinates"
"turb_during",0.0130951219082638,"k_index","xgboost w/o coordinates"
"q_before",0.00970004363262777,"k_index","xgboost w/o coordinates"
"temp_before",0.00880974717591875,"k_index","xgboost w/o coordinates"
"sub_type_int",0.006059942835377,"k_index","xgboost w/o coordinates"
"clog_3_class_int",0.00587589170396669,"k_index","xgboost w/o coordinates"
"cat_velocity",0.00509918571891996,"k_index","xgboost w/o coordinates"
"pH_after",0.00505532077195472,"k_index","xgboost w/o coordinates"
"ox_during",0.004978059984195,"k_index","xgboost w/o coordinates"
"q_after",0.00358286664406615,"k_index","xgboost w/o coordinates"
"temp_after",0.00275700835494446,"k_index","xgboost w/o coordinates"
"cpom_cover",0.00258306623201702,"k_index","xgboost w/o coordinates"
"ox_after",0.00225593705869243,"k_index","xgboost w/o coordinates"
"conduct_after",0.00222913862997234,"k_index","xgboost w/o coordinates"
"clog_6_class_int",0.00214818143171898,"k_index","xgboost w/o coordinates"
"pH_during",0.00171668974075041,"k_index","xgboost w/o coordinates"
"conduct_during",0.000130602326473104,"k_index","xgboost w/o coordinates"
"z",0.213355384404467,"shannon_index","xgboost w/o coordinates"
"velocity",0.167003852006852,"shannon_index","xgboost w/o coordinates"
"dist_w",0.163591375749586,"shannon_index","xgboost w/o coordinates"
"turb_before",0.0815942795983005,"shannon_index","xgboost w/o coordinates"
"wd_m",0.0801769941136945,"shannon_index","xgboost w/o coordinates"
"moos_cover",0.0502919647239361,"shannon_index","xgboost w/o coordinates"
"pH_before",0.0484488330875994,"shannon_index","xgboost w/o coordinates"
"turb_after",0.0274245635094977,"shannon_index","xgboost w/o coordinates"
"gaug_before",0.0252131995836711,"shannon_index","xgboost w/o coordinates"
"alg_cover",0.0177682019795897,"shannon_index","xgboost w/o coordinates"
"q_during",0.0136214212173148,"shannon_index","xgboost w/o coordinates"
"q_before",0.0131809088032635,"shannon_index","xgboost w/o coordinates"
"pH_during",0.0122012549346878,"shannon_index","xgboost w/o coordinates"
"temp_before",0.0112955754691891,"shannon_index","xgboost w/o coordinates"
"turb_during",0.0109910134319525,"shannon_index","xgboost w/o coordinates"
"conduct_before",0.00812103938538687,"shannon_index","xgboost w/o coordinates"
"temp_during",0.00752159105750761,"shannon_index","xgboost w/o coordinates"
"cat_velocity",0.00746461346766301,"shannon_index","xgboost w/o coordinates"
"q_after",0.00724316497114326,"shannon_index","xgboost w/o coordinates"
"sub_type_int",0.00496358666464823,"shannon_index","xgboost w/o coordinates"
"ox_before",0.00467540667456956,"shannon_index","xgboost w/o coordinates"
"ox_during",0.00373334428271813,"shannon_index","xgboost w/o coordinates"
"conduct_after",0.00372449495587692,"shannon_index","xgboost w/o coordinates"
"pH_after",0.00351085745049511,"shannon_index","xgboost w/o coordinates"
"ox_after",0.00332529120266767,"shannon_index","xgboost w/o coordinates"
"temp_after",0.00300861035314477,"shannon_index","xgboost w/o coordinates"
"clog_3_class_int",0.0029784438028565,"shannon_index","xgboost w/o coordinates"
"cpom_cover",0.00170404802449313,"shannon_index","xgboost w/o coordinates"
"clog_6_class_int",0.0010659678515767,"shannon_index","xgboost w/o coordinates"
"conduct_during",0.000799307100119496,"shannon_index","xgboost w/o coordinates"
"gaug_during",1.41014153060003e-06,"shannon_index","xgboost w/o coordinates"
"wd_m",0.193533918328762,"abundance","xgboost w/o coordinates"
"dist_w",0.145716067647087,"abundance","xgboost w/o coordinates"
"ox_during",0.0876154446004452,"abundance","xgboost w/o coordinates"
"velocity",0.0715541967854121,"abundance","xgboost w/o coordinates"
"z",0.0713914828039238,"abundance","xgboost w/o coordinates"
"conduct_before",0.0653630235018691,"abundance","xgboost w/o coordinates"
"pH_after",0.0554162266108489,"abundance","xgboost w/o coordinates"
"pH_before",0.0457193390726682,"abundance","xgboost w/o coordinates"
"alg_cover",0.0426259815238283,"abundance","xgboost w/o coordinates"
"cpom_cover",0.0364324752406472,"abundance","xgboost w/o coordinates"
"q_during",0.0322421236173961,"abundance","xgboost w/o coordinates"
"ox_before",0.0320648215264055,"abundance","xgboost w/o coordinates"
"q_before",0.0281144943953422,"abundance","xgboost w/o coordinates"
"conduct_after",0.0118367697004359,"abundance","xgboost w/o coordinates"
"pH_during",0.011721508735538,"abundance","xgboost w/o coordinates"
"turb_after",0.00870261994699792,"abundance","xgboost w/o coordinates"
"cat_velocity",0.00858725997665316,"abundance","xgboost w/o coordinates"
"moos_cover",0.00757101464665193,"abundance","xgboost w/o coordinates"
"turb_before",0.00597099301180716,"abundance","xgboost w/o coordinates"
"temp_before",0.00567153780446648,"abundance","xgboost w/o coordinates"
"clog_6_class_int",0.00538590561998207,"abundance","xgboost w/o coordinates"
"sub_type_int",0.00500023970437268,"abundance","xgboost w/o coordinates"
"ox_after",0.00445854120455814,"abundance","xgboost w/o coordinates"
"clog_3_class_int",0.00416985602537914,"abundance","xgboost w/o coordinates"
"temp_after",0.00343026352694816,"abundance","xgboost w/o coordinates"
"q_after",0.00330779967073031,"abundance","xgboost w/o coordinates"
"temp_during",0.00294067791642567,"abundance","xgboost w/o coordinates"
"gaug_before",0.00293073963204258,"abundance","xgboost w/o coordinates"
"turb_during",0.000515328987202354,"abundance","xgboost w/o coordinates"
"conduct_during",7.00924130296901e-06,"abundance","xgboost w/o coordinates"
"gaug_during",2.33899386928237e-06,"abundance","xgboost w/o coordinates"
"dist_w",0.172878906540777,"rel_abundance","xgboost w/o coordinates"
"wd_m",0.164184208997076,"rel_abundance","xgboost w/o coordinates"
"velocity",0.0892879642980598,"rel_abundance","xgboost w/o coordinates"
"z",0.0867805589099823,"rel_abundance","xgboost w/o coordinates"
"conduct_before",0.066550146840339,"rel_abundance","xgboost w/o coordinates"
"cpom_cover",0.0588847127333036,"rel_abundance","xgboost w/o coordinates"
"ox_before",0.0579375016908148,"rel_abundance","xgboost w/o coordinates"
"q_before",0.0560446080281048,"rel_abundance","xgboost w/o coordinates"
"alg_cover",0.039115750451557,"rel_abundance","xgboost w/o coordinates"
"conduct_after",0.0338298644335865,"rel_abundance","xgboost w/o coordinates"
"pH_before",0.0238125801147687,"rel_abundance","xgboost w/o coordinates"
"ox_during",0.018305220933889,"rel_abundance","xgboost w/o coordinates"
"pH_after",0.0176240759680493,"rel_abundance","xgboost w/o coordinates"
"turb_after",0.0138953847669671,"rel_abundance","xgboost w/o coordinates"
"moos_cover",0.0130972868397309,"rel_abundance","xgboost w/o coordinates"
"temp_before",0.0116314857040516,"rel_abundance","xgboost w/o coordinates"
"ox_after",0.0111455584723537,"rel_abundance","xgboost w/o coordinates"
"q_during",0.00834420942132018,"rel_abundance","xgboost w/o coordinates"
"pH_during",0.00782987682000113,"rel_abundance","xgboost w/o coordinates"
"turb_during",0.00736834523763158,"rel_abundance","xgboost w/o coordinates"
"turb_before",0.00683662981821719,"rel_abundance","xgboost w/o coordinates"
"sub_type_int",0.00620541470621555,"rel_abundance","xgboost w/o coordinates"
"cat_velocity",0.00493119443583283,"rel_abundance","xgboost w/o coordinates"
"temp_after",0.00469435585281372,"rel_abundance","xgboost w/o coordinates"
"temp_during",0.00458308671172524,"rel_abundance","xgboost w/o coordinates"
"gaug_before",0.0043405484868395,"rel_abundance","xgboost w/o coordinates"
"clog_3_class_int",0.00378793040031445,"rel_abundance","xgboost w/o coordinates"
"q_after",0.0024698602324074,"rel_abundance","xgboost w/o coordinates"
"clog_6_class_int",0.00203697552231817,"rel_abundance","xgboost w/o coordinates"
"conduct_during",0.00128429293135083,"rel_abundance","xgboost w/o coordinates"
"gaug_during",0.000281463699601332,"rel_abundance","xgboost w/o coordinates"
