"Feature","Gain","index","model"
"y",0.379196063665723,"k_index","xgboost w/ coordinates"
"x",0.293184323024811,"k_index","xgboost w/ coordinates"
"wd_m",0.124458241032098,"k_index","xgboost w/ coordinates"
"velocity",0.121625244058336,"k_index","xgboost w/ coordinates"
"froude",0.0623843742272945,"k_index","xgboost w/ coordinates"
"stream_power",0.0191517539917377,"k_index","xgboost w/ coordinates"
"x",0.305372607875526,"shannon_index","xgboost w/ coordinates"
"y",0.304716847078605,"shannon_index","xgboost w/ coordinates"
"froude",0.135181511019682,"shannon_index","xgboost w/ coordinates"
"velocity",0.122580042802525,"shannon_index","xgboost w/ coordinates"
"wd_m",0.0845758834951777,"shannon_index","xgboost w/ coordinates"
"stream_power",0.0475731077284829,"shannon_index","xgboost w/ coordinates"
"x",0.390276407697825,"abundance","xgboost w/ coordinates"
"y",0.243448767534194,"abundance","xgboost w/ coordinates"
"wd_m",0.183594190883645,"abundance","xgboost w/ coordinates"
"froude",0.0887930053323529,"abundance","xgboost w/ coordinates"
"velocity",0.0683391024103466,"abundance","xgboost w/ coordinates"
"stream_power",0.0255485261416363,"abundance","xgboost w/ coordinates"
"x",0.345704194546159,"rel_abundance","xgboost w/ coordinates"
"y",0.23139259165774,"rel_abundance","xgboost w/ coordinates"
"wd_m",0.185352735191984,"rel_abundance","xgboost w/ coordinates"
"froude",0.111178425300415,"rel_abundance","xgboost w/ coordinates"
"velocity",0.0993766361131121,"rel_abundance","xgboost w/ coordinates"
"stream_power",0.0269954171905903,"rel_abundance","xgboost w/ coordinates"
