"Feature","Gain","index","model"
"x",0.162769649268727,"k_index","xgboost w/ coordinates"
"velocity",0.150635620562617,"k_index","xgboost w/ coordinates"
"dist_w",0.133569271174327,"k_index","xgboost w/ coordinates"
"alg_cover",0.125436460310044,"k_index","xgboost w/ coordinates"
"y",0.124700717479856,"k_index","xgboost w/ coordinates"
"z",0.115829287116839,"k_index","xgboost w/ coordinates"
"moos_cover",0.0936265129776267,"k_index","xgboost w/ coordinates"
"clog_3_class_int",0.0460863495931794,"k_index","xgboost w/ coordinates"
"wd_m",0.0405164476427427,"k_index","xgboost w/ coordinates"
"cpom_cover",0.00214003111323556,"k_index","xgboost w/ coordinates"
"clog_6_class_int",0.00194067390401036,"k_index","xgboost w/ coordinates"
"sub_type_int",0.00190353660414075,"k_index","xgboost w/ coordinates"
"cat_velocity",0.000845442252654825,"k_index","xgboost w/ coordinates"
"x",0.244085285326424,"shannon_index","xgboost w/ coordinates"
"z",0.163547514336912,"shannon_index","xgboost w/ coordinates"
"y",0.143560619374539,"shannon_index","xgboost w/ coordinates"
"moos_cover",0.12625011388224,"shannon_index","xgboost w/ coordinates"
"dist_w",0.118829492528487,"shannon_index","xgboost w/ coordinates"
"velocity",0.107747499999955,"shannon_index","xgboost w/ coordinates"
"wd_m",0.0702374499429341,"shannon_index","xgboost w/ coordinates"
"alg_cover",0.0109716055296117,"shannon_index","xgboost w/ coordinates"
"clog_6_class_int",0.00560623608247328,"shannon_index","xgboost w/ coordinates"
"clog_3_class_int",0.00438216373788058,"shannon_index","xgboost w/ coordinates"
"sub_type_int",0.00407477131806625,"shannon_index","xgboost w/ coordinates"
"cat_velocity",0.000474818499588673,"shannon_index","xgboost w/ coordinates"
"cpom_cover",0.00023242944088806,"shannon_index","xgboost w/ coordinates"
"x",0.23035220205364,"abundance","xgboost w/ coordinates"
"z",0.155798321531199,"abundance","xgboost w/ coordinates"
"wd_m",0.145095595936013,"abundance","xgboost w/ coordinates"
"y",0.120948059561957,"abundance","xgboost w/ coordinates"
"dist_w",0.115139834821877,"abundance","xgboost w/ coordinates"
"velocity",0.070312193529341,"abundance","xgboost w/ coordinates"
"cpom_cover",0.0591849298321953,"abundance","xgboost w/ coordinates"
"clog_3_class_int",0.0414448797624876,"abundance","xgboost w/ coordinates"
"alg_cover",0.0220477106909488,"abundance","xgboost w/ coordinates"
"clog_6_class_int",0.0195262560071823,"abundance","xgboost w/ coordinates"
"moos_cover",0.00929772334765971,"abundance","xgboost w/ coordinates"
"sub_type_int",0.00860302075508163,"abundance","xgboost w/ coordinates"
"cat_velocity",0.00224927217041824,"abundance","xgboost w/ coordinates"
"x",0.230984876282193,"rel_abundance","xgboost w/ coordinates"
"wd_m",0.155391630108629,"rel_abundance","xgboost w/ coordinates"
"y",0.136957843611753,"rel_abundance","xgboost w/ coordinates"
"cpom_cover",0.1227358260161,"rel_abundance","xgboost w/ coordinates"
"z",0.106042099325331,"rel_abundance","xgboost w/ coordinates"
"velocity",0.102728001923364,"rel_abundance","xgboost w/ coordinates"
"dist_w",0.0806580660105913,"rel_abundance","xgboost w/ coordinates"
"alg_cover",0.0293611253688624,"rel_abundance","xgboost w/ coordinates"
"clog_6_class_int",0.0265058053486604,"rel_abundance","xgboost w/ coordinates"
"cat_velocity",0.00340984654060788,"rel_abundance","xgboost w/ coordinates"
"sub_type_int",0.00253530199794727,"rel_abundance","xgboost w/ coordinates"
"moos_cover",0.00164492456198147,"rel_abundance","xgboost w/ coordinates"
"clog_3_class_int",0.00104465290397963,"rel_abundance","xgboost w/ coordinates"
