variable;k_index_rf;shannon_rf;abundance_rf;rel_abundance_rf;k_index_brt;shannon_brt;abundance_brt;rel_abundance_brt
z;0.226828746;0.220820037;0.198603422;0.197126056;0.435675045;0.419271784;0.253491756;0.266884749
wd_m;0.149574759;0.128332472;0.206579149;0.20796369;0.165683325;0.132404831;0.279883729;0.287282308
mean_diff_nitrogen;0.170816436;0.113588074;0.134504471;0.140529814;0.153568459;0.039462564;0.073540121;0.03750667
velocity;0.116964766;0.179072233;0.160617599;0.165563766;0.151666674;0.19936066;0.115046434;0.122108604
mean_diff_phosphor;0.150394373;0.194015584;0.15397303;0.147844288;0.076124001;0.137147615;0.162682218;0.145554123
ecomorph_class;0.083019899;0.112734215;0.087142303;0.085431271;0.016119678;0.071413336;0.11213247;0.135012814
biogeo_int;0.10240102;0.051437385;0.058580026;0.055541115;0.001162819;0.000939209;0.003223272;0.005650732
