"Feature","Gain","index","model"
"y",0.180476206681809,"k_index","xgboost w/ coordinates"
"z",0.148262998249911,"k_index","xgboost w/ coordinates"
"dist_w",0.120785541730268,"k_index","xgboost w/ coordinates"
"moos_cover",0.115036313572897,"k_index","xgboost w/ coordinates"
"x",0.114402316117725,"k_index","xgboost w/ coordinates"
"velocity",0.104228673939297,"k_index","xgboost w/ coordinates"
"wd_m",0.0613699504437024,"k_index","xgboost w/ coordinates"
"alg_cover",0.05936202014795,"k_index","xgboost w/ coordinates"
"froude",0.0490748854990378,"k_index","xgboost w/ coordinates"
"clog_3_class_int",0.0215385051874622,"k_index","xgboost w/ coordinates"
"stream_power",0.0147019392380002,"k_index","xgboost w/ coordinates"
"sub_type_int",0.0044253710105889,"k_index","xgboost w/ coordinates"
"cpom_cover",0.00329213953854387,"k_index","xgboost w/ coordinates"
"clog_6_class_int",0.00188254705291874,"k_index","xgboost w/ coordinates"
"cat_velocity",0.00116059158988837,"k_index","xgboost w/ coordinates"
"z",0.200506675637429,"shannon_index","xgboost w/ coordinates"
"y",0.182829322729585,"shannon_index","xgboost w/ coordinates"
"x",0.155744567942778,"shannon_index","xgboost w/ coordinates"
"wd_m",0.11005855837846,"shannon_index","xgboost w/ coordinates"
"froude",0.0848768475064376,"shannon_index","xgboost w/ coordinates"
"stream_power",0.0679601001510528,"shannon_index","xgboost w/ coordinates"
"velocity",0.0629618478659715,"shannon_index","xgboost w/ coordinates"
"dist_w",0.0558036550444179,"shannon_index","xgboost w/ coordinates"
"moos_cover",0.0482264317121203,"shannon_index","xgboost w/ coordinates"
"clog_3_class_int",0.0110441466682749,"shannon_index","xgboost w/ coordinates"
"sub_type_int",0.00685304673816678,"shannon_index","xgboost w/ coordinates"
"alg_cover",0.00673282980958176,"shannon_index","xgboost w/ coordinates"
"clog_6_class_int",0.00360031196646912,"shannon_index","xgboost w/ coordinates"
"cpom_cover",0.00141696110811613,"shannon_index","xgboost w/ coordinates"
"cat_velocity",0.00138469674113999,"shannon_index","xgboost w/ coordinates"
"wd_m",0.194439306969857,"abundance","xgboost w/ coordinates"
"x",0.181509461620167,"abundance","xgboost w/ coordinates"
"y",0.151300374286966,"abundance","xgboost w/ coordinates"
"dist_w",0.0905327384291597,"abundance","xgboost w/ coordinates"
"z",0.0846165367985435,"abundance","xgboost w/ coordinates"
"froude",0.0598893895024864,"abundance","xgboost w/ coordinates"
"velocity",0.0530197757483837,"abundance","xgboost w/ coordinates"
"clog_3_class_int",0.0417636590001599,"abundance","xgboost w/ coordinates"
"cpom_cover",0.0384566229923805,"abundance","xgboost w/ coordinates"
"clog_6_class_int",0.0339220200514541,"abundance","xgboost w/ coordinates"
"alg_cover",0.0292626564133614,"abundance","xgboost w/ coordinates"
"sub_type_int",0.0192093182476277,"abundance","xgboost w/ coordinates"
"stream_power",0.0123096952128752,"abundance","xgboost w/ coordinates"
"moos_cover",0.00958967922106246,"abundance","xgboost w/ coordinates"
"cat_velocity",0.000178765505516074,"abundance","xgboost w/ coordinates"
"x",0.232400327993317,"rel_abundance","xgboost w/ coordinates"
"wd_m",0.131656733418838,"rel_abundance","xgboost w/ coordinates"
"velocity",0.124740861874076,"rel_abundance","xgboost w/ coordinates"
"cpom_cover",0.104953521605323,"rel_abundance","xgboost w/ coordinates"
"y",0.0928244801195736,"rel_abundance","xgboost w/ coordinates"
"z",0.0912410589285694,"rel_abundance","xgboost w/ coordinates"
"dist_w",0.0793936914694715,"rel_abundance","xgboost w/ coordinates"
"froude",0.0488094569994484,"rel_abundance","xgboost w/ coordinates"
"alg_cover",0.0326773500616152,"rel_abundance","xgboost w/ coordinates"
"clog_3_class_int",0.0193879325411514,"rel_abundance","xgboost w/ coordinates"
"moos_cover",0.0173662271878132,"rel_abundance","xgboost w/ coordinates"
"sub_type_int",0.0102623724331777,"rel_abundance","xgboost w/ coordinates"
"stream_power",0.00917569471310845,"rel_abundance","xgboost w/ coordinates"
"clog_6_class_int",0.00277543092502363,"rel_abundance","xgboost w/ coordinates"
"cat_velocity",0.00233485972949422,"rel_abundance","xgboost w/ coordinates"
