"clog_3_class_int","yhat","predictors","model","index"
0,814.171510599278,"clog_3_class","sampling w/ coordinates","abundance"
1,615.43144650278,"clog_3_class","sampling w/ coordinates","abundance"
2,601.36300602683,"clog_3_class","sampling w/ coordinates","abundance"
