"turb_after","yhat","predictors","model","index"
0.26,0.528119250673196,"turb_after","all predictors w/o coordinates","k_index"
11.93125,0.52855623942613,"turb_after","all predictors w/o coordinates","k_index"
23.6025,0.533612166122211,"turb_after","all predictors w/o coordinates","k_index"
35.27375,0.533612166122211,"turb_after","all predictors w/o coordinates","k_index"
46.945,0.533612166122211,"turb_after","all predictors w/o coordinates","k_index"
58.61625,0.533612166122211,"turb_after","all predictors w/o coordinates","k_index"
70.2875,0.533612166122211,"turb_after","all predictors w/o coordinates","k_index"
81.95875,0.533612166122211,"turb_after","all predictors w/o coordinates","k_index"
93.63,0.533623878540267,"turb_after","all predictors w/o coordinates","k_index"
105.30125,0.534448911670511,"turb_after","all predictors w/o coordinates","k_index"
116.9725,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
128.64375,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
140.315,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
151.98625,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
163.6575,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
175.32875,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
187,0.534471193371445,"turb_after","all predictors w/o coordinates","k_index"
