"cpom_cover","yhat","predictors","model","index"
1,0.193133556558732,"cpom_cover","all predictors w/o coordinates","rel_abundance"
2,0.228062586431774,"cpom_cover","all predictors w/o coordinates","rel_abundance"
3,0.235032526203238,"cpom_cover","all predictors w/o coordinates","rel_abundance"
