"mean_diff_nitrogen","yhat","predictors","model","index"
3.76,0.501064355030654,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
4.24047619047619,0.486127593904507,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
4.72095238095238,0.484951599232308,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
5.20142857142857,0.482241313278131,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
5.68190476190476,0.54598312308464,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
6.16238095238095,0.546190138288063,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
6.64285714285714,0.540361415434502,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
7.12333333333333,0.541049484373005,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
7.60380952380952,0.541154507332712,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
8.08428571428571,0.549084954155187,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
8.56476190476191,0.54909238033668,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
9.04523809523809,0.55289188302077,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
9.52571428571428,0.552975040172482,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
10.0061904761905,0.553252519029485,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
10.4866666666667,0.553593435519514,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
10.9671428571429,0.553705710372536,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
11.447619047619,0.553799625376216,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
11.9280952380952,0.553665481450213,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
12.4085714285714,0.532702921459795,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
12.8890476190476,0.531908037818108,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
13.3695238095238,0.499485496646112,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
13.85,0.499407800820282,"mean_diff_nitrogen","mean_diff_nitrogen w/o coordinates","k_index"
