"moos_cover","yhat","predictors","model","index"
0,0.545120566003565,"moos_cover","sampling w/o coordinates","k_index"
1,0.557884660427985,"moos_cover","sampling w/o coordinates","k_index"
2,0.275897398407297,"moos_cover","sampling w/o coordinates","k_index"
3,0.275897398407297,"moos_cover","sampling w/o coordinates","k_index"
