"clog_6_class_int","yhat","predictors","model","index"
0,797.746495653082,"clog_6_class","sampling w/o coordinates","abundance"
1,674.288194629329,"clog_6_class","sampling w/o coordinates","abundance"
2,674.208193310433,"clog_6_class","sampling w/o coordinates","abundance"
3,674.208193310433,"clog_6_class","sampling w/o coordinates","abundance"
4,638.894574076657,"clog_6_class","sampling w/o coordinates","abundance"
5,638.894574076657,"clog_6_class","sampling w/o coordinates","abundance"
6,639.799824514668,"clog_6_class","sampling w/o coordinates","abundance"
