"cat_velocity","yhat","predictors","model","index"
1,2.69369295474304,"cat_velocity","sampling w/o coordinates","shannon_index"
2,2.69369295474304,"cat_velocity","sampling w/o coordinates","shannon_index"
3,2.68871670020272,"cat_velocity","sampling w/o coordinates","shannon_index"
4,2.67430763598025,"cat_velocity","sampling w/o coordinates","shannon_index"
5,2.66833975561557,"cat_velocity","sampling w/o coordinates","shannon_index"
