"cat_velocity","yhat","predictors","model","index"
1,0.531610129370086,"cat_velocity","sampling w/o coordinates","k_index"
2,0.531610129370086,"cat_velocity","sampling w/o coordinates","k_index"
3,0.542928381102842,"cat_velocity","sampling w/o coordinates","k_index"
4,0.543043607031259,"cat_velocity","sampling w/o coordinates","k_index"
5,0.543855458804962,"cat_velocity","sampling w/o coordinates","k_index"
