"alg_cover","yhat","predictors","model","index"
1,2.51130934704647,"alg_cover","sampling w/ coordinates","shannon_index"
2,2.51647136829517,"alg_cover","sampling w/ coordinates","shannon_index"
3,2.53871708377092,"alg_cover","sampling w/ coordinates","shannon_index"
4,2.57680502783128,"alg_cover","sampling w/ coordinates","shannon_index"
5,2.57680502783128,"alg_cover","sampling w/ coordinates","shannon_index"
