"cat_velocity","yhat","predictors","model","index"
1,2.54124994945057,"cat_velocity","sampling w/o coordinates","shannon_index"
2,2.54124994945057,"cat_velocity","sampling w/o coordinates","shannon_index"
3,2.52680787958067,"cat_velocity","sampling w/o coordinates","shannon_index"
4,2.52615244143009,"cat_velocity","sampling w/o coordinates","shannon_index"
5,2.52186114822729,"cat_velocity","sampling w/o coordinates","shannon_index"
