"clog_3_class_int","yhat","predictors","model","index"
0,816.279005654762,"clog_3_class","sampling w/o coordinates","abundance"
1,671.730083652998,"clog_3_class","sampling w/o coordinates","abundance"
2,616.952330566578,"clog_3_class","sampling w/o coordinates","abundance"
