"sub_type_int","yhat","predictors","model","index"
0,0.540280531190903,"sub_type","sampling w/o coordinates","k_index"
1,0.542504575390342,"sub_type","sampling w/o coordinates","k_index"
2,0.542561273981372,"sub_type","sampling w/o coordinates","k_index"
3,0.544195843028095,"sub_type","sampling w/o coordinates","k_index"
