"sub_type_int","yhat","predictors","model","index"
0,0.190821326986124,"sub_type","all predictors w/o coordinates","rel_abundance"
1,0.193005814490589,"sub_type","all predictors w/o coordinates","rel_abundance"
2,0.195196795198572,"sub_type","all predictors w/o coordinates","rel_abundance"
3,0.1911406394991,"sub_type","all predictors w/o coordinates","rel_abundance"
