"temp_before","yhat","predictors","model","index"
3.8,728.222219058473,"temp_before","all predictors w/o coordinates","abundance"
4.16,723.33294404122,"temp_before","all predictors w/o coordinates","abundance"
4.52,730.564486599306,"temp_before","all predictors w/o coordinates","abundance"
4.88,727.144023205454,"temp_before","all predictors w/o coordinates","abundance"
5.24,725.430853864529,"temp_before","all predictors w/o coordinates","abundance"
5.6,726.680760670947,"temp_before","all predictors w/o coordinates","abundance"
5.96,739.577809386955,"temp_before","all predictors w/o coordinates","abundance"
6.32,736.704958843677,"temp_before","all predictors w/o coordinates","abundance"
6.68,737.273323151068,"temp_before","all predictors w/o coordinates","abundance"
7.04,738.80694399695,"temp_before","all predictors w/o coordinates","abundance"
7.4,742.872403484161,"temp_before","all predictors w/o coordinates","abundance"
7.76,743.612020564907,"temp_before","all predictors w/o coordinates","abundance"
8.12,746.407103199925,"temp_before","all predictors w/o coordinates","abundance"
8.48,746.503626854169,"temp_before","all predictors w/o coordinates","abundance"
8.84,746.056795088008,"temp_before","all predictors w/o coordinates","abundance"
9.2,746.143799918926,"temp_before","all predictors w/o coordinates","abundance"
9.56,746.151001540734,"temp_before","all predictors w/o coordinates","abundance"
9.92,746.323445536593,"temp_before","all predictors w/o coordinates","abundance"
10.28,746.396107889941,"temp_before","all predictors w/o coordinates","abundance"
10.64,746.396107889941,"temp_before","all predictors w/o coordinates","abundance"
11,746.396107889941,"temp_before","all predictors w/o coordinates","abundance"
