"temp_after","yhat","predictors","model","index"
4.7,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
4.975,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
5.25,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
5.525,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
5.8,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
6.075,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
6.35,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
6.625,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
6.9,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
7.175,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
7.45,728.60678483601,"temp_after","all predictors w/ coordinates","abundance"
7.725,728.632550639687,"temp_after","all predictors w/ coordinates","abundance"
8,728.632550639687,"temp_after","all predictors w/ coordinates","abundance"
8.275,732.188828266323,"temp_after","all predictors w/ coordinates","abundance"
8.55,739.38408204471,"temp_after","all predictors w/ coordinates","abundance"
8.825,739.385453080489,"temp_after","all predictors w/ coordinates","abundance"
9.1,761.377802719121,"temp_after","all predictors w/ coordinates","abundance"
