"temp_after","yhat","predictors","model","index"
4.7,2.65778315732198,"temp_after","all predictors w/o coordinates","shannon_index"
4.975,2.65778315732198,"temp_after","all predictors w/o coordinates","shannon_index"
5.25,2.65554170601486,"temp_after","all predictors w/o coordinates","shannon_index"
5.525,2.48920609450605,"temp_after","all predictors w/o coordinates","shannon_index"
5.8,2.48383741837358,"temp_after","all predictors w/o coordinates","shannon_index"
6.075,2.48335362407555,"temp_after","all predictors w/o coordinates","shannon_index"
6.35,2.48397124902032,"temp_after","all predictors w/o coordinates","shannon_index"
6.625,2.48227444115201,"temp_after","all predictors w/o coordinates","shannon_index"
6.9,2.48188567857722,"temp_after","all predictors w/o coordinates","shannon_index"
7.175,2.48151282719689,"temp_after","all predictors w/o coordinates","shannon_index"
7.45,2.48527116489407,"temp_after","all predictors w/o coordinates","shannon_index"
7.725,2.48628913136279,"temp_after","all predictors w/o coordinates","shannon_index"
8,2.48628913136279,"temp_after","all predictors w/o coordinates","shannon_index"
8.275,2.48895212050378,"temp_after","all predictors w/o coordinates","shannon_index"
8.55,2.49271963139216,"temp_after","all predictors w/o coordinates","shannon_index"
8.825,2.49306205321741,"temp_after","all predictors w/o coordinates","shannon_index"
9.1,2.49694428540675,"temp_after","all predictors w/o coordinates","shannon_index"
